,r,l
0,230.25360961272645,636
1,224.2200665096869,554
2,360.1236129145647,1000
3,338.5405586061085,938
4,117.09618135052462,281
5,259.78992431269825,601
6,120.1899676217765,308
7,348.6648830140106,895
8,152.5539353678492,350
9,135.95748032105632,240
10,436.71861595616576,1000
11,235.3684879148216,575
12,327.5210611555667,709
13,147.8136036545029,360
14,226.46386619417137,402
15,452.82924537834225,966
16,33.90771543823054,66
17,290.3063923248211,523
18,378.6307254359309,1000
19,193.32758473473174,426
20,162.62427007603443,302
21,51.33412065438281,101
22,41.94868992452993,86
23,508.48976383818604,1000
24,410.53036074817095,1000
25,481.6686232793405,1000
26,98.50139760844624,235
27,211.00486238576852,456
28,55.39257109272727,117
29,42.13212729443353,72
30,198.74921943764653,435
31,156.41651065763546,312
32,98.92903351661799,179
33,125.47834092242947,223
34,33.73495711251071,60
35,11.082051135175739,46
36,400.0416732791906,943
37,31.32278712644746,54
38,89.81481296793416,163
39,482.7946893845911,1000
40,41.56500838551455,72
41,79.02164892678373,134
42,67.6888030765241,139
43,115.16092724919518,209
44,28.59080196122996,49
45,483.7922490826234,1000
46,24.745210694316395,91
47,16.75674345878938,46
48,186.35163558493286,328
49,235.098341623637,438
50,43.253172765924,75
51,382.9008267482665,847
52,126.00221893958852,255
53,117.37625419742092,226
54,91.61883692597743,195
55,77.99940070994313,162
56,59.286022879506504,99
57,111.90143974424717,210
58,191.19619422176007,359
59,117.0585860601037,227
60,132.65286643518374,230
61,89.7942515691654,154
62,210.48869908356102,345
63,170.6431207188007,243
64,449.4987578796081,1000
65,43.34832340877679,69
66,117.4214445215952,206
67,126.41940958612412,227
68,60.71199543652651,76
69,85.4504419166676,144
70,35.81917778718623,74
71,117.61755293248832,241
72,27.289128141126067,43
73,45.81979640540241,86
74,61.560386799790194,103
75,63.99873874296274,177
76,228.43660747119964,535
77,121.54502469888031,269
78,490.43646951043223,1000
79,34.8468193211907,60
80,243.3953106970426,449
81,133.6811463728348,261
82,44.08574156787369,73
83,42.97535663156412,79
84,69.97519738444734,122
85,23.790033914885864,42
86,25.717103703099056,58
87,473.0479621634053,1000
88,88.1336336668195,157
89,37.645373332464544,81
90,42.52662916279323,82
91,509.61249832779106,1000
92,59.1769249498757,129
93,127.42643744666917,255
94,212.96156108053415,452
95,63.290598555816196,101
96,54.86705817568771,96
97,53.00142343734133,79
98,130.04764975136695,220
99,90.29368086178074,179
100,213.33897444350995,404
101,47.8973904835737,84
102,225.7420262600113,420
103,40.020051370487,80
104,97.22512096518146,175
105,25.638878540852804,60
