,r,l
0,14.341912207099053,14
1,17.860518242466433,11
2,17.100198557881033,13
3,15.72834360558965,10
4,14.953819410506727,11
5,16.09345515565511,9
6,17.8261827400532,10
7,17.815490557303516,6
8,16.152509887835887,10
9,19.68975363468366,11
10,21.321122642966742,10
11,16.526921289724513,7
12,15.227985268432972,6
13,18.410289588748395,10
14,18.16004684283753,7
15,17.290155944480333,11
16,15.978356383531864,7
17,18.003854291103696,9
18,15.523684344153972,9
19,14.931923890263914,7
20,15.579849397434767,7
21,18.78078560589138,11
22,15.592551279415927,10
23,16.87929833318108,12
24,20.12001608941787,8
25,18.525590448454334,7
26,15.633187900700777,12
27,16.221575395885175,12
28,16.875555591705158,9
29,19.91723244195259,13
30,16.5524216873901,16
31,14.264138597011573,9
32,22.372012665478525,9
33,19.374932884798486,10
34,14.836395219352662,8
35,16.938043875467187,7
36,17.794432138047977,12
37,16.715930503694594,6
38,14.375372009907124,7
39,12.713762669058065,6
40,21.76687768274774,12
41,17.646623728753923,5
42,15.346928255578122,14
43,16.336202368200112,5
44,18.93196297861498,10
45,16.932393101833522,10
46,19.249924308286232,11
47,20.67200820542142,9
48,17.80243244876274,10
49,20.84252964475256,8
50,18.697231928199994,7
51,16.602000704712754,5
52,14.682609903737351,5
53,18.704591963720777,11
54,16.79122235039817,6
55,18.314027589024764,7
56,16.323532907973988,8
57,22.469191916623764,12
58,16.72295615888345,5
59,18.69449194048336,7
60,18.397804511916355,9
61,20.515368462299808,9
62,11.583612774760459,11
63,19.782691607113744,9
64,20.697196323661142,7
65,15.684061535094104,8
66,10.180483653169368,13
67,15.645636488425515,7
68,17.256240900270704,7
69,14.540861242994003,7
70,19.22607348605891,12
71,15.979964595084969,6
72,16.861927541078792,9
73,19.989018533139852,10
74,19.08267664402807,12
75,16.252305019467105,8
76,19.7467292824113,8
77,19.490666023731848,10
78,17.762652645067135,7
79,18.975052287870717,8
80,15.673774177549213,5
81,17.45139412671896,6
82,18.314528741104724,9
83,20.119621830282817,11
84,18.574175304056702,6
85,17.370979185556422,8
86,14.994892682899465,13
87,16.30851952670244,5
88,21.924984873516802,15
89,17.707370125624173,7
90,21.295714453725914,9
91,19.009538881782063,6
92,17.202488356038273,8
93,19.07572028017502,8
94,16.48650106217711,6
95,19.989944026172395,11
96,16.057892412277976,11
97,18.367123726031704,8
98,17.86376275405592,6
99,15.7976896262725,5
100,15.948857278649406,7
101,20.127153767110297,9
102,19.85699734193787,9
103,17.16641555495817,7
104,18.098371606633012,7
105,20.271671111971628,10
106,15.248242665520888,5
107,15.374294270536193,8
108,19.24850532257128,7
109,14.302457214938523,11
110,17.544071555851428,9
111,19.74428762172785,9
112,17.37561068008097,6
113,16.711085122610434,6
114,15.432029586824006,6
115,18.09832649613957,9
116,17.816543506871454,6
117,21.852961648764918,9
118,16.397532789899206,6
119,18.090770107954963,8
120,18.61780690488118,8
121,18.48788740430681,7
122,15.106723896619833,6
123,15.764430304429208,6
124,18.435111894735837,8
125,19.20858361480976,8
126,21.84090639905615,8
127,20.82772573392644,8
128,19.34506782139915,8
129,18.653429647159133,9
130,18.337695650157883,7
131,17.797270030938282,8
132,17.25376361849496,6
133,19.20005344202107,7
134,25.986231616690365,14
135,17.893121339732406,9
136,17.27003700487708,9
137,13.474337927815863,9
138,21.199901336999844,8
139,21.960838366158633,13
140,19.682951382387902,7
141,16.550408122840494,7
142,18.258382550560306,13
143,15.94562191952224,7
144,18.86195926640676,10
145,17.004221168432178,6
146,18.271634414863918,7
147,17.85318716279501,9
148,19.800414289849297,9
149,16.717669227791642,7
150,21.881102222933656,8
151,19.162434027419113,6
152,16.81559809259617,7
153,19.59577911746916,7
154,17.746655084274856,7
155,19.586961227850047,8
156,19.35171703176176,7
157,18.85883939750124,6
158,21.136391390748376,8
159,20.553285961205752,9
160,17.507963560995915,9
161,19.142960052707224,7
162,18.741255840931323,7
163,18.47150044696272,6
164,16.847826696749358,7
165,13.86499431911105,10
166,18.624732755233985,10
167,18.36811584621216,7
168,15.818338297163745,5
169,18.651103672071184,8
170,18.5517364693384,8
171,17.00442511095703,8
172,16.341889864176494,5
173,17.9613707517234,6
174,17.01837748397029,8
175,15.537500510386694,5
176,18.97314378909919,8
177,20.35329611268452,7
178,16.561453119159204,6
179,19.790163140304767,6
180,14.368233422380323,5
181,20.60061289452462,9
182,16.263094104839396,7
183,19.247123280728566,7
184,20.277176955793543,6
185,18.129081399503757,9
186,19.212479518501038,6
187,19.116861247514237,8
188,19.28691583632718,7
189,21.847210035723798,8
190,19.262216709388014,8
191,16.28876330099952,7
192,18.933735403812776,6
193,16.85014411297174,8
194,19.541309967502386,9
195,19.767302723043525,8
196,17.028373972157755,7
197,18.087436550029903,6
198,17.526595164201794,9
199,17.260144018838155,5
200,19.599323506905954,6
201,18.364563564993006,6
202,21.435503703072733,8
203,17.443350994213656,5
204,19.51252054673629,7
205,18.897605361204814,9
206,19.27472890921646,6
207,18.71056245105901,6
208,18.86408852064492,9
209,17.826605050055857,6
210,17.455274066156406,8
211,18.840146183745546,8
212,16.417789283295534,5
213,14.196647810084853,5
214,19.19803647268659,8
215,17.10954662287836,6
216,19.692367779835717,8
217,20.289753964621287,7
218,18.765562499077163,7
219,18.939107709927484,6
220,17.108222497647116,6
221,16.655846650998594,5
222,17.842852329157946,6
223,17.848103023025217,6
224,20.777442869736678,7
225,19.57041915350923,9
226,17.708188097091973,7
227,19.425962419167316,6
228,18.715767776901355,6
229,18.290996592470485,6
230,17.73221996051289,7
231,18.748077710588273,6
232,16.746100558031408,5
233,17.442983264386395,6
234,16.564296861866808,7
235,16.64525633260587,6
236,20.333632059485208,7
237,16.868432342280535,5
238,18.175862546396086,7
239,17.75281712808906,7
240,18.070999675840646,6
241,15.316433245853785,5
242,17.029524403581878,5
243,18.858592699598866,6
244,15.836003236272418,6
245,18.583743169549937,7
246,21.929271694086523,8
247,19.710005783700627,6
248,20.495538882006745,10
249,17.86777129707603,6
250,17.17635777541771,6
251,17.413789351365804,5
252,19.643277668008768,7
253,17.43578583059518,5
254,16.620431112292863,5
255,17.73618722356304,7
256,15.529095149214536,5
257,19.027702532325403,7
258,18.72482274679307,7
259,18.537371325699127,6
260,18.676006210772417,6
261,18.919157084897115,8
262,17.48047184115854,5
263,19.119374638770193,7
264,20.84866992724653,7
265,20.541772828947952,8
266,18.138386533250575,6
267,18.03019004726514,7
268,17.4012190333311,6
269,19.595808164478775,7
270,17.51683681178641,5
271,20.741352819945472,8
272,18.314672720383765,7
273,17.535106449889724,5
274,14.071600061940147,5
275,15.92992255825748,5
276,15.18277067481987,6
277,18.103832105550044,6
278,20.165900623105934,8
