,r,l
0,232.08920386102542,25
1,241.54218931664752,26
2,325.24510368218506,35
3,185.34143765815935,20
4,466.0360890785953,50
5,222.6598014187069,24
6,315.8968750988556,34
7,194.63681516190238,21
8,231.52055158804447,25
9,334.1727336281756,36
10,259.2830494551886,28
11,250.46170894331823,27
12,240.8045552368268,26
13,287.5837461415897,31
14,390.6123087600971,42
15,408.9021150800677,44
16,287.5719442389302,31
17,315.9253404253459,34
18,278.03921533135343,30
19,278.6045265664432,30
20,306.4027745755088,33
21,268.97059502353113,29
22,250.26907683764333,27
23,334.2180171220441,36
24,259.5522574955561,28
25,334.16779571423456,36
26,315.77053631395046,34
27,287.77271833960873,31
28,268.9327760742076,29
29,231.6664199838268,25
30,231.65463776595436,25
31,399.9385376841337,43
32,297.1421355302683,32
33,297.11699996135894,32
34,315.37927317946554,34
35,353.41550403086916,38
36,296.6295713500367,32
37,325.2072501027755,35
38,250.26423225216212,27
39,259.2988107189884,28
40,240.44460219971236,26
41,250.0996876331818,27
42,334.49189806800985,36
43,240.7259931777094,26
44,380.81959469150087,41
45,287.7029446260448,31
46,297.20589796601934,32
47,259.4373143377724,28
48,250.1641621001093,27
49,306.1016399509239,33
50,315.6667728068754,34
51,250.56219914407322,27
52,222.3367843971119,24
53,259.7634173151825,28
54,268.8587705107951,29
55,259.7251209484251,28
56,268.99713323643897,29
57,296.9194272371657,32
58,278.5181026939145,30
59,222.18651929583402,24
60,240.72600100054154,26
61,278.2184130091199,30
62,240.9365718723819,26
63,231.97691636334844,25
64,222.1021892861449,24
65,203.75430134132247,22
66,194.37937370974646,21
67,194.34378548302075,21
68,203.62123871000057,22
69,194.5800543384994,21
70,185.41066591436004,20
71,176.0777713638805,19
72,157.45014621653297,17
73,157.39016523933645,17
74,148.1223481534319,16
75,157.50036673732754,17
76,157.64724538101893,17
77,166.76961794111787,18
78,157.76375907897202,17
79,157.46597396360588,17
80,166.89439571227797,18
81,157.41894717789268,17
82,157.7906452129786,17
83,157.7753789212545,17
84,148.02156582322232,16
85,148.23145698116926,16
86,166.72192213460687,18
87,138.98252729571513,15
88,167.0823741907281,18
89,148.37174846961463,16
90,138.831809311463,15
91,167.0156181871289,18
92,157.39124511817383,17
93,138.67757093039336,15
94,157.5501084558812,17
95,148.0933306107381,16
96,148.1393827078498,16
97,148.15207873895582,16
98,157.52725280710598,17
99,157.51244051915248,17
100,157.71633359391865,17
101,157.5097058828269,17
102,157.52825000986212,17
103,157.52771900003336,17
104,157.51757294821113,17
105,157.51581611746403,17
106,157.57823900287826,17
107,157.47330490249516,17
108,148.10034407740065,16
109,157.47542268723365,17
110,138.73377504646487,15
111,139.05663871634283,15
112,139.05401561991928,15
113,138.70841295280013,15
114,147.9677692768025,16
115,148.32412131402057,16
116,138.93890829465377,15
117,148.411874039475,16
118,148.1078008061529,16
119,148.24029153202787,16
120,157.41063044004983,17
121,138.81188146702877,15
122,157.70626414043065,17
123,148.38088529608876,16
124,138.7960781220875,15
125,129.6165377320001,14
126,148.44974023398578,16
127,148.02998644999911,16
128,148.18026666080442,16
129,148.31480495927855,16
130,157.61623200374726,17
131,148.27455594671233,16
132,157.45237473327765,17
133,138.72691494449515,15
134,138.67326627308407,15
135,138.62466544434372,15
136,138.7305020664631,15
137,138.99498724509888,15
138,138.91797442148078,15
139,138.7123375618789,15
140,157.4340673069542,17
141,129.62239660648757,14
142,157.56847930741174,17
143,148.4529803756551,16
144,148.31160188763187,16
145,138.64042104100596,15
146,139.10851061892203,15
147,157.69935022491308,17
148,138.95503964780147,15
149,157.51818758701936,17
150,139.10810777744197,15
151,157.63994225124668,17
152,148.21023395794734,16
153,147.9695402991393,16
154,157.70860857637885,17
155,138.9710566788278,15
156,157.5467989934764,17
157,148.14059705628304,16
158,157.57395122485988,17
159,148.28638876139763,16
160,148.45027225186246,16
161,148.20804246845816,16
162,157.67860505979863,17
163,147.8672513309506,16
164,148.10629062805887,16
165,148.3517185349044,16
166,138.83959912645713,15
167,147.97205943730833,16
168,176.1495235599115,19
169,166.70381443156694,18
170,138.82760717619286,15
171,148.11851756669253,16
172,166.8107770231199,18
173,157.51669021368707,17
174,138.83459764896273,15
175,157.37601211762768,17
176,147.81714881546037,16
177,138.71952787774836,15
178,166.8466798637888,18
179,148.3960649249385,16
180,157.52968934370065,17
181,148.05859306766354,16
182,157.73615992001854,17
183,176.2631143510188,19
184,157.11427056147286,17
185,185.23706129668568,20
186,166.7721507626944,18
187,138.76079990659872,15
188,166.77447687587545,18
189,157.11619991272593,17
190,157.69495701265012,17
191,157.6646702418015,17
192,148.02857114372392,16
193,204.04227685023514,22
194,176.1314106982862,19
195,157.50460712545257,17
196,175.9906286665256,19
197,157.31709654494404,17
198,194.59854002629226,21
199,157.5916352367417,17
200,157.5862017698612,17
201,166.67695069242086,18
202,176.00598787770056,19
203,147.97677357120347,16
204,157.4353662192283,17
205,166.70886441756986,18
206,175.78020567268138,19
207,148.31654043395682,16
208,157.63718643313612,17
209,176.35864035221906,19
210,166.90433541126023,18
211,176.0425626662086,19
212,175.92024615546237,19
213,157.28359944577798,17
214,175.91895756395843,19
215,148.43973554019027,16
216,148.31731290735712,16
217,166.79704614537985,18
218,166.71800774927493,18
219,166.949763554766,18
220,157.4618110590285,17
221,157.54105892602325,17
222,157.4820487620168,17
223,185.6097420118903,20
224,176.2813067088353,19
225,185.11633355322016,20
226,166.7322275071199,18
227,175.83978031794314,19
228,157.26561089731752,17
229,176.17229003034916,19
230,166.86631138454456,18
231,176.23630369051853,19
232,166.53504789734433,18
233,166.87148803560967,18
234,204.1312108841176,22
235,194.47307155014838,21
236,176.36709653170755,19
237,185.5445744579553,20
238,185.42295005145226,20
239,203.98232795300493,22
240,194.7718226780412,21
241,166.61062026667338,18
242,185.4708419208689,20
243,166.90660137906917,18
244,194.58076916272344,21
245,204.10895233459118,22
246,157.60899373163943,17
247,204.50992319694538,22
248,213.2336702927176,23
249,240.69947090391167,26
250,204.07271832666976,22
251,204.12139373790941,22
252,222.9519417522621,24
253,222.897667956977,24
254,203.9506197492449,22
255,176.15076125869217,19
256,260.35305504293814,28
257,222.98869673533218,24
