,r,l
0,11.0,11
1,14.0,14
2,19.0,19
3,19.0,19
4,21.0,21
5,24.0,24
6,21.0,21
7,24.0,24
8,14.0,14
9,31.0,31
10,26.0,26
11,14.0,14
12,26.0,26
13,28.0,28
14,14.0,14
15,10.0,10
16,23.0,23
17,21.0,21
18,16.0,16
19,14.0,14
20,14.0,14
21,20.0,20
22,17.0,17
23,25.0,25
24,24.0,24
25,17.0,17
26,14.0,14
27,21.0,21
28,16.0,16
29,20.0,20
30,17.0,17
31,18.0,18
32,14.0,14
33,17.0,17
34,28.0,28
35,42.0,42
36,17.0,17
37,14.0,14
38,22.0,22
39,20.0,20
40,14.0,14
41,16.0,16
42,22.0,22
43,29.0,29
44,13.0,13
45,37.0,37
46,23.0,23
47,42.0,42
48,14.0,14
49,12.0,12
50,20.0,20
51,15.0,15
52,14.0,14
53,26.0,26
54,26.0,26
55,11.0,11
56,14.0,14
57,29.0,29
58,15.0,15
59,52.0,52
60,19.0,19
61,18.0,18
62,18.0,18
63,19.0,19
64,18.0,18
65,30.0,30
66,33.0,33
67,22.0,22
68,24.0,24
69,45.0,45
70,30.0,30
71,16.0,16
72,39.0,39
73,22.0,22
74,35.0,35
75,41.0,41
76,26.0,26
77,16.0,16
78,27.0,27
79,26.0,26
80,11.0,11
81,30.0,30
82,38.0,38
83,67.0,67
84,21.0,21
85,25.0,25
86,45.0,45
87,40.0,40
88,14.0,14
89,18.0,18
90,51.0,51
91,14.0,14
92,12.0,12
93,17.0,17
94,46.0,46
95,64.0,64
96,25.0,25
97,18.0,18
98,35.0,35
99,46.0,46
100,40.0,40
101,11.0,11
102,16.0,16
103,45.0,45
104,31.0,31
105,50.0,50
106,23.0,23
107,22.0,22
108,34.0,34
109,48.0,48
110,82.0,82
111,75.0,75
112,22.0,22
113,11.0,11
114,38.0,38
115,28.0,28
116,27.0,27
117,27.0,27
118,70.0,70
119,32.0,32
120,27.0,27
121,28.0,28
122,13.0,13
123,15.0,15
124,48.0,48
125,13.0,13
126,38.0,38
127,30.0,30
128,21.0,21
129,18.0,18
130,60.0,60
131,23.0,23
132,27.0,27
133,19.0,19
134,54.0,54
135,46.0,46
136,47.0,47
137,13.0,13
138,42.0,42
139,26.0,26
140,54.0,54
141,39.0,39
142,68.0,68
143,17.0,17
144,57.0,57
145,59.0,59
