,r,l
0,-17.90927861825002,150
1,-20.226322430599122,150
2,-20.955787371131205,150
3,-84.79828545076364,150
4,-75.6839303410331,150
5,-85.94741780939798,150
6,-74.35160014546365,150
7,-73.8298444053003,150
8,-43.10463559329881,150
9,-93.44066037178452,150
10,9.069383101961652,150
11,-113.63892454285995,150
12,-77.94900572755934,150
13,-40.692452829236316,150
14,-50.92502726925834,150
15,-26.60890592313578,150
16,-79.89855728300945,150
17,-70.38616851649306,150
18,-28.002875915637624,150
19,-107.55589269325019,150
20,-67.32503319293667,150
21,-75.80122240643422,150
22,-109.63597436968892,150
23,-87.40870148200226,150
24,-73.94264071292017,150
25,2.348592564367207,150
26,-17.89251920164876,150
27,-112.27184763863528,150
28,-28.566683190628087,150
29,-94.9004160430648,150
30,-19.29158625485701,150
31,-32.703388128946514,150
32,-49.90644327121736,150
33,-67.59149144009278,150
34,-35.62044686225039,150
35,-21.75972778922963,150
36,-61.563360972352235,150
37,-12.103134262887046,150
38,-19.24840337800624,150
39,-47.93252245554005,150
40,-101.96684255249086,150
41,-47.346726491797845,150
42,-77.73669581977752,150
43,-72.39067482168177,150
44,-71.77383849768276,150
45,-91.1137993377166,150
46,-44.87044172207425,150
47,-55.81184667795773,150
48,-55.091423984522905,150
49,-33.31257136540288,150
50,-34.56611515482233,150
51,-33.261829816867404,150
52,-116.0736290783737,150
53,-77.58440082065198,150
54,-37.321677301825154,150
55,-61.597867776792896,150
56,-102.39801861955384,150
57,-101.02126505007341,150
58,-81.81990787771264,150
59,-46.211018656565884,150
60,-50.40126180155493,150
61,-69.06630723989117,150
62,-92.90130785614016,150
63,-91.87222556526555,150
64,-72.58911089362071,150
65,3.345070509130525,150
66,-114.16863245126227,150
67,-80.07622672432018,150
68,-76.46094652785152,150
69,-112.87312981228217,150
70,-39.1094772992665,150
71,-79.27082415216036,150
72,-98.70734799866223,150
73,-37.860677703147715,150
74,-40.44266428711704,150
75,-80.56877834386991,150
76,-73.51048465826179,150
77,-84.92641555102105,150
78,-39.656964472346225,150
79,-85.86273795949201,150
80,-97.44450036931671,150
81,-102.08084661564722,150
82,-70.42810595877611,150
83,-80.08854875221735,150
84,-101.559944730609,150
85,-109.83549740199801,150
86,-43.36636223821841,150
87,-84.41354417966105,150
88,-50.50975500102157,150
89,-27.698451623711858,150
90,-31.559238737764765,150
91,-25.90858163938012,150
92,-41.622744670362,150
93,-48.474821604468374,150
94,-44.663851496907455,150
95,-103.73799178595773,150
96,-104.93975113393964,150
97,-14.0001419997073,150
98,-36.75493302156589,150
99,-43.17167581280058,150
100,-128.5619899183084,150
101,-115.32791634629848,150
102,-17.985642322439357,150
103,-60.563836167410074,150
104,-58.758927158044486,150
105,-17.528564029202673,150
106,-43.65337255253198,150
107,-50.830503653854024,150
108,-94.43761320277474,150
109,-35.57979602200363,150
110,-32.16936891863559,150
111,-104.3702776649757,150
112,-77.16849540151311,150
113,-58.84259468973165,150
114,-7.872212130884155,150
115,-101.87806941054343,150
116,-52.26712583982959,150
117,-111.71425580668637,150
118,-92.07973142583705,150
119,-51.91306031355986,150
120,-96.39640042648452,150
121,-33.650496668933776,150
122,-59.50579996727358,150
123,-80.03285962908141,150
124,-92.55886153854016,150
125,-79.54306815099231,150
126,-21.952853380161375,150
127,-53.627567766358084,150
128,-90.05109325172862,150
129,-76.53200731083433,150
130,-71.77785726838815,150
131,-37.77494654023764,150
132,-113.79850960002393,150
133,-81.78112811559718,150
134,-18.938826243776326,150
135,-45.35097559247129,150
136,-70.84853019920529,150
137,-50.465251644875195,150
138,-98.82112670672319,150
139,-45.40640534383552,150
140,-46.76984861029804,150
141,-73.08548276841276,150
142,-104.83944582359518,150
143,-32.22629508949091,150
144,-35.56267835797901,150
145,-69.75180071378634,150
146,-39.67411138165646,150
147,-95.41102889605929,150
148,-43.89118905118819,150
149,-137.80260046258206,150
150,-41.276682441937766,150
151,-106.6213581044587,150
152,-95.95456497098772,150
153,-52.982354751450984,150
154,-39.29153301406099,150
