,r,l
0,352.3220112200134,1000
1,331.15164288146104,1000
2,385.24983180983685,1000
3,16.79972110221417,48
4,532.1304535194412,1000
5,202.83369183002316,403
6,383.5601358445101,1000
7,120.11375599783099,268
8,507.8416055018909,1000
9,367.6820403223544,1000
10,281.318696981606,557
11,372.86871041137016,1000
12,497.8034312894618,1000
13,395.8699355656121,1000
14,536.7723072034643,1000
15,107.81482588336547,226
16,72.24227718504814,149
17,336.5423462667163,1000
18,127.97881534598083,223
19,126.71134765407275,203
20,457.0965102645929,1000
21,42.71525829824812,57
22,44.24269624358087,53
23,116.12872186480539,182
24,147.16522078579993,234
25,76.5522179783283,119
26,81.62036636117192,142
27,371.2811539401873,589
28,42.69684890588821,58
29,88.22545076569038,111
30,241.43594926937814,422
31,252.17266999948546,462
32,31.774109784195495,48
33,114.28613738206437,182
34,74.89708728397154,101
35,498.14801070529523,955
36,485.5986498221179,1000
37,155.18588576621957,246
38,187.54569320077232,270
39,46.63191919955997,59
40,120.04182093923602,145
41,477.0786785200536,821
42,72.38639429570273,182
43,36.61772690801823,64
44,464.0362054472494,1000
45,27.311275168333594,39
46,131.4072912980092,333
47,36.56192604298284,50
48,80.95569645986372,262
49,110.7583202550087,306
50,61.0566414146966,88
51,53.5775961174544,76
52,159.57775001764327,808
53,295.5134195969082,1000
54,160.0995586420159,686
55,192.4414512983883,984
56,73.82371988782,221
57,252.63732617870036,934
58,89.82264418193557,312
59,273.9495369268153,1000
60,242.34094463819523,915
61,83.77509416969123,327
62,143.76513993564254,644
63,226.17169596611433,1000
64,98.5170848981435,404
65,225.52955766053947,1000
66,267.8883599372892,1000
67,137.80522518367874,605
68,237.67995354134595,1000
69,254.40211913198033,1000
70,103.19474894658896,458
71,207.70727870285006,1000
72,214.08381739515042,1000
73,255.1057346549601,1000
74,286.28253423244877,1000
75,320.65552677124845,1000
76,226.74853472608493,1000
77,104.63125111928093,297
78,259.0095459673643,1000
79,225.42822505401722,1000
80,208.00225396246822,1000
81,232.334239728347,1000
