,r,l
0,14.0,14
1,25.0,25
2,20.0,20
3,34.0,34
4,15.0,15
5,30.0,30
6,12.0,12
7,14.0,14
8,37.0,37
9,13.0,13
10,31.0,31
11,19.0,19
12,25.0,25
13,22.0,22
14,24.0,24
15,29.0,29
16,35.0,35
17,29.0,29
18,30.0,30
19,42.0,42
20,14.0,14
21,50.0,50
22,33.0,33
23,17.0,17
24,11.0,11
25,27.0,27
26,35.0,35
27,18.0,18
28,56.0,56
29,19.0,19
30,37.0,37
31,29.0,29
32,27.0,27
33,26.0,26
34,20.0,20
35,17.0,17
36,33.0,33
37,31.0,31
38,15.0,15
39,11.0,11
40,20.0,20
41,27.0,27
42,68.0,68
43,18.0,18
44,12.0,12
45,12.0,12
46,12.0,12
47,13.0,13
48,27.0,27
49,20.0,20
50,29.0,29
51,34.0,34
52,29.0,29
53,34.0,34
54,27.0,27
55,77.0,77
56,13.0,13
57,26.0,26
58,38.0,38
59,55.0,55
60,12.0,12
61,56.0,56
62,21.0,21
63,21.0,21
64,19.0,19
65,26.0,26
66,19.0,19
67,52.0,52
68,32.0,32
69,17.0,17
70,35.0,35
71,35.0,35
72,29.0,29
73,22.0,22
74,22.0,22
75,39.0,39
76,18.0,18
77,26.0,26
78,20.0,20
79,23.0,23
80,11.0,11
81,27.0,27
82,15.0,15
83,36.0,36
84,17.0,17
85,12.0,12
86,17.0,17
87,86.0,86
88,20.0,20
89,73.0,73
90,33.0,33
91,31.0,31
92,28.0,28
93,49.0,49
94,17.0,17
95,29.0,29
96,36.0,36
97,29.0,29
98,25.0,25
99,23.0,23
100,34.0,34
101,28.0,28
102,17.0,17
103,28.0,28
104,24.0,24
105,21.0,21
106,18.0,18
107,45.0,45
108,18.0,18
109,67.0,67
110,46.0,46
111,31.0,31
112,21.0,21
113,26.0,26
114,27.0,27
115,26.0,26
116,20.0,20
117,39.0,39
118,60.0,60
119,50.0,50
120,21.0,21
121,24.0,24
122,27.0,27
123,29.0,29
124,64.0,64
125,36.0,36
126,56.0,56
127,22.0,22
128,37.0,37
129,39.0,39
130,22.0,22
131,36.0,36
132,80.0,80
133,14.0,14
134,25.0,25
135,40.0,40
136,26.0,26
137,28.0,28
138,95.0,95
139,42.0,42
140,44.0,44
141,39.0,39
142,63.0,63
143,44.0,44
144,57.0,57
145,39.0,39
146,33.0,33
147,60.0,60
148,60.0,60
149,50.0,50
150,31.0,31
151,16.0,16
152,62.0,62
153,66.0,66
154,63.0,63
155,41.0,41
156,138.0,138
157,76.0,76
158,221.0,221
159,42.0,42
160,94.0,94
161,73.0,73
162,100.0,100
163,153.0,153
164,91.0,91
165,67.0,67
166,84.0,84
167,89.0,89
168,86.0,86
