,r,l
0,-3.9796607112140925,150
1,-22.456488822076974,150
2,-50.93386897617717,150
3,-0.9420639029540763,150
4,-31.7851744342696,150
5,-14.148138946082572,150
6,-10.633032092991073,150
7,-9.059760291553152,150
8,-19.761474376553736,150
9,-21.71433770413624,150
10,-19.965358047089673,150
11,-11.738136309402229,150
12,-59.38510393904145,150
13,-33.45176909682311,150
14,-39.31961002935908,150
15,-101.88550436715872,150
16,0.5392132327855901,150
17,-0.9343758116371712,150
18,2.670097229335638,150
19,-8.469173714071875,150
20,-19.69671804171132,150
21,-11.718147715620855,150
22,-37.5829901223961,150
23,-18.196056074730365,150
24,3.188900628353303,150
25,-6.264969641271708,150
26,-13.178509006075112,150
27,2.3853233655848047,150
28,-10.072016272973489,150
29,-11.664679779797874,150
30,-20.071162265903638,150
31,-12.299312401085414,150
32,-7.529970177594933,150
33,-25.11029848075876,150
34,0.08520771394780825,150
35,-13.92157031799964,150
36,-24.884500656195545,150
37,-17.46961416965535,150
38,-39.44490924135554,150
39,-5.043967426761086,150
40,-7.714427917755743,150
41,-9.235057728591567,150
42,-19.479882141660717,150
43,3.5186846805883443,150
44,-20.340975408333797,150
45,-5.0291207344693705,150
46,-35.5566515994602,150
47,-51.02863863609312,150
48,-51.923668228578656,150
49,-16.902579821047436,150
50,-63.31715183986029,150
51,-15.765784481167776,150
52,-133.1909014018127,150
53,-63.12146538999183,150
54,-64.55917031459701,150
55,-15.511730844237881,150
56,-54.57766386227294,150
57,-16.023890109335067,150
58,-45.57091871605054,150
59,-33.2509111593307,150
60,-59.39514771293041,150
61,-57.057234104832716,150
62,-35.10579883872303,150
63,-55.70814464028423,150
64,-48.76991011760939,150
65,-68.34776363498354,150
66,-56.12556598227335,150
67,-45.8918245599455,150
68,-32.84754630497794,150
69,-55.09541441335955,150
70,-71.5275096239754,150
71,-54.60708707959626,150
72,-58.285664701438435,150
73,-41.0473328049532,150
74,-48.45740381131074,150
75,-36.74035525285522,150
76,-43.88539366228601,150
77,-30.09266461555766,150
78,-3.985971217597374,150
79,-21.790273115333857,150
80,-1.958955202449863,150
81,-13.804284495701449,150
82,-34.764329470096875,150
83,-43.28360272969497,150
84,-28.383528015584556,150
85,-36.47182711488908,150
86,-35.873256346415616,150
87,-4.038997151384349,150
88,-12.1509214450986,150
89,-5.832926851574236,150
90,-3.995961283869169,150
91,-15.154645185376058,150
92,-66.10964658789736,150
93,-20.7911257047227,150
94,-13.60218170192303,150
95,-34.1210178095867,150
96,-34.74160106318896,150
97,-29.587525397183388,150
98,0.7885864826237574,150
99,-8.376405122768622,150
100,-23.613714011684323,150
101,-29.542109814808473,150
102,-19.71899081562516,150
103,-39.19451487021736,150
104,-34.89520170992629,150
105,-16.39725637477699,150
106,-44.61676095650116,150
107,-53.07469882659715,150
108,-34.470616491756054,150
109,-20.03597256813432,150
110,-65.79724407440068,150
111,-30.04761933677665,150
112,-43.52688289246147,150
113,-21.764168227459123,150
114,-17.43208882776588,150
115,-39.379292503024914,150
116,-28.190429523872723,150
117,3.640245940768269,150
118,-25.909447553487563,150
119,-26.879088264160455,150
120,-31.20406857711212,150
121,0.41063000502740177,150
122,-25.085529617602884,150
123,-13.724003660836463,150
124,-16.53046456964049,150
125,-17.920194115729267,150
126,-34.05455093062248,150
127,-4.28187306767525,150
128,-26.995004328723844,150
129,-14.470655134034562,150
130,-10.248447513948882,150
131,-28.149556969169875,150
132,-31.710032145898857,150
133,-32.084823325201086,150
134,-13.820011544716243,150
135,-14.075601714301389,150
136,-24.944275411682984,150
137,-5.234192173955147,150
138,-11.698708880196428,150
139,-25.01918595803329,150
140,-24.143237978616884,150
141,-24.602611471062204,150
142,-42.363694421618746,150
143,-34.99317018800098,150
144,-27.203861523133195,150
145,-10.627465702806646,150
146,-24.12291924050804,150
147,-28.583570598523707,150
148,-32.18016573312197,150
149,-67.23424290496295,150
150,-43.92005760334308,150
151,-9.718136958757508,150
152,-6.947311592657042,150
153,-27.392234032237234,150
154,-25.554109471700674,150
155,-34.78200548419555,150
156,-20.912740331207164,150
157,5.876506080685696,150
158,-20.455263695993956,150
159,-6.255271503491318,150
160,-36.81097466260827,150
161,-14.955934880396132,150
162,-38.413875717081844,150
163,-25.399509092081118,150
164,-36.74264164898761,150
165,-16.107298964467493,150
166,-4.814915692702527,150
167,-14.332379953724592,150
168,-25.90196080207553,150
169,-38.51477852240541,150
170,-9.477174921073965,150
171,-32.04432898683767,150
172,-6.847621079220813,150
173,-29.9054908624087,150
174,-19.253546530329583,150
175,-15.807586259789186,150
176,-32.43049615430637,150
177,-2.883674970150536,150
178,-31.536359954644997,150
179,-10.003280800627042,150
180,-5.963508108758104,150
181,-20.34806598519772,150
182,-13.973125614818995,150
183,-16.67704709222573,150
184,-1.9934277064231396,150
185,-11.623513247876517,150
186,-3.4293921186616,150
187,-19.994441731449683,150
188,-1.507546969629275,150
189,-28.897888567375702,150
190,-0.6509996435127026,150
191,-8.2010048849755,150
192,-46.71442879600198,150
193,-12.706066797848347,150
194,-35.01044667817005,150
195,-23.31819045790022,150
196,-19.593025531739173,150
197,-1.1425316314548501,150
198,-15.507255103724846,150
199,0.8241476114026137,150
200,5.010685566168452,150
201,-26.048654215924817,150
202,-3.6377837968220788,150
203,-25.097486458906793,150
204,-33.84007503203599,150
205,-56.03869584064902,150
206,-15.202298766848724,150
207,-12.817387663107429,150
208,-8.343278362090826,150
209,-12.08167382441634,150
210,-28.80138869624578,150
211,-21.401332480149858,150
212,-18.36905418516526,150
213,-100.64749376838066,150
214,-35.05489561462972,150
215,-3.7818359962424464,150
216,-26.947616496436066,150
217,-7.7183182846158935,150
218,-6.845006705505807,150
219,-11.663285077579596,150
220,-18.43395285106398,150
221,-31.48550578331502,150
222,-1.792987598524007,150
223,-18.95356182872815,150
224,-25.424170574976092,150
225,-19.71569464238309,150
226,5.726252470663111,150
227,-27.80256980064463,150
228,-17.532502692309762,150
229,-16.36070537374909,150
230,-0.9591991649136168,150
231,-4.010632185197506,150
232,-11.567195039860596,150
233,-11.93214461151716,150
234,-23.16587253446721,150
235,-13.66267221038033,150
236,-10.718096865342766,150
237,-28.386735234218992,150
238,5.4193233525036755,150
239,-10.808651520909853,150
240,-33.5910962166431,150
241,-13.80277420403453,150
242,-34.113877641918286,150
243,-84.2838578109407,150
244,-50.51171471665671,150
245,-7.2691548085728,150
246,-69.21627353285413,150
247,-18.947702508806323,150
248,-12.358398333662956,150
249,-7.047390047538176,150
250,-24.06120792573618,150
251,-38.35213715116246,150
252,10.926016328575729,150
253,-17.44509815887466,150
254,-7.973957996560107,150
255,7.548748391920495,150
