,r,l
0,327.90815227702404,1000
1,596.8994696447335,1000
2,344.983081370848,1000
3,500.8221207172469,1000
4,336.8571895327016,1000
5,276.1871514800193,1000
6,425.70516830464095,1000
7,295.9562950462749,1000
8,302.65531593991335,1000
9,429.5463042334085,1000
10,401.23938068905557,1000
11,446.74556874320643,1000
12,498.0773605444644,1000
13,438.8041756261109,1000
14,430.11876856752895,1000
15,80.67327590684019,159
16,416.24872158232296,1000
17,430.5334822603445,1000
18,443.23873402427694,1000
19,439.9685646499015,1000
20,32.725916079474835,77
21,340.06517575688974,1000
22,449.90636286742483,1000
23,18.10399340086337,50
24,78.89661450425298,186
25,65.14084672418632,187
26,420.83187193773256,1000
27,343.22063177071414,1000
28,469.55036275507655,1000
29,84.51412122202116,181
30,13.999736183260321,48
31,52.03616677428536,188
32,96.69028585597627,213
33,395.9747740211791,1000
34,3.4255948861810595,20
35,24.879228356888422,81
36,428.5882001514254,1000
37,60.76611003130202,130
38,42.38369274208859,110
39,45.449452153837306,112
40,450.5334045541468,1000
41,4.944382327255635,20
42,107.49558527561751,319
43,142.02105994993948,258
44,5.32555868947837,20
45,181.98955448365928,386
46,421.2898878074579,1000
47,493.581673972361,1000
48,6.13995773141601,27
49,111.44838894331365,236
50,450.7120553436934,1000
51,37.032822676984956,81
52,80.88028802350125,225
53,7.315731991180859,38
54,7.185460280685579,27
55,82.2059241661032,251
56,425.75551031455126,1000
57,61.514556391929986,131
58,407.37656062927016,1000
59,560.3763816201971,1000
60,450.8413563831115,1000
61,528.0443063500442,1000
62,6.7859219685632075,31
63,548.0416421554788,1000
64,199.41053968128912,528
65,536.1157419355955,1000
66,156.9093444173695,300
67,5.525673736169034,20
68,148.56550659584622,333
69,104.13795775338184,335
70,504.99627919255016,1000
71,78.74143936255025,152
72,438.25415805736327,1000
73,581.6669658529914,1000
74,6.102774236436703,21
75,477.81135419370247,1000
76,527.1859506504052,1000
77,435.59828378882116,1000
78,506.5727752427933,1000
79,544.3954339709453,1000
80,550.2175045852899,1000
81,120.1829795325812,326
82,497.7393165898854,1000
83,434.0237836494545,1000
84,433.1218713769896,1000
85,548.0231683539716,1000
86,558.6879316082824,1000
87,502.19782356796674,1000
88,83.07091897169241,169
89,505.8075459333018,1000
90,527.0902720010721,934
91,372.14669672262727,1000
92,591.8829648864886,1000
93,551.4247524324707,1000
94,182.3353197004647,274
95,648.1613257653123,1000
96,532.9662069774038,1000
97,282.64906584886893,529
98,608.8165148961043,1000
99,590.1011404183704,1000
100,503.2925382659058,1000
101,598.810922407421,1000
102,474.2854964225521,1000
103,273.43103595046944,534
104,628.6881912854217,1000
105,580.8480205972414,1000
106,547.0515707709837,1000
107,671.8326637966729,1000
108,480.75867535351654,1000
109,511.10030491238916,1000
110,49.54916060187455,115
111,157.55114013440755,265
112,603.7341452763485,1000
113,473.7197068099559,1000
114,323.60472241163694,620
115,569.7629624866911,1000
116,426.4121966933161,1000
117,584.296372815011,1000
118,521.0678501464516,1000
119,566.2485661009881,1000
120,74.98003230143291,181
121,589.1748477339387,1000
122,579.9014267458532,1000
123,113.88401985540739,200
124,198.12832468603418,346
125,669.7768872101391,1000
126,362.52343721286763,611
127,597.0142898454609,1000
128,579.037139574269,1000
129,450.03187203581837,1000
130,668.9217186324427,1000
131,531.1989006182191,1000
132,492.5104065749794,1000
133,502.1640752429733,1000
134,446.15358427048244,1000
135,181.77045681128172,432
136,469.13395420538546,1000
137,663.9572613026347,1000
138,590.8518645226449,1000
139,543.8984614994665,1000
140,508.3053292472748,1000
141,554.0366424254483,1000
142,559.1440905840839,1000
143,692.3210693178834,1000
144,543.4442218794806,1000
145,676.1740794747421,1000
146,549.5764413247255,1000
147,540.11643670239,1000
148,638.6640424772005,1000
149,558.9942469066393,1000
150,396.45772316489547,1000
151,534.8955629214455,1000
152,543.7421385554958,1000
153,529.6567175558183,1000
154,591.6945077130521,1000
155,581.5862424020249,1000
156,463.3154803642781,1000
157,550.7045708943535,1000
158,416.87822119103214,1000
159,537.0289927221098,1000
160,535.2490575825997,1000
161,467.05647162290387,1000
162,567.1179154935767,1000
163,501.6621029923523,1000
164,541.501918020712,1000
165,510.84982791899085,1000
166,486.876526175827,1000
167,562.8440908433327,1000
168,463.0808184164861,1000
169,402.5478277967211,1000
170,482.84046740917296,1000
171,379.46880390892284,1000
172,472.6361720245151,1000
173,512.9805736150671,1000
174,559.9435150584004,1000
175,647.2846860431403,1000
176,574.202326206218,1000
177,501.4007534740011,1000
178,624.6202130084298,1000
179,664.8396455242638,1000
180,677.8215040020941,1000
181,598.2914977956397,1000
182,556.565469549736,1000
183,497.51153596604,1000
184,515.8809290991918,1000
185,583.6196711040006,1000
186,575.9457599764318,1000
187,408.510789183395,1000
188,43.239876739834074,107
189,626.0581208311453,1000
190,561.8231484301435,1000
191,524.7980021037095,1000
192,552.0721515670492,1000
193,51.748692813942256,125
194,102.69832545701958,219
195,11.94429263457021,31
196,4.554787651685523,20
197,29.26693787612834,89
198,5.974445143356522,20
199,44.966534901520106,89
200,463.4388711631455,1000
201,454.78479771587126,1000
202,6.561470538138256,21
203,36.28765233609701,94
204,468.5177599439674,1000
205,62.495566880145205,188
206,176.39679659677395,382
207,520.962556757198,1000
208,531.4837781633684,1000
209,126.07094720422499,257
210,633.4202434745301,1000
211,64.89220573586162,139
212,511.3877195840078,1000
213,464.8483703022188,1000
214,164.6366235535905,364
215,76.40170264202872,204
216,601.5643340065858,1000
217,398.1978797240848,1000
218,398.9632662314241,1000
219,88.10647922774858,245
220,480.7357192432258,1000
221,87.85275657253477,207
222,544.185361526951,1000
223,15.311022811059516,39
224,78.97364121400794,156
225,63.09633617186362,133
226,5.41990753137203,21
227,22.618597634907307,79
228,50.34719810612999,161
229,28.008633708533498,94
230,2.4526083900057154,20
231,4.132710581324206,20
232,353.95042812639446,934
233,3.901021372639234,20
234,3.266639292779194,20
235,34.617956150680264,152
236,3.6175372466944014,20
237,7.543108701241097,25
238,4.845727981884174,21
239,4.342946174115395,20
240,20.35426135669768,92
241,5.026892438871156,21
242,5.95795733484958,27
243,6.646429880817206,25
244,437.4094273872878,1000
245,87.56438027244211,343
246,44.48709190380299,148
247,3.5116083247951178,20
248,3.3674057717134827,20
249,3.690051562643105,21
250,5.158162181193543,21
251,25.07961610842789,115
252,18.33140165752081,58
253,5.1384184099902255,21
254,6.650391890577431,27
255,5.1054533902250405,21
256,27.059834036406436,90
257,226.43236786333898,648
258,4.6765341290294105,20
259,130.60253218674313,376
260,50.4897815082774,201
261,3.509692308716703,20
262,36.67229829906726,100
263,4.828184434752394,20
264,63.855124422120724,179
265,343.869119143099,1000
266,47.267195465697604,102
267,362.0688602701936,1000
268,302.1174486401467,1000
269,16.749127871630947,64
270,4.958875291114271,21
271,303.9930771917513,1000
272,61.20429198461016,196
273,431.93990703400914,1000
274,443.5814506427973,1000
275,71.70343405353036,252
276,65.67276713646825,144
277,340.36297404166896,1000
278,415.7134737338188,1000
279,454.7910087400237,1000
280,392.31267764285855,1000
281,396.53586438321094,1000
282,408.19289250649757,1000
283,446.9897309992392,1000
284,38.24296294298461,123
285,67.8713874734811,186
286,443.94898525464873,1000
287,462.565521388388,1000
288,453.7423720299478,1000
289,205.69352785159813,383
290,204.85050308204492,534
291,286.114067564769,1000
292,278.7863881611041,1000
293,59.36107461222001,213
294,17.742733805051145,53
295,41.954650139597376,153
296,3.8788362402967547,21
297,6.0212932501832155,22
298,31.789406657402978,97
299,4.349703527679431,20
300,51.19214764589475,226
301,237.12622976046873,664
302,5.0590710161224735,21
303,425.45794078667285,1000
304,320.2311177448619,1000
305,418.7903585745694,1000
306,75.27204148669583,204
307,17.915286518127644,50
308,472.77527609703003,1000
309,13.788504958158471,41
310,363.1335150400357,1000
311,16.50955285898497,54
312,39.84380313068546,81
313,105.1270967171467,326
314,21.377205061562915,53
315,503.028152387563,1000
316,4.883860008133722,21
317,43.37655005443711,147
318,45.840456769615315,104
319,13.332286675084777,35
320,489.94453858940875,1000
321,4.238539905402531,21
322,4.697990577639383,21
323,5.340893624859013,21
324,3.7040194494186975,21
325,6.0274648550048635,22
326,315.76924378343267,1000
327,40.41408596505714,83
328,3.2425974785810925,20
329,16.032963066806662,51
330,4.173502124614301,21
331,5.485306017965204,25
332,5.463591346932532,21
333,4.3031207313167545,20
334,7.713099799182883,29
335,4.4065773906648005,20
336,94.89810079411538,195
337,28.18345931261518,95
338,304.9233760926969,1000
339,42.6499224118776,145
340,282.299835043934,1000
341,5.249322951695422,20
342,6.387528041838634,32
343,314.0563776518931,1000
344,309.4994326786541,1000
345,3.3442022739611157,20
346,29.620929653506117,103
347,5.0928560665274,20
348,4.181476517430159,20
349,4.761693662853247,20
350,3.7408076689278182,21
351,93.96360865988613,229
352,3.684191333034233,20
353,4.26476557586173,20
354,7.792099651722079,31
355,60.86532910754281,217
356,37.15426472837761,132
357,6.704266155106021,21
358,76.89075163698463,188
359,5.801840222895605,22
360,4.360578505807881,20
361,18.552900283832738,57
362,5.009828133895281,20
363,4.950105615192146,21
364,7.010712310256121,25
365,4.195090546496952,20
366,5.699599844178863,20
367,4.843335447384603,20
368,12.319693505403281,41
369,4.329695303760616,21
370,15.686797548175848,61
371,4.671650898298046,21
372,44.7552597823137,120
373,5.3254627362203415,20
374,5.0459291504615225,22
375,22.670429946500075,99
376,4.174081349498926,22
377,4.162994980079658,21
378,4.825691187922251,21
379,4.824158250716993,20
380,4.8134953866069,20
381,3.913288932140215,20
382,5.565247249416482,29
383,3.363134828691276,20
384,3.0929756093397924,20
385,2.8306565821291096,20
386,4.926911819540824,20
387,3.905514957518635,20
388,4.469208791762632,20
389,3.0153411763527282,21
390,3.9880772727299862,20
391,3.6545754841435705,20
392,2.6125610270832405,20
393,3.3296038256849245,20
394,3.767968340311351,20
395,2.807528381077239,20
396,4.592985298970244,20
397,4.840569504655496,20
398,5.092762777908276,20
399,3.658925035130443,20
400,4.518357737219838,20
401,3.033819150189224,20
402,3.7383412630913124,21
403,2.7380586851519824,20
404,3.9055361832858773,20
405,3.534381739418251,20
406,3.7203503150010566,20
407,3.595699241652486,20
408,2.3090723608459145,20
409,4.534237788164738,20
