,r,l
0,471.19983653513356,1000
1,471.81775167893295,1000
2,453.69173988636055,1000
3,502.44475947776516,1000
4,405.37404390834695,1000
5,372.5972869232615,1000
6,463.5316613289515,1000
7,447.36091547910513,1000
8,450.11843588774104,1000
9,441.8899535858813,1000
10,503.4372892937181,1000
11,440.41900032449104,1000
12,458.5395402263838,839
13,557.1905308615512,1000
14,520.9896911756646,1000
15,442.7283187415428,1000
16,531.4441459022904,1000
17,550.9614513933958,1000
18,543.9868387834936,1000
19,570.9153013730346,1000
20,506.08263761340777,1000
21,567.3621537506734,1000
22,406.79784813788774,1000
23,502.4908157281122,1000
24,553.1408349127661,1000
25,420.6753507085789,1000
26,486.14978701823753,1000
27,500.1427690544677,1000
28,577.3570911547627,1000
29,467.1480270213954,1000
30,546.9468811842221,1000
31,502.0193906408791,1000
32,536.6392422146724,1000
33,568.4888398049245,1000
34,630.9337330918798,1000
35,411.0587167767609,1000
36,540.6618480000193,1000
37,190.21981198441546,446
38,418.0038899591031,1000
39,353.3521557411921,1000
40,366.033864565346,1000
41,492.29594307527304,1000
42,114.56268118575353,278
43,87.07641442671114,193
44,433.94810805140514,1000
45,412.4528642150428,1000
46,142.60648909114374,253
47,127.46555185865265,238
48,486.6461090226969,1000
49,433.9916005066061,1000
50,102.20359731760821,198
51,500.8362099262422,1000
52,306.4297066962848,816
53,419.56878044936076,1000
54,353.12928894822994,1000
55,331.1956909535509,1000
56,355.2903999268044,1000
57,189.56382042917357,358
58,139.3300207164635,278
59,198.8957556685422,552
60,215.0311233498324,381
61,225.2149934676223,418
62,361.3906812867275,1000
63,621.9094317536052,1000
64,584.8090350617423,1000
65,428.36287258112907,902
66,487.00912956550815,1000
67,487.8695126501849,1000
68,332.07296498306545,643
69,595.0338766215149,1000
70,534.6971735897718,1000
71,616.2449530836153,1000
72,533.728637117614,1000
73,524.1868541747197,1000
74,449.34153316618807,1000
75,503.98311397003124,1000
76,357.21296009460866,1000
77,409.7407616209617,1000
78,417.56361219072596,1000
79,499.67252719258994,1000
80,494.69876234421247,1000
81,466.9110069947623,1000
82,435.427119498647,1000
83,388.8837143800642,1000
84,312.5182642025775,1000
85,429.34798076667573,1000
86,381.8961500833274,1000
87,386.85541896494016,1000
88,289.3372158527077,1000
89,431.29784898192594,1000
90,327.58214237730266,1000
91,345.67793833338857,1000
92,338.7684763205056,1000
93,313.8477437593164,1000
94,262.63882115316807,1000
95,285.77640115783396,1000
96,311.16640959357983,1000
97,298.7392133278739,1000
98,360.227366780218,1000
99,291.2889774534666,1000
100,308.15742698991903,1000
101,400.08695042228305,1000
102,444.3380722289876,1000
103,378.7175488670598,1000
104,409.93313883605055,1000
105,382.7853641749607,1000
106,356.6140256405575,1000
107,425.09111762512,1000
108,421.27260874155843,1000
109,406.2729893073493,1000
110,436.6606295125229,1000
111,469.14209677423014,1000
112,413.8896607122994,1000
113,398.390601169334,1000
114,366.3477948578909,1000
115,400.2631296754242,1000
116,383.64413479411604,1000
117,386.8269080805632,1000
118,301.46713003782935,1000
119,326.04483123352037,1000
120,403.9548418629321,1000
121,383.07512996192906,1000
122,276.6169128384909,1000
123,439.3203005638325,1000
124,348.65318297169546,1000
125,422.01156970139806,1000
126,280.60310136798415,1000
127,257.4928745181127,1000
128,275.92385582798806,1000
129,293.07662276656225,1000
130,288.6671204847121,1000
131,254.3273004383291,1000
132,302.8148254614197,1000
133,335.9065250562759,1000
134,267.31891819728435,1000
135,227.0651098515164,1000
136,315.46554810664117,1000
137,306.3417823911793,1000
138,300.31135238496233,1000
139,387.18593889128346,1000
140,289.97783710142187,1000
141,304.9233003245435,1000
142,335.4628895227088,1000
143,286.5490137158401,1000
144,357.6955439097686,1000
145,421.5750338747841,1000
146,360.9149164003877,1000
147,470.45684192857533,1000
148,388.728865687218,1000
149,376.2214536333296,1000
150,50.462176099000864,138
151,255.8128290497168,1000
152,294.37433921722265,1000
153,327.1450335398538,1000
154,306.9540752607733,1000
155,318.6992736236926,1000
156,306.42355617808175,1000
157,308.7484599355468,1000
158,316.49201624883636,1000
159,284.83193493547714,1000
160,310.60098658687946,1000
161,279.2200733086679,1000
162,303.03405139011227,1000
163,298.2779187107753,1000
164,285.14357849874324,1000
165,283.5011795973089,1000
166,272.12797617384945,1000
167,288.35699235362625,1000
168,305.337904084545,1000
169,317.1675705733368,1000
170,285.0631433965498,1000
171,291.6605455484772,1000
172,287.78106194871054,1000
173,293.1420672665402,1000
174,230.51526068865047,1000
175,292.9626708194208,1000
176,286.88493734352716,1000
177,288.64860290717996,1000
178,298.53672117682135,1000
179,318.83595434037846,1000
180,331.51008460456075,1000
181,310.95032167011266,1000
182,308.20143605846016,1000
183,316.18837376404264,1000
184,323.26582127841164,1000
185,325.96886005025823,1000
186,319.4193273275128,1000
187,312.2116068346832,1000
188,348.08047566458663,1000
189,333.4448695855312,1000
190,313.7269983721748,1000
191,325.53709264857133,1000
192,268.6137498243283,1000
193,288.2410212339922,1000
194,291.71404596533495,1000
195,400.4966018307641,1000
196,52.51355650397357,137
197,305.02993395725093,1000
198,351.4848327378996,1000
199,103.21233798890432,286
200,302.8616868395669,1000
201,320.24716730701186,1000
202,401.05475578382647,1000
203,319.17376475091373,1000
204,359.0059331597758,1000
205,369.8521164973305,1000
206,366.0199859024084,1000
207,381.4359404865043,1000
208,373.1745246520448,1000
209,346.07022100917357,1000
210,388.7011850924308,1000
211,351.20616194242587,1000
212,343.30600945906264,1000
213,348.5475981768448,1000
214,341.0424605069787,1000
215,319.39070417310313,1000
216,339.8251713919227,1000
217,346.6219832324946,1000
218,384.6535343503702,1000
219,383.96426197813304,1000
220,345.98953738481856,1000
221,369.31288380244985,1000
222,334.6004210638476,1000
223,393.4474126576536,1000
224,366.06732600133023,1000
225,259.32784592167707,1000
226,316.8662540276795,1000
227,46.74343600152869,131
228,321.96926093788306,1000
229,362.13176278511014,1000
230,284.71785878163104,1000
231,353.1020081955116,1000
232,353.0554369096214,1000
233,362.80836979876005,1000
234,411.74771456628014,1000
235,307.3213916200598,1000
236,411.21839047920116,1000
237,346.8145202190957,1000
238,428.3634381696692,1000
239,333.6942641792329,1000
240,315.4965113740387,1000
241,365.48385632193333,1000
242,383.01336133491884,1000
