,r,l
0,17.91606283742114,16
1,18.50717200864059,15
2,22.23602770659911,15
3,21.189069323131783,15
4,18.87746779787892,12
5,19.83305118897087,15
6,19.46299840877989,15
7,19.12049673535477,7
8,17.380499553633427,9
9,21.149621793538707,13
10,15.867490903376613,16
11,14.872605782280516,16
12,20.927827676676763,11
13,20.368985544736027,8
14,19.93769972074693,11
15,19.029526678006988,9
16,25.42522796475553,22
17,17.028460514661376,7
18,17.843689778804077,12
19,15.828841974670345,13
20,22.250435574733793,14
21,20.596050289914743,22
22,17.387614180853433,11
23,19.90096907027648,8
24,22.9194386676166,16
25,25.542628198817013,20
26,23.629685897894497,12
27,22.922363462144396,11
28,17.734769682521765,9
29,18.33456872598068,14
30,19.105878274504914,6
31,23.211008363847537,13
32,18.554569002824035,6
33,20.7646676327688,13
34,17.493578104699328,6
35,17.509753571841586,6
36,21.546473947234517,10
37,16.77653418345569,8
38,18.86098456851777,6
39,22.156162448194298,12
40,20.394813717256046,10
41,14.423220478946966,8
42,19.2494121027586,17
43,20.581959313607953,8
44,20.764016226627305,10
45,19.915120823312343,9
46,23.097451753955884,21
47,18.63794579011113,8
48,20.951883921370122,12
49,20.964217493720085,7
50,18.610591721444663,6
51,19.390587643970086,8
52,19.047136432863464,5
53,18.12278880008656,9
54,25.90552696215473,20
55,19.46135125333367,9
56,16.246292531322567,12
57,19.632527968268917,10
58,19.304285220576883,9
59,20.40764951071213,11
60,21.01924862709756,11
61,17.79892635473992,9
62,18.878884492643365,10
63,16.845687800860155,7
64,17.503550564508213,6
65,18.313560528900915,12
66,19.67839675544541,14
67,18.28567752065465,8
68,20.602098504981743,13
69,17.67793149310989,6
70,20.664678153345594,12
71,19.91115632514248,9
72,14.880243452926873,8
73,23.16344895985031,12
74,19.05133013812204,8
75,18.365117870568522,10
76,17.856489574340745,6
77,18.145193760984508,6
78,19.271222691469045,11
79,19.445875194570128,7
80,20.38410081022221,8
81,21.08926358690296,10
82,20.153631222142682,9
83,19.75070003576184,6
84,20.63303197714886,7
85,17.964246881241824,8
86,20.05150931297704,8
87,20.425995074092594,8
88,17.81037773827534,7
89,24.686383395943913,18
90,18.849743842574306,6
91,17.232546309978556,10
92,20.81884968928464,9
93,17.424283577506444,9
94,21.2750007231306,8
95,23.40126975899775,9
96,14.880843154323152,5
97,21.796643722286834,12
98,19.986229026124363,7
99,21.19973127799827,7
100,23.160559305952223,11
101,21.0800535228333,14
102,22.21378165235668,9
103,19.43754411661891,7
104,21.26999158131354,8
105,24.16226533576694,16
106,17.705558053520335,6
107,21.15914102410552,7
108,20.356584741934366,10
109,20.611391997846436,7
110,19.65424040183747,8
111,22.41069438371997,10
112,17.60746395051855,5
113,21.052089832124974,8
114,16.683704623667715,7
115,19.511016452606498,7
116,19.99046894894658,8
117,21.549783733349575,8
118,18.546499387246023,10
119,21.67194247087534,8
120,16.458600001578308,5
121,17.71078144195355,5
122,18.179520120087414,8
123,20.597889009130274,8
124,20.00352338443433,6
125,19.285946815880276,7
126,18.55944621975301,6
127,20.701412841997207,6
128,21.40626158562356,8
129,19.323620959271587,7
130,20.327748834920968,7
131,21.046826324117585,8
132,20.936904703338342,9
133,19.174981712811515,8
134,19.328764115162343,8
135,19.213530615681837,7
136,19.823069762847286,8
137,19.23914926261293,6
138,18.782030678552744,6
139,20.939283845924834,9
140,20.29209376449386,7
141,20.26988587988769,7
142,17.783276371345366,6
