,r,l
0,17.7044486194139,9
1,21.712534145431242,9
2,17.538286505091673,13
3,19.11582470508908,9
4,17.325486315234688,7
5,18.238170938929716,9
6,17.882036795320754,12
7,21.374673731151887,10
8,18.271327213865874,12
9,19.284165275202092,8
10,22.86004156743458,9
11,17.329908135725823,12
12,16.912918479311493,5
13,21.876245148583575,9
14,21.76770844183886,15
15,20.82492109778423,8
16,20.56935885504058,11
17,18.149501066905312,9
18,17.33144450175081,6
19,15.726322457536666,6
20,17.84202409951368,6
21,19.05854309982271,8
22,14.594841241754546,8
23,14.988461006691738,7
24,19.416714053274095,13
25,22.393469393066088,19
26,23.067685563107297,11
27,21.607761616304384,9
28,22.08586046406458,10
29,21.047287786452223,12
30,21.615276864127424,12
31,23.80389235388988,9
32,24.747742685054448,11
33,19.860998023497963,6
34,16.706835633951204,8
35,14.606535954673104,12
36,24.24696742469533,11
37,22.428889473343148,11
38,21.539101436539685,11
39,23.80511797927426,9
40,26.76113423065287,12
41,21.653562181226384,8
42,21.082480084112667,10
43,26.534417184860406,19
44,23.41335137047466,17
45,28.839698141714205,20
46,30.669052844333525,25
47,32.09328132912883,23
48,31.60766041192819,18
49,29.70138082290424,25
50,29.94110556245559,26
51,42.860328820813514,31
52,29.76256875480609,21
53,36.97685667784874,35
54,33.33022621886611,42
55,39.31729696333835,44
56,18.147761120504683,10
57,87.81745592774855,141
58,53.89077103132739,43
59,55.98532782409885,47
60,61.407359285476986,57
61,24.787421458885667,24
62,85.36238370245637,72
63,86.78269339266122,83
64,50.82500783045002,51
65,61.39226273573587,65
66,24.10963299735241,14
67,52.979954919242616,60
68,41.85699747263495,53
69,23.01894116171389,13
70,31.192123195661782,65
71,21.678902855193556,56
72,99.15446930799725,112
73,45.87659639704429,90
74,29.322021762426708,59
75,18.275692454614983,39
76,75.83818644852406,140
77,40.031492010648165,82
78,44.321966259786485,52
79,56.52995672108489,61
80,92.5744277520632,122
81,59.85330254126789,70
82,103.00339994128328,123
83,63.06296837936031,67
84,88.6905362643974,106
85,53.76788426533707,78
86,85.94843920942934,102
87,27.162090336026353,40
88,84.89360773562396,108
89,135.44571518657818,163
90,56.155754046052124,64
91,72.15673551192677,84
92,59.753744414886604,45
93,34.78880677720109,55
94,118.78105596578735,129
95,68.78192039412298,55
96,39.04539492232718,27
97,61.99990177372461,66
98,42.041873587246975,78
99,78.42201339792352,91
100,57.996765134389896,99
101,60.106031418226024,66
102,54.08956868852781,69
103,30.807404442861955,37
104,78.16010844121497,96
105,56.217831821801546,61
106,90.92171908718124,150
107,71.11934105734646,79
108,91.2388552868737,101
109,43.55515476566465,65
110,32.54451264205126,53
111,116.23573553473241,183
112,23.172198083371516,57
113,54.222814493911,40
114,75.33531345851215,59
115,29.557101754064725,16
116,21.45682740795723,8
117,70.96313817869417,100
118,63.13232602043571,62
119,51.6140078845567,96
120,51.8993981961385,100
121,65.97147621772224,61
122,120.59470631170434,126
123,72.22206520530862,57
124,67.00136770810713,67
125,49.91679328907613,77
126,41.44312031255919,50
127,77.30391689322626,79
128,106.32429937044189,177
129,58.13246689423176,59
130,82.73443420028728,75
131,91.31772952720776,104
132,82.25042889109234,80
133,57.61851161883407,113
134,43.32580549194978,67
135,69.05749402480114,80
136,19.72831245197369,90
137,74.508768991238,73
138,58.23196218327891,52
139,69.6545461081093,68
140,54.37673206538744,57
141,20.61153199544953,82
142,77.29559871499542,70
143,68.99830163203521,55
144,85.79985085424114,79
145,87.99120489354316,82
146,180.30839255686257,205
147,74.327692845931,68
148,114.08861770601821,112
149,61.616674715254604,109
150,40.25241267028036,76
151,71.87270212638296,62
152,90.90833876539753,88
153,73.12848725633512,74
154,144.8941711107671,234
155,77.55463934886292,150
156,106.3748585477057,98
157,99.98388114665084,96
158,60.55007656270526,64
159,100.869480313217,95
160,41.766570664349764,79
161,81.10885548143288,71
162,161.81452812556702,187
163,88.46554195551317,79
164,72.56925996009937,59
165,90.55990199634479,76
166,77.19122861477514,64
167,62.651697426432584,88
168,92.73161627441583,79
169,72.02263791303615,57
170,84.47058013097762,69
171,91.79819481316225,78
172,38.05773800649882,53
173,77.67939878207466,61
174,95.34416167098254,80
175,84.92601589486411,65
176,64.03801757449821,41
177,67.29000936870742,46
178,60.27036361199284,43
179,72.96100671130915,55
180,102.6567128691681,88
181,94.39386776719637,78
182,93.03060429779833,73
183,78.58778466328796,59
184,98.9998379436663,80
185,239.8121399154349,366
186,94.7501764014333,80
187,89.65418722299702,70
188,98.45844501898232,83
189,109.8652537504213,89
190,84.55968881336273,164
191,106.37526615583074,90
192,94.40434301396432,80
193,144.55358418360856,236
194,98.17026277889576,82
195,224.4468900359782,243
196,115.91413615401902,103
197,164.7517082987774,165
198,137.48547988296946,129
199,157.46277248813104,160
200,42.608640088780874,102
201,50.295314223122276,111
202,90.81875896332544,74
203,109.15802401634244,96
204,118.3133489022658,109
205,146.13550804040466,142
206,155.09373858797932,154
207,201.78940211403693,214
208,148.79509943927144,146
209,360.6850741651256,422
210,88.82266257553806,75
211,169.90719345906763,274
212,347.2979924437472,400
213,306.0755333567868,349
214,47.9100817142167,112
215,146.81055593616898,148
216,62.924443703967306,131
217,58.76612780812936,128
218,47.21792313755641,111
