,r,l
0,194.52688627506222,21
1,278.97913519374066,30
2,232.06464836923243,25
3,241.5479774895595,26
4,166.57900064033146,18
5,204.11109073165767,22
6,213.2267227682857,23
7,222.71449659784116,24
8,269.3250525998965,29
9,231.8974690445569,25
10,250.60093900132753,27
11,287.93777109337697,31
12,297.5374639535394,32
13,381.7185956116034,41
14,269.3697439283132,29
15,269.2027523521922,29
16,222.42185549119105,24
17,287.66775430257604,31
18,437.402872831465,47
19,240.70717226838678,26
20,409.32381708603754,44
21,231.77777535715404,25
22,334.51117104659477,36
23,409.31420431684546,44
24,362.3781878305436,39
25,268.91012720462527,29
26,268.966257954404,29
27,287.2319063792189,31
28,455.9616163564096,49
29,297.05771511452895,32
30,241.2550868381625,26
31,278.68450300905243,30
32,287.9295371583772,31
33,502.88040534189975,54
34,315.5509712306284,34
35,353.2021572546774,38
36,222.4810252450463,24
37,325.53829797496957,35
38,363.0014218520412,39
39,361.73819187654493,39
40,381.50347937652964,41
41,222.77076277998117,24
42,278.6005107088452,30
43,316.1568213031498,34
44,241.55376171685498,26
45,185.23913784436374,20
46,297.13237819666915,32
47,260.48109127587,28
48,325.35766857096064,35
49,297.6661222719864,32
50,307.0854464489987,33
51,194.43520597647336,21
52,213.41765162951341,23
53,306.88505346896704,33
54,409.4208156058377,44
55,175.94670832101647,19
56,232.2230592106932,25
57,241.8799669477525,26
58,166.62750395926892,18
59,204.03879750819337,22
60,223.08792068726476,24
61,204.18849711004364,22
62,185.44186388362508,20
63,176.05966885634115,19
64,195.15099270773976,21
65,157.4364910642782,17
66,148.227268861788,16
67,167.05853476641917,18
68,176.33650418521094,19
69,166.76315711960103,18
70,157.38141922332122,17
71,148.33215341210035,16
72,185.517791436266,20
73,157.803289689325,17
74,185.5725531568422,20
75,166.88653390338965,18
76,157.680366549201,17
77,167.125092441885,18
78,176.44159735098145,19
79,148.30114550545488,16
80,176.1222672897746,19
81,157.37559372931565,17
82,166.71436177455467,18
83,167.08349537426278,18
84,185.7707324940102,20
85,157.35660812925786,17
86,176.19467268326116,19
87,157.46274464706724,17
88,157.50348173241758,17
89,167.17376489891532,18
90,148.2692252145914,16
91,148.32793809126366,16
92,148.04718080761975,16
93,148.0393402064467,16
94,166.7676372428105,18
95,148.1234431874468,16
96,166.63362093680854,18
97,166.706901243045,18
98,157.79834159526632,17
99,148.20580228799616,16
100,138.6489034764618,15
101,148.31552249035533,16
102,138.9646118028498,15
103,148.07838676758922,16
104,157.7605902514256,17
105,148.07692647060534,16
106,157.33790119597532,17
107,157.51796088717003,17
108,138.8973801986846,15
109,175.99459253729128,19
110,148.29201154570288,16
111,166.90319346172703,18
112,138.96588095918773,15
113,157.69052718230384,17
114,148.07145633958726,16
115,157.61578285317688,17
116,148.18145091600093,16
117,176.1821246258145,19
118,148.32458940150508,16
119,166.755815565154,18
120,148.23584335413102,16
121,147.87461341397903,16
122,148.41915125521092,16
123,157.41737879664058,17
124,176.149986643082,19
125,176.35563340089706,19
126,138.77190747308973,15
127,166.88423593625424,18
128,157.39366199686006,17
129,157.7032347600442,17
130,157.77553220252634,17
131,157.55139560250453,17
132,148.16804486572642,16
133,167.090297609131,18
134,157.53782824461376,17
135,176.41486967384182,19
136,157.44747776665997,17
137,166.81198688777633,18
138,157.37875285081483,17
139,148.2340297390898,16
140,166.85107240631413,18
141,166.6318637181312,18
142,166.7672652056116,18
143,157.52876252921104,17
144,176.3680158803268,19
145,157.47520038928005,17
146,148.2660172557373,16
147,157.24636816586138,17
148,194.92930756191527,21
149,176.10311168816062,19
150,194.71060557164057,21
151,204.12063256352934,22
152,166.5340234526433,18
153,213.6409356243068,23
154,176.13766730380377,19
155,222.89127990673694,24
156,194.80789375470113,21
157,213.6731656711667,23
158,241.89456565430055,26
159,176.1640352259791,19
160,353.1069648468921,38
161,222.6123438122471,24
162,399.9758568785322,43
163,352.22692545483045,38
164,287.52623286312024,31
165,259.7872406602272,28
166,343.61903872105677,37
167,240.81542184674066,26
168,259.6562662469377,28
169,185.1788710943762,20
170,213.30140457647968,23
171,185.13141505532445,20
172,175.6450373328551,19
173,204.18683513475847,22
174,268.95549814425596,29
175,203.64298145916027,22
176,241.14953470544853,26
177,222.34097138666476,24
178,222.36039864094084,24
179,240.8490038322495,26
180,269.0651481113355,29
181,240.95614195841807,26
182,240.78121672084234,26
183,315.7378500805367,34
184,296.7242742245336,32
185,240.77047361086994,26
