,r,l
0,259.9327598719969,28
1,325.141515559067,35
2,222.5798093412244,24
3,203.8548473585161,22
4,269.56997384491893,29
5,250.9904259655708,27
6,222.71889422435234,24
7,278.45581647704796,30
8,306.14052301392377,33
9,278.4558866300934,30
10,577.2427176869221,62
11,241.47596403845046,26
12,259.942827443197,28
13,325.3459450493629,35
14,288.2419700353365,31
15,287.93247803006034,31
16,389.75666358237766,42
17,250.38366254412242,27
18,371.8339069017627,40
19,325.5784480560882,35
20,259.9153458020398,28
21,269.28284968281,29
22,334.77097073430537,36
23,278.7316930121755,30
24,259.68659242212385,28
25,380.6642865532894,41
26,278.4910030266223,30
27,222.87412132489678,24
28,381.07449092679144,41
29,231.95158852842678,25
30,250.1742060102059,27
31,241.04334357867396,26
32,334.75648555586616,36
33,212.916399515684,23
34,464.46368487435683,50
35,259.9529692775923,28
36,316.1847230527758,34
37,222.85891352840636,24
38,512.6232030627798,55
39,408.62797845338065,44
40,334.79181702876963,36
41,259.68707491048576,28
42,278.4174816190988,30
43,278.7242264014986,30
44,213.12166847043335,23
45,241.04779716640905,26
46,231.84491851660866,25
47,204.05318977869996,22
48,203.9093396461565,22
49,279.031393300215,30
50,419.0640375426036,45
51,343.8952464276462,37
52,260.0171186975919,28
53,259.7661879484492,28
54,316.21728246957065,34
55,241.29384734325865,26
56,316.16566977030874,34
57,250.65090551155836,27
58,194.3685442710071,21
59,381.4218261898436,41
60,204.15079026633478,22
61,325.43801155829027,35
62,222.67136016021362,24
63,203.60672896887988,22
64,231.65922599117732,25
65,269.3473202974312,29
66,213.56715414339067,23
67,222.62001252134286,24
68,436.7678964712175,47
69,259.9831741722388,28
70,250.59363404366965,27
71,222.56082387120796,24
72,268.80540492660333,29
73,241.29373687520115,26
74,306.2054687304604,33
75,333.95162543284687,36
76,259.73023373512075,28
77,203.5473318109346,22
78,194.56297052990246,21
79,353.49148151808487,38
80,530.8854108349178,57
81,371.70477917196376,40
82,250.53467197813313,27
83,372.69519856900877,40
84,399.97886139404176,43
85,334.85465932536783,36
86,316.1332382884502,34
87,316.1914435601384,34
88,521.549159439495,56
89,361.7720094639456,39
90,335.0649360557724,36
91,409.27323860472893,44
92,288.1735810935752,31
93,334.67604609559646,36
94,278.94315511084693,30
95,250.06339007909142,27
96,315.65041826223523,34
97,297.6141996476263,32
98,222.36227891182543,24
99,297.3081934394012,32
100,315.94031682174614,34
101,232.31124971145135,25
102,306.1462005471394,33
103,343.3858669272492,37
104,343.0117089204614,37
105,250.98661725102122,27
106,278.83713284729197,30
107,250.61343500441168,27
108,241.636701722081,26
109,418.944066535821,45
110,278.58562712991153,30
111,259.4724902416157,28
112,203.75000986101787,22
113,203.85279750366828,22
114,287.712254694714,31
115,325.2229537398138,35
116,260.16692416975155,28
117,240.9993443156635,26
118,222.4893712365805,24
119,259.9154895178126,28
120,287.6018157697342,31
121,260.09799920790783,28
122,204.06808940874933,22
123,297.696401983711,32
124,259.93280210313213,28
125,204.1253542704812,22
126,418.71692177208797,45
127,361.6886508943071,39
128,278.79448054395294,30
129,222.3278196035914,24
130,315.734606784879,34
131,232.0381130203486,25
132,390.64822262824964,42
133,306.7827680785497,33
134,250.76989689310005,27
135,381.48510916720664,41
136,381.43364298718944,41
137,353.2545480256462,38
138,241.16042502168733,26
139,315.1271115793701,34
140,287.6063311726859,31
141,297.27902187363264,32
142,232.0598321467011,25
143,297.179301858511,32
144,483.3539293695899,52
145,269.43590460776824,29
146,185.12219794883006,20
147,408.85780417624056,44
148,334.86989186514313,36
149,231.79852555445746,25
150,269.05191435486194,29
151,278.82579946865525,30
152,241.2158009583178,26
153,278.84764807724093,30
154,232.20381087916638,25
155,278.03978654154275,30
156,203.7490174815356,22
157,325.57687944103805,35
158,287.9037671304619,31
159,288.0939078794901,31
160,390.80510927147185,42
161,297.712869470199,32
162,606.1627389902949,65
163,306.6021087936504,33
164,278.52751502930926,30
165,232.0094090714913,25
166,278.75329350787746,30
167,250.5068625655795,27
168,269.1934533184418,29
169,334.86904081084606,36
170,343.83848168000605,37
171,231.9500866948133,25
172,418.77978240235785,45
173,306.3269643821025,33
174,391.0442252622325,42
175,213.21256843555585,23
176,325.45855345869995,35
177,278.49067030683176,30
178,316.0577039808274,34
179,344.1006130052648,37
180,306.9600673188577,33
181,231.94748245856596,25
182,315.6659964546026,34
183,296.8902911174671,32
184,250.67989674710248,27
185,269.0471965965674,29
186,315.8940647710088,34
187,288.3057514301469,31
188,241.2635455102848,26
189,437.73441818780566,47
190,418.69224639646,45
191,315.80410164456515,34
192,231.84035696750794,25
193,297.24263951032447,32
194,296.84601795688496,32
195,372.2639670989054,40
196,371.8991242927709,40
197,204.02221602875946,22
198,325.3930450254092,35
199,316.3035543129364,34
200,344.1047676475483,37
201,305.8104932458278,33
202,297.50778121737517,32
203,231.62380328508976,25
204,185.1784374945454,20
205,250.507149894227,27
206,316.0594575505146,34
207,231.94681507116098,25
208,306.7959106027857,33
209,241.075509069948,26
210,324.7597306349323,35
211,278.5181305610671,30
212,185.21464236323547,20
213,203.84565855409033,22
214,362.7271994702226,39
215,352.58161088073416,38
216,260.23935370445565,28
217,287.86347328199923,31
218,250.9827292583453,27
219,250.4982719368913,27
220,344.1174865241901,37
221,287.676121078516,31
222,344.1640318462836,37
223,334.6531860893185,36
224,278.2587457649726,30
225,324.24228077759176,35
226,278.98649662315074,30
227,306.5273237875772,33
228,287.70320313512855,31
229,203.97852596666607,22
230,250.69519635542974,27
231,269.43437297096966,29
232,212.96241890852687,23
233,297.1936306732579,32
234,503.007467533404,54
235,372.139122791463,40
236,436.5298458885709,47
237,324.83614521831345,35
238,297.2338495548599,32
239,222.64188015648995,24
240,296.7993032521234,32
241,428.041791907884,46
242,287.9682950479322,31
243,231.08096788387226,25
244,689.6920710415179,74
245,306.52231343330084,33
246,296.760124720021,32
247,549.808588750113,59
248,250.5207880819465,27
249,297.42247015378916,32
250,306.8871211627987,33
251,315.61410758842953,34
252,203.73714144476585,22
253,287.90047760337313,31
254,222.86451946799517,24
255,222.57729224506977,24
256,399.82303655881657,43
257,418.56767168494093,45
258,306.4692924040763,33
259,259.9177516673369,28
260,315.89372893957193,34
261,325.08456892678333,35
262,213.2340368289748,23
263,446.9025301170709,48
264,250.64125718136046,27
265,353.2762307727592,38
266,288.4400222423741,31
267,334.46453715920165,36
268,278.1346531444845,30
269,213.04729193315183,23
270,362.6709694544267,39
271,315.90015744611446,34
272,240.88201006513344,26
273,399.2968104678887,43
274,260.01599294824524,28
275,278.5313191990104,30
276,511.6800459779664,55
277,380.5910860432815,41
278,380.95854798225116,41
279,362.6557502837585,39
280,315.7169162210482,34
281,325.3157434337391,35
282,194.51221528246776,21
283,277.8494938227202,30
284,306.83516566719095,33
285,296.8898356114958,32
286,176.11725194520486,19
287,306.9078406111395,33
288,222.5616124083741,24
289,260.0291730249325,28
290,260.1664895104662,28
291,194.7820486676856,21
292,222.55237118815123,24
293,343.9685701451453,37
294,446.80682262150367,48
295,353.6010100015392,38
296,315.6192494780639,34
297,353.1569348637598,38
298,325.0871614988673,35
299,353.3693170136404,38
300,371.1748817532034,40
301,287.8933796379512,31
302,269.1778245444704,29
303,334.1703624077575,36
304,194.7716216022,21
305,297.0154624246078,32
306,465.7997892702944,50
307,391.0461657653,42
308,315.33381016612395,34
309,334.5986899612567,36
310,231.80741001493493,25
311,362.7276748967657,39
312,297.0666133997689,32
313,324.6599225723574,35
314,288.05550274131724,31
315,342.955012188907,37
316,343.44895199102507,37
317,642.8389705341361,69
318,306.4280551641651,33
319,335.1535285623702,36
320,250.7079623009538,27
321,334.0022655565519,36
322,324.84707670501695,35
323,493.1205064756219,53
324,222.18456748677886,24
325,278.6997954381174,30
326,418.18800207192135,45
327,379.8845884781075,41
328,306.9203454254593,33
329,371.96010605129817,40
330,287.57716452627886,31
331,343.7410864104861,37
332,335.0577739760619,36
333,287.4390706527699,31
334,278.43471799226023,30
335,232.00930662559813,25
336,269.543558855385,29
337,296.2071498929014,32
338,260.1698205409172,28
339,259.9636479998261,28
340,269.0152692352799,29
341,418.06876903170854,45
342,362.18659366184517,39
343,325.2083025822831,35
344,409.07275230113447,44
345,278.8357682658102,30
346,297.0665566452666,32
347,279.0347824760742,30
348,296.9999514579817,32
349,418.4242535184025,45
350,446.5066107111391,48
351,306.8194806514777,33
352,259.86732103215473,28
353,250.71373234925318,27
354,306.1908605408829,33
355,325.3997237254355,35
356,557.8274105347386,60
357,324.9052235320008,35
358,343.8768097297949,37
359,250.4705828073543,27
360,400.02709110624806,43
361,352.45999251692893,38
362,371.6371500809127,40
363,315.5997645229442,34
364,409.92881435138895,44
365,296.7095526275605,32
366,371.47672399702907,40
367,259.5751905674433,28
368,334.4878704284087,36
369,437.23777634172916,47
370,222.40110289422552,24
371,353.05611860461084,38
372,315.84729828692235,34
373,493.89544019695506,53
374,343.79277485691296,37
375,334.79735183995666,36
376,409.30982029547647,44
377,352.6153002545505,38
378,213.16819129575623,23
379,371.7456250594609,40
380,297.52682224823593,32
381,381.618970129353,41
382,297.0741987887676,32
383,343.0694344467912,37
384,316.10489984005886,34
385,268.6601128300196,29
386,249.70793096917672,27
387,362.06259016734674,39
388,296.9617097079361,32
389,353.17755291972986,38
390,288.33521011702146,31
391,315.8317311991602,34
392,278.3085516776379,30
393,203.85779983752286,22
394,334.567288339132,36
395,297.57663968866575,32
396,222.54107643292255,24
397,269.1375998947844,29
398,390.68207587547124,42
399,390.2968429387521,42
400,213.31787553099957,23
401,213.22462815366393,23
402,277.9400366551929,30
403,269.31541836197454,29
404,315.7887746087193,34
405,427.33048917250966,46
406,362.9991015388194,39
407,259.6254952023805,28
408,306.1822343174668,33
409,241.4043639374378,26
410,316.34279631724485,34
411,437.34933383807606,47
412,371.9837982526608,40
413,390.46227951782333,42
414,334.6250765279873,36
415,287.62905483784516,31
416,213.0303279048523,23
417,324.7906556313358,35
418,333.7866160458657,36
419,297.1026477903855,32
420,343.93785759261954,37
421,194.58544805858972,21
422,334.5181987989113,36
423,222.7432380739983,24
424,306.9826599033991,33
425,334.5116089054528,36
426,268.796780018111,29
427,324.9196451429275,35
428,399.1438651180091,43
429,297.2552513387439,32
430,269.47885030606415,29
431,306.3953931571312,33
432,427.8752231350297,46
433,306.38054109056986,33
434,315.576092303098,34
435,343.6866724393091,37
436,511.8858206904918,55
437,483.4257658136872,52
438,250.76850726432778,27
439,334.5375094590301,36
440,325.26547954373126,35
441,512.1340689169217,55
442,325.08944891915104,35
443,306.32841160478335,33
444,259.674837268985,28
445,428.0105588080849,46
446,240.72925433852976,26
447,250.74759413417007,27
448,315.30512666882964,34
449,306.42662072895877,33
450,222.589936449423,24
451,268.94112828470935,29
452,380.9559755593754,41
453,408.27733465360046,44
454,259.97217284125725,28
455,260.0815856847166,28
456,315.66899515715795,34
457,259.8932692637903,28
458,250.52331084061984,27
459,362.34445506654225,39
460,493.9559363196811,53
461,315.3742402765131,34
462,371.72821755840454,40
463,371.8467217801602,40
464,362.7939085139424,39
465,222.33802398840592,24
466,344.30328476144143,37
467,259.91188342304406,28
468,278.4933803658741,30
469,250.45897034020197,27
470,241.60585524625296,26
471,278.3361471815803,30
472,399.6729480608545,43
473,399.62989186599424,43
474,250.7051499510616,27
475,437.35995210065926,47
476,250.34298881176468,27
477,259.89183593032794,28
478,315.7665984855083,34
479,399.6994800843472,43
480,250.01490492844962,27
481,372.23378529702205,40
482,474.9849145830227,51
483,287.6866826301755,31
484,259.72015239265846,28
485,240.89908494395135,26
486,474.7238418348756,51
487,287.46126588390996,31
488,287.94983949420805,31
489,259.79736279458507,28
490,334.67750362450107,36
491,456.10798987374244,49
492,343.68452377635964,37
493,306.65710255135735,33
494,297.4182309257478,32
495,288.2107243006329,31
496,334.72206265446164,36
497,334.8173216591645,36
498,231.7253597213789,25
499,278.4909505213169,30
500,288.1376152507741,31
501,380.29040197182906,41
502,241.12055725861384,26
503,334.3613862818052,36
504,269.24355078358167,29
505,296.982059817053,32
506,333.97032548814593,36
507,287.91261439009435,31
508,259.63774722081223,28
509,269.184784746099,29
510,455.52050493863635,49
511,250.74897347860576,27
512,277.8767298031066,30
513,362.6710435464409,39
514,287.4988570268173,31
515,296.89586634150993,32
516,353.27911581202284,38
517,287.47671736857194,31
518,269.065437502325,29
519,381.5937667978572,41
520,362.8673912274552,39
521,306.6480720768943,33
522,250.6339764166181,27
523,306.6605275210153,33
524,231.88170131229708,25
525,325.609429584551,35
526,268.8474194868143,29
527,278.8948849268638,30
528,241.0523598723715,26
529,250.54757975177034,27
530,325.4075015167303,35
531,409.5627915616961,44
532,315.99556260159727,34
533,278.7632085462311,30
534,381.4832157790638,41
535,343.8757476335061,37
536,390.37313514968855,42
537,334.92653590391984,36
538,259.7545594272908,28
539,278.5735293130307,30
540,353.30226301630114,38
541,278.51938204307976,30
542,521.3490821559494,56
543,325.43977559150824,35
544,325.4126564186064,35
545,250.5261597926137,27
546,306.3794898065142,33
547,371.77103521683273,40
548,343.8440716166011,37
549,344.28183471131615,37
550,250.4109738317459,27
551,372.1793631976425,40
552,315.595580824429,34
553,259.95258269288485,28
554,446.93637524538366,48
555,315.25584334197055,34
556,231.9524407012145,25
557,241.26215688387703,26
558,306.9209716198241,33
559,231.4981801494323,25
560,306.45128898788255,33
561,278.7446911640332,30
562,372.0315763705712,40
563,306.65452438222576,33
564,325.2735400479364,35
565,306.63760636747327,33
566,250.3877692277136,27
567,334.6954800684454,36
568,278.7252756273342,30
569,306.66904939297393,33
570,343.2151165452344,37
571,362.4093195038672,39
572,269.44067388426805,29
573,260.2501506160021,28
574,203.6253576062502,22
575,222.43230693020567,24
576,212.90435719330304,23
577,343.47872662863466,37
578,343.72825824769626,37
579,287.73908052162795,31
580,334.46375437731484,36
581,325.6243219416215,35
582,185.11477269670274,20
583,325.30359763990907,35
584,250.46081711019946,27
585,259.77413729338264,28
586,400.15316071588404,43
587,241.42772898018927,26
588,325.2481193766367,35
589,269.255384501309,29
590,185.09686550703287,20
591,268.68331886881873,29
592,287.73297758627075,31
593,231.8762395104153,25
594,231.87632037474773,25
595,194.5830254109973,21
596,194.4115653873532,21
597,278.83649720852446,30
598,362.153928366854,39
599,306.78433427086713,33
600,269.32308538802874,29
601,427.7590245860376,46
602,259.9857868933108,28
603,278.82089322500894,30
604,269.3714965571655,29
605,306.9190385909827,33
606,250.4833930637355,27
607,231.79429366496433,25
608,240.82942493931768,26
609,250.20709004627457,27
610,333.84290346456265,36
611,194.62692007166078,21
612,287.85818463369384,31
613,371.79237109652024,40
614,306.87559733569356,33
615,250.51310822822578,27
616,278.3665189688644,30
617,241.31082082014598,26
618,269.36675090866044,29
619,241.10982674156173,26
620,278.9722510296524,30
621,185.39330513143537,20
622,222.25996125237418,24
623,278.4770570015774,30
624,222.67421597852254,24
625,241.4480235113706,26
626,352.7704777720154,38
627,437.8212498276119,47
628,203.85807755216354,22
629,278.36873049775187,30
630,175.9697757887109,19
631,250.61992366263382,27
632,194.75721730101677,21
633,269.58971265798806,29
634,260.22481776074096,28
635,278.5166790291119,30
636,278.8573309166836,30
637,344.1830995935046,37
638,269.22972692756184,29
639,241.3750400584925,26
640,231.9440860745775,25
641,222.59411820703923,24
642,288.51806247910724,31
643,194.79536683303246,21
644,306.5765473308888,33
645,250.41713067078842,27
646,241.2766362493963,26
647,241.46397753949717,26
648,223.01661755335624,24
649,241.13081776309542,26
650,278.8153371383209,30
651,232.1038755879225,25
652,222.87898430842864,24
653,223.03002806894503,24
654,176.293967804149,19
655,241.39605304212665,26
656,232.01548876607484,25
657,176.10369323117206,19
658,194.97321231073897,21
659,260.09321890647766,28
660,213.39659055124898,23
661,241.52489826708458,26
662,241.11212801190322,26
663,222.56998272765443,24
664,306.3651852914226,33
665,204.12126877518924,22
666,194.88269691192434,21
667,204.193529771287,22
668,241.4163002901743,26
669,232.09732845269113,25
670,194.66020199377346,21
671,288.2407908620747,31
672,223.0504536697197,24
673,222.5404605273867,24
674,203.71777575053497,22
675,194.5443130924919,21
676,185.36391896748378,20
677,185.49810260508877,20
678,204.32543648132,22
679,241.05564921587396,26
680,213.35219347678247,23
681,204.26670894779232,22
682,259.680230768602,28
683,222.61741102313525,24
684,213.44704016390455,23
685,204.0385421636847,22
686,194.74177823290145,21
687,194.60180788213262,21
688,176.10322802609906,19
689,241.56874840557828,26
690,222.69970748458493,24
691,194.5746709444962,21
692,185.3748543301175,20
693,241.55912872774545,26
694,278.25529698331565,30
695,175.91722894176877,19
696,185.47866663301718,20
697,288.60616402328816,31
698,204.34184647226633,22
699,241.2192843708562,26
700,353.4885732397499,38
701,250.91026831542138,27
702,194.97197320958898,21
703,175.78733905139504,19
704,213.55951787164975,23
705,185.31990411048497,20
706,241.1238848177211,26
707,194.81943006839103,21
708,203.96312039915665,22
709,204.20235223552288,22
710,176.31203394080734,19
711,232.29672576245187,25
712,166.55098119708154,18
713,250.80857327195037,27
714,185.6820963089187,20
715,185.51397069584613,20
716,204.09237104501534,22
717,278.9352608818584,30
718,222.66356693464965,24
719,194.65061536787576,21
720,194.9527754643022,21
721,232.23941172395442,25
722,204.2854500773553,22
723,222.4998526260594,24
724,176.05015587360134,19
725,278.30343459852116,30
726,194.85169928380373,21
727,185.30176862155588,20
728,194.66078903177927,21
729,288.21369764229166,31
730,269.6540043195076,29
731,213.69421502588884,23
732,176.2715070768841,19
733,315.75327632391645,34
734,250.87118238235277,27
735,222.63385221992783,24
736,194.77275397116364,21
737,232.10081652937694,25
738,166.56115756334958,18
739,278.45166847567754,30
740,203.87315357486887,22
741,212.9549877269507,23
742,185.5358527043717,20
743,194.9994960465111,21
744,203.90636908063422,22
745,204.20025119423138,22
746,278.62066431232927,30
747,222.77174718164633,24
748,185.41754860512364,20
749,325.33922326144307,35
750,390.28628900905136,42
751,166.82464176166448,18
752,203.96671646420901,22
753,297.71760240371805,32
754,194.91519518214383,21
755,204.26270195071857,22
756,306.87602468750754,33
757,213.28659136576672,23
758,185.2938107081727,20
759,213.2240451542693,23
760,222.65904270780564,24
761,212.98889885462995,23
762,194.82635242003892,21
763,297.50918712682096,32
764,241.5249880129471,26
765,353.4142778204466,38
766,222.64635784805859,24
767,260.20339921101214,28
768,222.88411185047812,24
769,380.8763512211247,41
770,251.06046052132956,27
771,213.6359480608478,23
772,194.54833108975808,21
773,222.7432115879378,24
774,194.870607333435,21
775,316.3919329666519,34
776,213.5649402052228,23
777,194.94149166472775,21
778,185.2031825080846,20
779,250.59704547470315,27
780,157.5274146659874,17
781,306.7809003849446,33
782,176.07208375539744,19
783,185.57405451950464,20
784,222.9379452457012,24
785,194.95185005612373,21
786,297.7405734727627,32
787,222.8332118424382,24
788,213.47350087725198,23
789,213.78623504297647,23
790,213.44453266437395,23
791,363.13146343668234,39
792,222.75278676500037,24
793,241.3685387076578,26
794,204.10435334956998,22
795,176.17092759590724,19
796,203.8767817725135,22
797,204.07075366767862,22
798,204.08926683131995,22
799,203.96399428044768,22
800,176.32108592585956,19
801,185.55320527473427,20
802,213.19923586721978,23
803,222.9121895862193,24
804,204.26211723190892,22
805,213.61668389412068,23
806,194.7227530918795,21
807,381.12291189730763,41
808,250.60534627738977,27
809,204.04303523807584,22
810,185.37675013381968,20
811,241.65830858842125,26
812,352.758047186122,38
813,185.48374224430543,20
814,204.18794706398853,22
815,213.26788694009457,23
816,353.5932819532888,38
817,176.06319834858138,19
818,213.63777226633727,23
819,250.82383555580776,27
820,269.70245796121947,29
821,185.33756145688403,20
822,185.2872606196919,20
823,241.5387558763592,26
824,232.36010000733188,25
825,223.20984576880358,24
826,250.84268356471605,27
827,344.00784097999565,37
828,241.33888495328637,26
829,185.50973108488077,20
830,203.8139848737696,22
831,185.29882193161544,20
832,259.84591586216874,28
833,166.4831468618852,18
834,269.5224072126855,29
835,241.2677610485112,26
836,194.95041145145402,21
837,213.38946179678373,23
838,204.16939241466758,22
839,222.79559632774382,24
840,204.08655538757185,22
841,222.91532517537837,24
842,213.60812042196355,23
843,278.3774815188986,30
844,185.34531803893674,20
845,213.18872488447167,23
846,176.05928399085613,19
847,344.32278077917,37
848,222.72065343909392,24
849,194.820101824502,21
850,185.6021184373587,20
851,241.19223853554803,26
852,194.73157073610847,21
853,194.9067996894594,21
854,213.40852635487778,23
855,306.58524352027024,33
856,176.04899620696588,19
857,250.5839483285626,27
858,203.8808431131038,22
859,194.94546512051286,21
860,204.18447250032017,22
861,288.5785949458821,31
862,185.49478843151567,20
863,232.07385099697385,25
864,260.42065792945334,28
865,278.8851626830569,30
866,297.3984891127211,32
867,371.5928993001874,40
868,241.465024272757,26
869,353.0507204219452,38
870,250.7579530573353,27
871,250.71466433235645,27
872,166.9368838270148,18
873,334.38273093919486,36
874,325.9202558847122,35
875,175.8362862481501,19
876,250.5074933448917,27
877,297.2469130439824,32
878,185.21255936456598,20
879,400.5606899367919,43
880,203.86818381541136,22
881,185.22794705261828,20
882,222.86343496191037,24
883,251.0490337982614,27
884,353.7253170612282,38
885,222.81432666927356,24
886,185.50266739848755,20
887,213.56184992316727,23
888,213.67169684382208,23
889,176.05144654616979,19
890,213.2213919347839,23
891,194.60481913254822,21
892,288.02716136569376,31
893,269.57931621659765,29
894,269.2398097256736,29
895,372.308644944556,40
896,204.00167290875083,22
897,194.78687962112912,21
898,241.39036718064148,26
899,175.7533352073209,19
900,204.35280082793668,22
901,204.05141858612012,22
902,194.44230660948776,21
903,204.06067618779804,22
904,269.4134927552038,29
905,176.08437533347873,19
906,194.5133285980998,21
907,268.75580621161373,29
908,334.8574285266515,36
909,185.50596776375207,20
910,213.12456510225212,23
911,232.2970937712777,25
912,297.17248041377417,32
913,204.04656734427482,22
914,176.006263956925,19
915,166.94194484460064,18
916,204.10865920649167,22
917,176.177654235367,19
918,260.0135984424026,28
919,166.78022424475148,18
920,381.82736433249124,41
921,213.1990421762268,23
922,241.60311654982,26
923,175.89480694047722,19
924,185.26581268862623,20
925,203.84773040670422,22
926,250.5874062978274,27
927,204.06494115596317,22
928,287.9699193357853,31
929,204.33044127639062,22
930,175.84423254466768,19
931,260.171691267319,28
932,176.23999038882823,19
933,269.42059483110535,29
934,353.6579088371516,38
935,297.6333486612115,32
936,204.15768187712968,22
