,r,l
0,23.0,23
1,30.0,30
2,25.0,25
3,16.0,16
4,42.0,42
5,24.0,24
6,34.0,34
7,14.0,14
8,23.0,23
9,23.0,23
10,45.0,45
11,26.0,26
12,21.0,21
13,27.0,27
14,20.0,20
15,17.0,17
16,21.0,21
17,20.0,20
18,40.0,40
19,79.0,79
20,17.0,17
21,25.0,25
22,23.0,23
23,19.0,19
24,73.0,73
25,25.0,25
26,23.0,23
27,14.0,14
28,29.0,29
29,53.0,53
30,19.0,19
31,21.0,21
32,20.0,20
33,30.0,30
34,27.0,27
35,49.0,49
36,16.0,16
37,43.0,43
38,35.0,35
39,87.0,87
40,15.0,15
41,18.0,18
42,49.0,49
43,64.0,64
44,36.0,36
45,22.0,22
46,39.0,39
47,14.0,14
48,27.0,27
49,80.0,80
50,25.0,25
51,33.0,33
52,15.0,15
53,42.0,42
54,29.0,29
55,40.0,40
56,27.0,27
57,28.0,28
58,31.0,31
59,24.0,24
60,34.0,34
61,34.0,34
62,32.0,32
63,16.0,16
64,39.0,39
65,84.0,84
66,22.0,22
67,58.0,58
68,37.0,37
69,25.0,25
70,39.0,39
71,14.0,14
72,59.0,59
73,29.0,29
74,33.0,33
75,56.0,56
76,27.0,27
77,33.0,33
78,24.0,24
79,23.0,23
80,25.0,25
81,13.0,13
82,48.0,48
83,20.0,20
84,40.0,40
85,11.0,11
86,31.0,31
87,28.0,28
88,33.0,33
89,102.0,102
90,21.0,21
91,18.0,18
92,30.0,30
93,51.0,51
94,40.0,40
95,102.0,102
96,66.0,66
97,145.0,145
98,23.0,23
99,60.0,60
100,26.0,26
101,58.0,58
102,29.0,29
103,46.0,46
104,99.0,99
105,57.0,57
106,82.0,82
107,36.0,36
108,62.0,62
109,26.0,26
110,47.0,47
111,15.0,15
112,35.0,35
113,87.0,87
114,36.0,36
115,55.0,55
116,34.0,34
117,64.0,64
118,49.0,49
119,67.0,67
120,141.0,141
121,42.0,42
122,153.0,153
123,101.0,101
124,20.0,20
125,24.0,24
126,148.0,148
127,37.0,37
128,23.0,23
129,41.0,41
130,71.0,71
131,49.0,49
132,44.0,44
133,60.0,60
134,158.0,158
135,122.0,122
136,158.0,158
137,69.0,69
138,83.0,83
139,151.0,151
140,64.0,64
141,284.0,284
142,156.0,156
143,124.0,124
144,78.0,78
145,154.0,154
146,60.0,60
147,119.0,119
148,104.0,104
149,72.0,72
150,115.0,115
151,86.0,86
152,133.0,133
153,28.0,28
154,88.0,88
155,116.0,116
156,177.0,177
157,186.0,186
158,103.0,103
159,85.0,85
160,87.0,87
161,80.0,80
162,90.0,90
163,110.0,110
164,85.0,85
165,110.0,110
166,98.0,98
167,259.0,259
168,82.0,82
169,95.0,95
170,75.0,75
171,84.0,84
172,149.0,149
173,73.0,73
174,84.0,84
175,109.0,109
176,69.0,69
177,99.0,99
178,106.0,106
179,88.0,88
180,102.0,102
181,33.0,33
182,38.0,38
183,110.0,110
184,115.0,115
185,158.0,158
186,125.0,125
187,102.0,102
188,153.0,153
189,110.0,110
190,87.0,87
191,77.0,77
192,118.0,118
193,14.0,14
194,75.0,75
195,217.0,217
196,107.0,107
197,226.0,226
198,179.0,179
199,100.0,100
200,145.0,145
201,126.0,126
202,104.0,104
203,51.0,51
204,110.0,110
205,109.0,109
206,77.0,77
207,128.0,128
208,148.0,148
209,89.0,89
210,92.0,92
211,170.0,170
212,183.0,183
213,109.0,109
214,100.0,100
215,114.0,114
216,162.0,162
217,133.0,133
218,257.0,257
219,232.0,232
220,363.0,363
221,210.0,210
222,196.0,196
223,115.0,115
224,352.0,352
225,273.0,273
226,319.0,319
227,352.0,352
228,627.0,627
229,256.0,256
230,547.0,547
231,418.0,418
232,399.0,399
233,235.0,235
234,143.0,143
235,483.0,483
236,112.0,112
237,125.0,125
238,668.0,668
239,154.0,154
240,378.0,378
241,542.0,542
242,925.0,925
243,117.0,117
244,205.0,205
245,265.0,265
246,123.0,123
247,478.0,478
248,414.0,414
249,109.0,109
250,106.0,106
251,397.0,397
252,234.0,234
253,263.0,263
254,296.0,296
255,93.0,93
256,221.0,221
257,582.0,582
258,535.0,535
259,122.0,122
260,425.0,425
261,100.0,100
262,148.0,148
263,106.0,106
264,101.0,101
265,216.0,216
266,108.0,108
267,142.0,142
268,193.0,193
269,205.0,205
270,143.0,143
271,166.0,166
272,184.0,184
273,111.0,111
274,214.0,214
275,362.0,362
276,168.0,168
277,181.0,181
278,200.0,200
279,181.0,181
280,94.0,94
281,296.0,296
282,203.0,203
283,103.0,103
284,177.0,177
285,329.0,329
286,307.0,307
287,223.0,223
288,479.0,479
289,470.0,470
290,267.0,267
291,776.0,776
292,328.0,328
293,623.0,623
294,321.0,321
295,530.0,530
296,892.0,892
297,518.0,518
298,328.0,328
299,643.0,643
