,r,l
0,-5.564486540485851,150
1,7.26685894827909,150
2,-21.582263072575078,150
3,-34.36713574698083,150
4,-24.027665873807397,150
5,-11.499687395404973,150
6,-13.275972530955556,150
7,-22.68959536408508,150
8,-56.685507142986744,150
9,8.682755986640194,150
10,-11.108417537954772,150
11,-8.889067677124668,150
12,-23.83717692261928,150
13,-37.82374959813629,150
14,-21.241301853387522,150
15,9.709181494244602,150
16,-36.549901376160854,150
17,-7.73943105565426,150
18,-13.155535594859773,150
19,-15.638195321431311,150
20,-15.605088879768335,150
21,-21.180163252777746,150
22,-17.596450554394053,150
23,-11.435192516815318,150
24,-21.1890127081008,150
25,-33.729560832857814,150
26,-16.668479227042248,150
27,5.151972778324041,150
28,-0.4840087689032887,150
29,-0.20408651971024505,150
30,0.7277829035401999,150
31,-13.937070273276873,150
32,-19.00386653475659,150
33,-28.20939807277319,150
34,-15.881365616317392,150
35,-3.1805210863736635,150
36,-23.76929353958647,150
37,-12.052962617761075,150
38,-44.40159750235897,150
39,-2.906211570454534,150
40,-21.75841186974245,150
41,-12.13484376653764,150
42,-22.41430551973873,150
43,-4.2552627624232136,150
44,-22.355817114654755,150
45,-0.37319531198706724,150
46,-29.90941895556367,150
47,-0.9831717355411652,150
48,-16.54351860189732,150
49,-92.48517781883582,150
50,-1.826184740767572,150
51,-15.429071109419912,150
52,-23.762097716445286,150
53,-2.3401343134817467,150
54,-17.71645000582326,150
55,-14.539921891441555,150
56,-9.814724469207981,150
57,-28.273182580039418,150
58,-76.11681763127137,150
59,-38.15916572668047,150
60,-1.676280968737771,150
61,-2.0692679274205044,150
62,-14.87499005997658,150
63,-35.05874204965759,150
64,-14.97431569686747,150
65,12.915838278290193,150
66,-16.695092681763178,150
67,-26.62051646911844,150
68,-9.55588745783276,150
69,-25.052417668846942,150
70,-14.460201618043078,150
71,0.6729856686972955,150
72,-22.441161490929808,150
73,-8.4478477297828,150
74,-11.832601720416056,150
75,-11.566871578081832,150
76,-17.299817403781425,150
77,9.580140718440369,150
78,-6.500057196963774,150
79,-27.07119151776862,150
80,-19.713172417026044,150
81,-33.94854787693866,150
82,-14.014116024034928,150
83,-16.162621392001128,150
84,-1.5776225607001497,150
85,-7.936133439271128,150
86,-22.99647575526055,150
87,-22.429668295881417,150
88,-11.690963565712405,150
89,-11.876638159350541,150
90,-13.72624057093799,150
91,-37.91977292472473,150
92,-6.575993892969905,150
93,-11.150331259511725,150
94,-38.97322490626273,150
95,-47.45057772653644,150
96,-13.254248075468498,150
97,-27.86378269828507,150
98,-24.12922218408094,150
99,1.1196285629195635,150
100,-7.947363764859057,150
101,-5.170962402132063,150
102,-22.724483392901405,150
103,-6.504405247967037,150
104,-39.94578645088612,150
105,-16.277800181203943,150
106,-18.099468211091583,150
107,-19.290253546847666,150
108,-25.638925549664584,150
109,-65.82864470499077,150
110,12.885799204129132,150
111,-11.931421697382344,150
112,-3.898040247505759,150
113,-24.053406318565624,150
114,-0.4114715650239913,150
115,-22.51369160600793,150
116,7.943172952115578,150
117,-20.820280814346447,150
118,-16.998488892157425,150
119,-24.79755825124867,150
120,-27.247767066846958,150
121,-11.819292251497108,150
122,10.315891475296162,150
123,2.043851525352992,150
124,3.051201860932161,150
125,-6.715416601443854,150
126,-14.452372667984738,150
