,r,l
0,-15.366190815432384,150
1,-22.95194728614021,150
2,-71.71075675215832,150
3,-113.8796557029194,150
4,-62.99177413103523,150
5,-132.45229271579998,150
6,-163.46300431362056,150
7,-28.297744963584975,150
8,-45.34269281585068,150
9,-88.6087826759729,150
10,-49.21514938578401,150
11,-85.48033578363075,150
12,-109.7560592930921,150
13,-63.74198251807299,150
14,-54.63948461871075,150
15,-22.86775155158186,150
16,-41.99758860874147,150
17,-57.403366277435325,150
18,-67.17241255567103,150
19,-52.319750799568595,150
20,-18.11658550662487,150
21,-89.08907024463323,150
22,-54.05997368597708,150
23,-43.40829830507965,150
24,-116.07618187528296,150
25,-23.221455070662895,150
26,-68.67710531142845,150
27,-17.00014891398494,150
28,-28.687501835894956,150
29,-34.92261882939977,150
30,-35.663428507367286,150
31,-40.81203769573898,150
32,-101.15082055999603,150
33,-98.75725403377183,150
34,-50.862090701732676,150
35,-32.00745858244725,150
36,-72.94484540534266,150
37,-20.85154462901424,150
38,-49.91246381100063,150
39,-28.93218780671515,150
40,-55.669723396226374,150
41,-44.651153558759006,150
42,-54.74341324847722,150
43,-23.988721057208352,150
44,-24.014164216414553,150
45,-46.13431081129201,150
46,-40.20228505573439,150
47,-0.18647236310607607,150
48,-52.631213017244654,150
49,-42.87428964003766,150
50,-29.01664347193264,150
51,-30.046441416707577,150
52,-26.898634867404134,150
53,-16.942231604828876,150
54,-38.882895188951636,150
55,-50.293577676783705,150
56,-42.136474904333774,150
57,-46.27852212126472,150
58,-66.81208342243357,150
59,-10.194940738743643,150
60,2.847935181723577,150
61,-34.65240618205776,150
62,-35.161551409576106,150
63,-33.542154681073804,150
64,-32.79023008881554,150
65,-59.323266319044684,150
66,-38.39647417514053,150
67,-54.0968939161411,150
68,-48.9509092159191,150
69,-15.920762348111287,150
70,-27.529387558290175,150
71,-57.09979615690926,150
72,-39.147753734865205,150
73,-43.00708622042332,150
74,-33.15137819244067,150
75,-40.493052351338214,150
76,-31.700781391064,150
77,-49.443925719955395,150
78,-122.80652177151067,150
79,-36.83923978160985,150
80,10.445151074624844,150
81,-131.61310585125403,150
82,-31.222327975022136,150
83,-45.22732939478412,150
84,-27.252809924136663,150
85,-45.520892504552236,150
86,-46.14956214199543,150
87,-98.49919770421545,150
88,-141.30833523750687,150
89,-53.08341289511315,150
90,-47.662225494904504,150
91,-30.96101011066101,150
92,-14.310360986506652,150
93,-51.3200224957621,150
94,-34.55611356025159,150
95,-13.113748747968266,150
96,-34.78900064712544,150
97,-48.692686096591636,150
98,-35.12887976188239,150
99,-74.79088796971054,150
100,-15.063986829642904,150
101,-24.291611377986168,150
102,-70.58414774959881,150
103,-55.945077822736295,150
104,-48.534694288291654,150
105,-19.901022641719212,150
106,-26.936054064982283,150
107,-46.99783610619889,150
108,-46.777180756167844,150
109,-7.694973593825669,150
110,-28.35642673391212,150
111,-66.62829177790843,150
112,-37.66376430169515,150
113,-27.692424581916395,150
114,-39.96934254972983,150
115,-3.6192038983619237,150
116,-24.840175511022196,150
117,-141.71918446287805,150
118,-138.94200614053813,150
119,-24.58757940068064,150
120,-45.335006276970965,150
121,-23.423614736804044,150
122,-150.12646524521878,150
123,-100.29463325588387,150
124,-34.38170665073706,150
125,-88.33281477350792,150
126,-46.17464236106291,150
127,-29.15426554195566,150
128,-16.38079184705356,150
129,-53.608537702773134,150
130,-10.094592082411406,150
131,-53.837975231581915,150
132,-55.79148661850473,150
133,-57.4576003258533,150
134,-26.196269300839802,150
135,-15.666659257235379,150
136,1.1082279917578062,150
137,-31.603749569311937,150
138,-36.37620775901312,150
139,-21.5432408186832,150
140,-70.14101105669906,150
141,-15.60458803162065,150
142,-88.4384739013607,150
143,-20.053917432871618,150
144,-82.43230648592318,150
145,-49.831260883046376,150
146,-34.90103454746311,150
147,-53.56242396089998,150
148,-57.709744801795054,150
149,-67.570699004356,150
150,-28.61090157182783,150
151,-15.574089994373079,150
152,-29.655511927092796,150
153,-22.19709070170281,150
154,-23.136805870293568,150
155,-7.231386380161377,150
156,-12.91128174576197,150
157,-50.98405331531346,150
158,-32.347328469485795,150
159,-69.79187773228821,150
160,-22.876476049218567,150
161,-27.54164543598833,150
162,-64.79834863420642,150
163,-33.25406770725698,150
164,-3.7403742125871178,150
165,-96.86525064692322,150
166,-56.66982046775558,150
167,-27.068866415257713,150
168,-16.413348757386075,150
169,-37.39793875989364,150
170,-12.104038385093881,150
171,-83.28886135577065,150
172,-32.32095817785122,150
173,-1.4396170556223562,150
174,-20.904068092492047,150
175,-29.37770554607114,150
176,-45.83642345709674,150
177,-50.02470950517574,150
178,-23.384590084337386,150
179,-8.786327744236381,150
180,-31.09552054410729,150
181,-25.58216725135584,150
182,-31.40995390777518,150
183,-99.17001560477529,150
184,-49.221336265374994,150
185,-68.1246301101282,150
186,-57.73663463556947,150
187,-54.64679631675358,150
188,-27.23241283597872,150
189,-80.66219505851026,150
190,-20.281866986798693,150
191,-113.46502069691847,150
192,-43.807419745057075,150
193,-14.199974789951904,150
194,-23.518010740835578,150
195,-65.12414443535543,150
196,-17.225562980365662,150
197,-37.07829910646246,150
198,-55.86407804395189,150
199,-55.68924046480799,150
200,-47.92623464479025,150
201,-38.38810978888438,150
202,-66.38510399256138,150
