,r,l
0,532.7387450517463,1000
1,494.9105610020357,1000
2,599.70778194313,1000
3,155.85260262275276,286
4,482.6980960046688,1000
5,187.50507964453175,343
6,317.79018007858207,1000
7,605.8423944223621,1000
8,492.76197638226796,1000
9,540.5048538830677,933
10,584.2442947350514,1000
11,578.3474502914456,1000
12,500.23287536742475,1000
13,548.9857690712469,1000
14,646.0654481181632,1000
15,534.355794388689,1000
16,317.58890207112086,632
17,527.1841308816862,1000
18,507.68303985805045,1000
19,559.3279563934408,1000
20,298.5965566922725,511
21,506.90610055083334,1000
22,565.872187930273,1000
23,293.0096911189718,606
24,172.9227789189121,340
25,316.3137074569934,521
26,252.44802181871455,538
27,327.5465335033657,670
28,252.08372613478602,466
29,553.5474510990059,1000
30,101.34142904947973,198
31,304.6841094318511,535
32,513.163260074646,1000
33,604.1857153145576,1000
34,590.1326057582098,1000
35,521.0841929165113,1000
36,724.0128424359602,1000
37,631.2256459363805,1000
38,502.02018354784406,1000
39,506.5661293925154,1000
40,703.3020380748478,1000
41,504.3399211016289,1000
42,565.1296569357735,1000
43,524.6271707507841,1000
44,575.6282683809096,1000
45,442.66175997029137,1000
46,565.8101594284092,1000
47,623.2547803622263,1000
48,587.231035714645,1000
49,534.2838264221647,1000
50,545.7594136724508,1000
51,555.0405003860901,1000
52,621.3779341902731,1000
53,600.484405947746,1000
54,603.136297125187,1000
55,541.0397749652991,1000
56,432.4934935413522,1000
57,513.0278790500819,1000
58,588.6407800944401,1000
59,530.6189794690569,1000
60,501.32589633398175,1000
61,424.8674482419228,1000
62,512.1714891703208,1000
63,444.60813218042017,1000
64,385.0563784601726,1000
65,370.8442197557163,1000
66,400.9626527336571,1000
67,293.75324783408325,1000
68,431.66820296687865,1000
69,398.97307698625474,1000
70,356.46148094868505,1000
71,366.47630710152504,1000
72,448.02411160437117,1000
73,402.1756358773502,1000
74,448.0223327697023,1000
75,475.7657927984922,1000
76,411.568590233979,1000
77,327.4970277894155,1000
78,393.7070605278183,1000
79,404.98856793624617,1000
80,348.2984592384594,1000
81,363.211435768073,1000
82,382.0784636873095,1000
83,457.64740840697397,1000
84,399.7838541629686,1000
85,379.7641708050033,1000
86,391.0883277961014,1000
87,445.9974786481838,1000
88,381.118592401347,1000
89,453.81408816159075,1000
90,409.6323943606829,1000
91,524.3012230239935,1000
92,407.4050868851709,1000
93,466.04520645309503,1000
94,335.65667072267723,1000
95,454.06998782391673,1000
96,400.3516986274368,1000
97,391.9439568796974,1000
98,447.88909431469597,1000
99,513.173922473362,1000
100,467.22587601404314,1000
101,450.75668619721966,1000
102,465.40405255631157,1000
103,441.46807540233266,1000
104,435.57500074285497,1000
105,513.261490768327,1000
106,523.3623201494526,1000
107,435.64041171894297,1000
108,366.43243765112834,1000
109,371.9850299112796,1000
110,425.18761680480605,1000
111,354.1621814130833,1000
112,199.87117330518683,451
113,244.06726342255232,1000
114,284.38261940035693,1000
115,357.762341568173,1000
116,556.0398080891895,1000
117,527.4823166418564,1000
118,468.8545393372549,1000
119,424.42982537985864,1000
120,633.0844885820773,1000
121,607.0193553777897,1000
122,514.3368397365649,1000
123,585.1361036458582,1000
124,458.0693341866376,1000
125,575.6065848419722,1000
126,418.18649193938097,1000
127,605.1086530732352,1000
128,607.9500652200836,1000
129,600.0104879849905,1000
130,508.02683393509807,1000
131,636.6015721701069,1000
132,489.7705692209435,1000
133,646.4020767004513,1000
134,637.42893632961,1000
135,630.0190339494794,1000
136,506.15328013177833,1000
137,438.5550995571018,1000
138,542.8650927841958,1000
139,394.2828553411917,1000
140,508.678058696082,1000
141,497.1620444963285,1000
142,482.70710279641685,1000
143,493.7533101997167,1000
144,609.1060123280956,1000
145,576.6774714558707,1000
146,518.552197546031,1000
147,508.29847510519056,1000
148,568.8786706848921,1000
149,487.14544996290664,1000
150,553.565312377903,1000
151,496.9123885077557,1000
152,510.0537932820171,1000
153,585.7390171561408,1000
154,564.1346430248539,1000
155,595.6389680039101,1000
156,507.6112633319699,1000
157,490.694143648944,1000
158,558.8406899870707,1000
159,502.9751886488099,1000
160,569.324853614234,1000
161,502.40361566679144,1000
162,523.0757206702532,1000
163,493.42493248324047,1000
164,544.134346667458,1000
165,503.6831373713155,1000
166,509.201554442464,1000
167,493.0161258062125,1000
168,491.87379478317695,1000
169,606.821708767986,1000
170,567.0025487994112,1000
171,484.1481086677965,1000
172,566.5840280202716,1000
173,551.7928450854819,1000
174,508.07786729418666,1000
175,722.0071093520418,1000
176,606.7997290860981,1000
177,436.6041819809003,1000
178,475.4761446529956,1000
179,709.6722170710441,1000
180,690.3396416191291,1000
181,688.808096255427,1000
182,547.8504300133698,1000
183,588.9083148411848,1000
184,647.8382952276255,1000
185,708.3618185445623,1000
186,708.2923287751606,1000
187,676.8189527362109,1000
188,558.9398985001887,1000
189,610.6927541065164,1000
190,718.8147025120232,1000
191,629.1791794129986,1000
192,585.2183567754792,1000
193,637.9371373622013,1000
194,521.8564957122835,1000
195,611.8734285120961,1000
196,656.3533861652136,1000
197,613.0091272497111,1000
198,539.1230494210353,1000
199,557.8252278073439,1000
200,529.1342715493696,1000
201,579.9112741934753,1000
202,594.8454755857128,1000
203,482.8641277255888,1000
204,382.40761990727503,1000
205,461.08289193175085,1000
206,519.4142675184104,1000
207,528.0978109814216,1000
208,506.1306038811339,1000
209,623.2965115211726,1000
210,412.94996133449695,1000
211,662.369375163126,1000
212,512.3611051229645,1000
213,594.7753559422616,1000
214,470.4893757947906,1000
215,394.0356293872149,1000
216,451.6462350044185,1000
217,445.24899535781185,1000
218,521.3855487242774,1000
219,522.6413373728016,1000
220,548.4228635204271,1000
221,487.7316709777303,1000
222,525.8094244088225,1000
223,594.0094792315288,1000
224,504.82899749756933,1000
225,535.9465293557643,1000
226,453.9257283457171,1000
227,533.2849878291684,1000
228,540.0148080464845,1000
229,492.8656818859369,1000
230,542.7513169468486,1000
231,568.412468015453,1000
232,586.3168791704112,1000
233,602.7711962372628,1000
234,526.1767575491989,1000
235,565.2212786355432,1000
236,546.0990065501218,1000
237,570.1181986482101,1000
238,566.6800648098113,1000
239,530.3520993897762,1000
240,569.0310134994655,1000
241,315.9128743957642,1000
242,438.84946733283766,1000
243,468.02771952198253,1000
244,482.67949789679267,1000
245,402.19510466024263,1000
246,460.4182681913072,1000
247,536.4090514870935,1000
248,447.98633569741037,1000
249,463.16782772111026,1000
250,485.98645627440146,1000
251,444.0111366130067,1000
252,501.7183607859053,1000
253,531.7537292878363,1000
254,544.8068110578487,1000
255,531.9810319026433,1000
256,546.7794120101162,1000
257,567.7001301261988,1000
258,417.04624629895613,1000
259,546.9099890732832,1000
260,522.6067325508716,1000
261,544.788470595959,1000
262,528.6853684490534,1000
263,534.2632237631533,1000
264,477.7670869736232,1000
265,501.35721178598567,1000
266,547.9576141426425,1000
267,497.3872257016288,1000
268,527.088104804856,1000
269,532.2525034194875,1000
270,541.575110819602,1000
271,561.2980944325247,1000
272,567.281583931654,1000
273,547.4459341975444,1000
274,592.9232867154795,1000
275,528.1816199877825,1000
276,556.686161009203,1000
277,588.648664634236,1000
278,530.6907922845949,1000
279,506.66055286524875,1000
280,528.4783216442711,1000
281,491.71601921168605,1000
282,514.455547642705,1000
283,492.26161266334793,1000
284,514.2284584127568,1000
285,488.3328151068595,1000
286,444.8670489896293,1000
287,546.7712299507265,1000
288,476.70989154612477,1000
289,540.9426031440886,1000
290,550.2124769675197,1000
291,534.823741240464,1000
292,544.5842113303787,1000
293,543.3751912116504,1000
294,497.29313662220153,1000
295,537.5270899532926,1000
296,587.9590362973511,1000
297,621.7270989189586,1000
298,650.9086847007493,1000
299,589.9479687654998,1000
300,648.6569406706793,1000
301,624.3629164661776,1000
302,695.6112686787613,1000
303,693.7041417866021,1000
304,621.6271994223505,1000
305,605.5834579819967,1000
