,r,l
0,18.073539502762664,7
1,17.570802535539606,6
2,17.564301568263765,13
3,18.025860880667356,15
4,21.003757082050313,11
5,16.187425846571156,15
6,20.9384022173424,8
7,20.250902072093893,9
8,17.274225267592193,9
9,18.617269045725976,14
10,18.302614344949866,12
11,16.791122567411094,10
12,18.36332036785872,7
13,16.943142470528713,8
14,16.13887447772315,9
15,25.696078472527088,14
16,20.763001907878063,10
17,17.591770247943426,7
18,18.756051625708018,13
19,21.144450336319203,15
20,22.01181709920537,11
21,18.149756733655757,15
22,18.829414261986273,9
23,26.292797737445323,14
24,21.980058783046477,12
25,20.411652661948636,9
26,16.424180886705365,6
27,19.27467925930744,7
28,26.76347808753891,21
29,19.411176369654278,8
30,18.837462357825395,12
31,20.963446574952368,7
32,18.127900059187137,16
33,19.015953190083756,8
34,16.223245473068282,10
35,19.31639035227893,10
36,22.363131967945865,13
37,21.760395282742454,9
38,19.507381522917346,9
39,19.840330417925262,7
40,21.51851535702288,8
41,19.344275586335996,8
42,20.170645996337903,7
43,22.74083756996701,15
44,23.14657320248866,15
45,18.21559400939958,9
46,18.953030362780915,8
47,21.4124936787207,11
48,16.175455125559804,6
49,19.499836416208744,10
50,21.267869090081525,9
51,22.822455089034808,14
52,19.053648518002554,7
53,20.684054831428625,9
54,18.03435397729732,6
55,20.173136888888067,8
56,19.555545518819535,7
57,23.288654434401053,7
58,20.24425705574985,7
59,20.533720984010856,11
60,18.567740707532504,6
61,19.017456860602596,6
62,19.88352139001329,9
63,17.89831218307785,7
64,18.621460614629285,8
65,15.531466890277777,5
66,24.20477710051266,13
67,18.257826017544254,7
68,23.518956749076356,10
69,16.408831307969407,9
70,17.238585348492023,10
71,19.673872692036284,7
72,20.09013147044215,7
73,20.396257060870454,15
74,21.78500066848574,8
75,20.698013194745364,10
76,21.350965578246957,9
77,20.38499848269131,7
78,13.791977156291521,6
79,18.64570973177966,8
80,21.364021535359424,14
81,22.19027498658751,9
82,19.027484083684545,7
83,20.181785406124956,8
84,18.550188681012237,7
85,21.5867118175798,8
86,17.732541984356434,6
87,20.02361959779417,7
88,21.78090607102816,11
89,18.097176367837644,9
90,21.66402524755476,8
91,19.70076725269344,11
92,20.432916929518303,14
93,20.062368818425128,12
94,17.211928194629433,7
95,19.082612464678444,9
96,18.70291725245923,6
97,17.700946729134582,10
98,21.150884223998425,8
99,20.4110517724395,8
100,22.363999244071657,12
101,19.23862999273197,8
102,18.98996337775347,7
103,19.670137439233248,8
104,18.980565575482682,6
105,19.31510293424508,7
106,19.608956173814292,8
107,20.51778714627373,9
108,19.78386124147307,9
109,22.745408105777816,11
110,17.726778049265548,6
111,21.310980713203467,8
112,21.99621962309681,9
113,17.699070074616948,6
114,21.53729406588947,10
115,19.088556005641937,6
116,22.20385985509882,10
117,20.87499268999953,9
118,19.35970203644216,8
119,18.83983412495371,7
120,22.664314612471337,10
121,18.920200829501034,7
122,21.01313401092324,9
123,21.414623731775684,12
124,17.382541019766077,6
125,21.326256721072248,10
126,19.61360237418424,7
127,14.785751252755981,5
128,19.746760535795893,7
129,18.019932938924754,5
130,20.401471621970238,6
131,18.972127203543835,11
132,23.605296793171377,10
133,18.849771725811248,6
134,18.88286786415473,6
135,19.04083904908831,6
136,19.519614971518656,8
