,r,l
0,21.021314862472423,13
1,22.517866139719,9
2,21.77102702410553,9
3,20.57597142387228,7
4,16.303810097034713,6
5,25.290035974864416,11
6,16.438994506748895,7
7,19.808909159990147,14
8,19.150575797009225,6
9,19.915148770645818,6
10,23.939260470872213,24
11,17.84757696402248,6
12,21.192995141555084,18
13,24.63297236613227,12
14,20.46469721097366,17
15,25.551590812319002,23
16,20.59519244117879,10
17,25.5573649089195,17
18,26.761727893022602,19
19,23.124004948816264,14
20,35.97856544378099,30
21,22.420437543040915,17
22,44.19882381434474,44
23,64.0332300170625,63
24,24.00502509501932,13
25,30.90772606698241,50
26,44.553647627305274,60
27,33.67475789697746,43
28,44.436640121679346,58
29,38.54410352158139,33
30,36.39290213144028,49
31,46.45575366992654,62
32,34.176431663408174,46
33,47.589623471949054,54
34,27.514152044455585,52
35,30.336528292213277,22
36,44.11317279341204,54
37,36.24577097309031,23
38,44.297061579348345,46
39,43.80699691885147,55
40,60.51066798375872,63
41,64.06601150677042,71
42,38.730391524413825,43
43,45.16157339658847,51
44,50.33586930846517,58
45,29.438466388369633,58
46,56.48065004704493,61
47,39.79557195662796,70
48,20.403138170588235,52
49,88.41355508490483,102
50,55.57317344395725,61
51,29.810808971181288,59
52,24.434861653527122,54
53,32.09878607782503,65
54,36.25372873993087,36
55,26.533624606591367,16
56,40.12233161796783,35
57,32.79070326821791,24
58,15.38246253301234,42
59,26.647882563235957,17
60,37.27348151183887,40
61,34.868775876525504,24
62,36.963240337401054,30
63,60.121355842851436,51
64,37.807234987331576,50
65,45.58906396744396,34
66,63.003282778271924,70
67,60.47570188720029,64
68,48.536499195017186,56
69,29.952300572749337,60
70,39.81750590712768,62
71,32.55059480432412,44
72,47.32102353097344,61
73,18.256911960443787,46
74,40.06526066726019,33
75,47.228242188750826,54
76,32.28729459285936,21
77,73.19260950875618,75
78,44.69619298927721,50
79,38.45678946032349,42
80,53.799994698050135,40
81,35.11977229751482,22
82,28.96305872264793,40
83,48.0353058795821,38
84,64.59199662773234,52
85,43.34440811750384,49
86,51.80416065916361,41
87,44.72992326754494,35
88,47.77465212005603,31
89,66.4182142728793,60
90,65.17223704897862,110
91,74.87128034010652,82
92,52.428232344478296,56
93,62.51809623713649,54
94,68.85085527907691,55
95,95.34651784088906,83
96,37.31775961139388,26
97,53.637954515673904,56
98,18.10801467754013,45
99,69.36489718764692,83
100,58.75464145428409,65
101,37.31754305969651,70
102,43.846321097829616,50
103,55.02166260075651,64
104,39.856123682076095,69
105,38.58179907028437,76
106,30.35481584594826,58
107,18.330554023448432,44
108,85.44151306521141,93
109,42.95333268668924,51
110,44.80191282042581,52
111,37.035771819725724,45
112,49.72452400856471,64
113,27.214317773538497,58
114,26.63070778032751,64
115,64.38994532120552,73
116,57.042111068566214,63
117,66.11065101062096,71
118,26.680833156516044,62
119,46.278892380435835,53
120,50.32964612739418,57
121,65.525190542895,108
122,67.53271933944657,74
123,43.9668556279908,47
124,97.96083880116183,107
125,52.47549959806738,59
126,59.930997183626566,70
127,51.24777079579082,56
128,53.07203049802394,91
129,72.12612121852234,121
130,89.37118254089799,97
131,34.642014957065044,71
132,55.52594931791773,49
133,70.57826886925514,66
134,62.108905825927216,94
135,71.65184768565926,61
136,63.43080359800915,102
137,61.20099717070978,49
138,56.44844583285282,37
139,59.70649227095936,45
140,64.02000812083344,46
141,85.68183700228312,90
142,65.03339220934005,50
143,63.1523017431147,49
144,66.11719549659361,62
145,63.67427710574863,46
146,57.535574842683914,45
147,62.40519400853043,57
148,63.72062590329102,44
149,91.04541756290033,90
150,69.05913251015234,49
151,76.9848286790694,71
152,61.197802700246754,44
153,67.64999246855928,54
154,62.81052172421168,110
155,67.57419491163634,57
156,109.26717316559859,95
157,88.35957412270953,69
158,80.42676691762345,74
159,87.31611443462559,83
160,66.94767419150584,64
161,74.86708896966883,124
162,80.04390231840165,60
163,26.65120969340879,61
164,36.70506604074145,71
165,41.848694542260134,80
166,35.04976669552436,71
167,61.11816608652764,65
168,65.24330995226374,115
169,83.28655569423687,62
170,89.5509106283484,148
171,61.88962560513953,62
172,87.22198621899432,142
173,93.78564771626414,83
174,85.16370007826507,64
175,73.29162140167922,61
176,85.54358050130236,146
177,35.303810027265584,23
178,101.07319806419159,160
179,77.5954058041555,62
180,47.87951547245926,94
181,147.89473558343013,190
182,205.7027471159847,231
183,112.95022271806414,105
184,94.32456157286259,79
185,124.30076989607903,122
186,133.15379724921544,137
187,147.245297665487,145
188,131.06974776089757,209
189,113.49734724517782,111
190,144.4471507270902,137
191,151.07743007101868,150
192,62.25539785295246,117
193,128.47204866614035,127
194,163.05769412498688,160
195,118.18311490365157,116
196,179.9915292321892,293
197,79.60707193121922,140
198,217.17042579219333,272
199,164.21886798745905,261
200,123.1552485472723,203
201,186.33773564114983,193
202,85.50498688201712,75
203,167.59499368725534,168
204,94.65530140652422,77
205,133.78629016968634,123
206,118.53052850003648,99
207,186.6888219852593,197
208,293.93185511335577,399
209,183.878658545352,191
210,298.04750009335703,451
211,222.03685827566525,243
212,764.4800372598288,1000
213,112.19629883861055,106
214,217.38151675358216,345
215,757.2104068257041,1000
216,758.4713303105287,1000
217,427.9973206008918,507
218,275.8793471897018,310
219,666.9536602451108,821
220,322.1158626534224,486
221,261.33813675866185,306
222,758.1895758337681,1000
223,302.2113954419721,457
224,757.4849025567811,1000
225,375.01975307862057,453
226,272.60894435955805,380
227,390.8066436589859,580
228,354.34508089319337,444
229,748.1942737372196,1000
230,760.1006531635466,1000
231,744.2144006917229,1000
232,749.2522840240987,1000
233,730.3061878082462,1000
234,754.5702850615301,1000
235,162.96668421709742,270
236,331.3791480606127,496
237,740.2138409289432,1000
238,745.2738274608533,1000
239,397.8225838474312,588
240,347.459116634998,521
241,407.43817748399067,607
242,739.175380563512,1000
243,731.7398325129648,1000
244,741.5108852258011,1000
245,737.3481600967201,1000
246,528.7504439127923,782
247,588.5376963660826,822
248,732.8242726295382,1000
249,726.0242539579292,1000
250,438.8301622553076,653
251,735.9397927810676,1000
252,731.4786473796412,1000
253,392.05489302802476,583
254,739.2153327520375,1000
255,734.2588991238725,1000
256,743.670259247016,1000
257,311.2089744823236,474
258,726.901786050163,1000
259,254.3263335549677,395
260,467.65056844861886,698
261,730.1065319423745,1000
262,369.5252341164627,522
263,488.1253340221639,731
264,406.2953063803281,573
265,721.419820414596,1000
266,741.8171922426619,1000
267,730.0673106404945,1000
268,466.01600075607274,696
269,582.1058757791554,843
270,728.9430229618893,1000
271,680.2902244441054,981
272,515.8759889787685,748
273,748.1318712548577,1000
274,621.9098324434433,894
275,745.469436128945,1000
276,420.82839089827183,620
277,744.244362975858,1000
278,748.9217704663038,1000
279,752.7888642766655,1000
280,738.0329851770745,1000
281,750.7047424795646,1000
282,745.2417121880275,1000
283,579.2145689775344,829
284,738.5868694872621,1000
285,737.4741749186245,1000
286,478.9187253713753,701
287,564.0085784088814,813
288,462.23521641194816,672
289,743.6233905217133,1000
290,546.9475767746267,789
291,720.230651488615,926
