,r,l
0,278.6417642908399,30
1,371.40775661588947,40
2,287.9044960550275,31
3,213.52958462117752,23
4,231.79581409993514,25
5,353.0046753468249,38
6,353.1486584726765,38
7,400.03576480223074,43
8,241.0535629376846,26
9,241.1227050685603,26
10,417.465226168158,45
11,213.2623298239089,23
12,269.44067719138303,29
13,213.05641648391162,23
14,288.3616531482665,31
15,315.70630875129785,34
16,297.17418689929843,32
17,203.73956270541018,22
18,287.81850356515224,31
19,296.7351086565383,32
20,465.63935107534223,50
21,408.70293758705697,44
22,268.54406184433293,29
23,324.51063829603385,35
24,287.3309278039456,31
25,428.0428408205458,46
26,268.9960884716199,29
27,343.9664140555043,37
28,362.258551338108,39
29,315.2483026216292,34
30,325.09303853943504,35
31,343.575910701349,37
32,240.67572470725293,26
33,427.9416121641761,46
34,315.3940828770709,34
35,259.71741496559935,28
36,315.239395477028,34
37,268.78789103235357,29
38,306.44870122080005,33
39,324.559813382707,35
40,278.62196278339826,30
41,213.26407349537288,23
42,259.82287873020744,28
43,213.55695689860335,23
44,204.26115244094365,22
45,344.158731039999,37
46,204.1952857329531,22
47,241.10955149171352,26
48,223.05056086572125,24
49,185.36102676317975,20
50,166.85995589970312,18
51,213.5336589068193,23
52,204.27688223849424,22
53,185.4332136288421,20
54,185.56795167038396,20
55,157.74128778233793,17
56,185.70278267744402,20
57,157.60000261786607,17
58,194.86663632711662,21
59,148.30971489034823,16
60,157.48914868082878,17
61,204.3402024021285,22
62,166.87792511515676,18
63,138.93723635575222,15
64,176.54689043530828,19
65,194.93854003046425,21
66,157.54752623955767,17
67,166.90081528642824,18
68,157.77517423463092,17
69,157.4605324719986,17
70,148.18982204648321,16
71,138.83873955747856,15
72,166.73260516561484,18
73,166.9439324846105,18
74,166.83290129650905,18
75,167.13363163504658,18
76,167.01913295849354,18
77,166.96981556446852,18
78,157.77691871429317,17
79,157.48342106690907,17
80,166.74944777734666,18
81,167.0671500737766,18
82,157.66801289542914,17
83,148.3238627605749,16
84,167.12688704589567,18
85,176.5632506834714,19
86,185.5685648979081,20
87,148.06580648591867,16
88,185.6266285051307,20
89,176.29522465781966,19
90,166.69147593629137,18
91,166.76618647597357,18
92,138.91009445229327,15
93,167.029463145525,18
94,176.43600213956287,19
95,148.1054529682575,16
96,167.01557727279663,18
97,157.59270040992232,17
98,148.22303896769054,16
99,166.90557059152627,18
100,157.4087677473877,17
101,176.43154700247484,19
102,166.77170481773206,18
103,157.73617469410635,17
104,157.48080948775095,17
105,157.37884554096783,17
106,176.25100753027905,19
107,166.8048568373444,18
108,166.98738468541026,18
109,166.85010609726444,18
110,148.0784955269241,16
111,157.7225835281463,17
112,148.07884215322593,16
113,148.2388289007797,16
114,148.08316531565438,16
115,176.42282342391982,19
116,176.19129037510083,19
117,148.3163884863287,16
118,148.08152710612873,16
119,157.58678974556804,17
120,176.09092118220207,19
121,138.86505401647213,15
122,176.10434190770005,19
123,166.85607260056207,18
124,176.1162048293947,19
125,166.87895158466145,18
126,147.9884765387654,16
127,166.87710524980838,18
128,176.44428977538996,19
129,157.30786815718483,17
130,185.46402833750687,20
131,176.14492903027678,19
132,166.90422780492068,18
133,148.24852940674518,16
134,147.88505168834732,16
135,176.09064503015128,19
136,166.92922133700822,18
137,185.58925693291,20
138,176.4228533268482,19
139,222.84404397848036,24
140,167.17297546335908,18
141,185.37551291138928,20
142,157.34934329580045,17
143,176.2130952948956,19
144,185.67682513309313,20
145,166.8556465115705,18
146,185.43917175063433,20
147,223.04820864539283,24
148,297.6271949110541,32
149,204.18946933632114,22
150,278.8181035270247,30
151,213.28638262744232,23
152,260.2496020892513,28
153,241.23553531480007,26
154,390.51404368124076,42
