,r,l
0,28.0,28
1,18.0,18
2,33.0,33
3,19.0,19
4,31.0,31
5,15.0,15
6,43.0,43
7,11.0,11
8,15.0,15
9,17.0,17
10,26.0,26
11,36.0,36
12,36.0,36
13,18.0,18
14,23.0,23
15,22.0,22
16,13.0,13
17,24.0,24
18,24.0,24
19,15.0,15
20,30.0,30
21,24.0,24
22,33.0,33
23,19.0,19
24,36.0,36
25,41.0,41
26,22.0,22
27,23.0,23
28,17.0,17
29,35.0,35
30,28.0,28
31,15.0,15
32,16.0,16
33,14.0,14
34,15.0,15
35,11.0,11
36,17.0,17
37,17.0,17
38,9.0,9
39,22.0,22
40,10.0,10
41,11.0,11
42,18.0,18
43,12.0,12
44,18.0,18
45,12.0,12
46,11.0,11
47,12.0,12
48,15.0,15
49,20.0,20
50,15.0,15
51,15.0,15
52,9.0,9
53,9.0,9
54,15.0,15
55,16.0,16
56,9.0,9
57,15.0,15
58,10.0,10
59,11.0,11
60,8.0,8
61,17.0,17
62,25.0,25
63,10.0,10
64,15.0,15
65,7.0,7
66,10.0,10
67,15.0,15
68,11.0,11
69,10.0,10
70,10.0,10
71,11.0,11
72,20.0,20
73,11.0,11
74,17.0,17
75,11.0,11
76,9.0,9
77,10.0,10
78,13.0,13
79,16.0,16
80,15.0,15
81,16.0,16
82,27.0,27
83,11.0,11
84,12.0,12
85,20.0,20
86,16.0,16
87,17.0,17
88,16.0,16
89,24.0,24
90,12.0,12
91,63.0,63
92,14.0,14
93,33.0,33
94,20.0,20
95,30.0,30
96,18.0,18
97,26.0,26
98,42.0,42
99,56.0,56
100,16.0,16
101,43.0,43
102,13.0,13
103,47.0,47
104,17.0,17
105,33.0,33
106,27.0,27
107,15.0,15
108,23.0,23
109,31.0,31
110,17.0,17
111,14.0,14
112,14.0,14
113,17.0,17
114,17.0,17
115,19.0,19
116,19.0,19
117,17.0,17
118,14.0,14
119,7.0,7
120,9.0,9
121,17.0,17
122,11.0,11
123,14.0,14
124,16.0,16
125,8.0,8
126,11.0,11
127,15.0,15
128,11.0,11
129,10.0,10
130,10.0,10
131,9.0,9
132,14.0,14
133,10.0,10
134,15.0,15
135,12.0,12
136,13.0,13
137,13.0,13
138,15.0,15
139,13.0,13
140,13.0,13
141,15.0,15
142,12.0,12
143,12.0,12
144,9.0,9
145,18.0,18
146,10.0,10
147,10.0,10
148,17.0,17
149,8.0,8
150,11.0,11
151,12.0,12
152,9.0,9
153,12.0,12
154,11.0,11
155,14.0,14
156,11.0,11
157,13.0,13
158,14.0,14
159,12.0,12
160,11.0,11
161,12.0,12
162,15.0,15
163,11.0,11
164,10.0,10
165,10.0,10
166,17.0,17
167,15.0,15
168,11.0,11
169,14.0,14
170,9.0,9
171,20.0,20
172,22.0,22
173,18.0,18
174,27.0,27
175,15.0,15
176,14.0,14
177,11.0,11
178,11.0,11
179,13.0,13
180,13.0,13
181,26.0,26
182,26.0,26
183,16.0,16
184,12.0,12
185,14.0,14
186,26.0,26
187,16.0,16
188,17.0,17
189,12.0,12
190,40.0,40
191,23.0,23
192,26.0,26
193,33.0,33
194,26.0,26
195,21.0,21
196,14.0,14
197,18.0,18
198,34.0,34
199,25.0,25
200,59.0,59
201,76.0,76
202,37.0,37
203,35.0,35
204,38.0,38
205,19.0,19
206,29.0,29
207,81.0,81
208,63.0,63
209,34.0,34
210,19.0,19
211,26.0,26
212,21.0,21
213,13.0,13
214,14.0,14
215,16.0,16
216,30.0,30
217,40.0,40
218,35.0,35
219,34.0,34
220,24.0,24
221,20.0,20
222,19.0,19
223,21.0,21
224,48.0,48
225,28.0,28
226,14.0,14
227,13.0,13
228,28.0,28
229,45.0,45
230,20.0,20
231,56.0,56
232,42.0,42
233,30.0,30
234,30.0,30
235,48.0,48
236,21.0,21
237,16.0,16
238,59.0,59
239,35.0,35
240,127.0,127
241,47.0,47
242,21.0,21
243,54.0,54
244,39.0,39
245,44.0,44
246,49.0,49
247,63.0,63
248,51.0,51
249,28.0,28
250,19.0,19
251,25.0,25
252,20.0,20
253,17.0,17
254,11.0,11
255,57.0,57
256,17.0,17
257,26.0,26
258,134.0,134
259,16.0,16
260,99.0,99
261,55.0,55
262,97.0,97
263,61.0,61
264,26.0,26
265,83.0,83
266,81.0,81
267,35.0,35
268,27.0,27
269,82.0,82
270,47.0,47
271,73.0,73
272,43.0,43
273,46.0,46
274,74.0,74
275,33.0,33
276,44.0,44
277,26.0,26
278,90.0,90
279,40.0,40
280,40.0,40
281,82.0,82
282,22.0,22
283,82.0,82
284,61.0,61
285,50.0,50
286,69.0,69
287,54.0,54
288,34.0,34
289,90.0,90
290,39.0,39
291,87.0,87
292,68.0,68
293,66.0,66
294,43.0,43
295,179.0,179
296,149.0,149
297,70.0,70
298,69.0,69
299,71.0,71
300,136.0,136
301,145.0,145
302,63.0,63
303,115.0,115
304,103.0,103
305,72.0,72
306,117.0,117
307,101.0,101
308,134.0,134
309,100.0,100
310,50.0,50
311,34.0,34
312,62.0,62
313,66.0,66
314,50.0,50
315,80.0,80
316,101.0,101
