,r,l
0,37.0,37
1,19.0,19
2,17.0,17
3,21.0,21
4,24.0,24
5,13.0,13
6,25.0,25
7,27.0,27
8,17.0,17
9,13.0,13
10,19.0,19
11,15.0,15
12,15.0,15
13,33.0,33
14,19.0,19
15,20.0,20
16,23.0,23
17,32.0,32
18,17.0,17
19,14.0,14
20,12.0,12
21,13.0,13
22,20.0,20
23,15.0,15
24,16.0,16
25,12.0,12
26,48.0,48
27,26.0,26
28,15.0,15
29,25.0,25
30,19.0,19
31,32.0,32
32,57.0,57
33,21.0,21
34,20.0,20
35,33.0,33
36,23.0,23
37,27.0,27
38,31.0,31
39,44.0,44
40,18.0,18
41,35.0,35
42,12.0,12
43,29.0,29
44,16.0,16
45,33.0,33
46,24.0,24
47,19.0,19
48,16.0,16
49,38.0,38
50,30.0,30
51,17.0,17
52,19.0,19
53,35.0,35
54,22.0,22
55,17.0,17
56,14.0,14
57,18.0,18
58,32.0,32
59,13.0,13
60,11.0,11
61,32.0,32
62,43.0,43
63,24.0,24
64,37.0,37
65,32.0,32
66,21.0,21
67,31.0,31
68,22.0,22
69,11.0,11
70,35.0,35
71,41.0,41
72,24.0,24
73,16.0,16
74,44.0,44
75,36.0,36
76,25.0,25
77,32.0,32
78,17.0,17
79,18.0,18
80,17.0,17
81,33.0,33
82,37.0,37
83,46.0,46
84,39.0,39
85,34.0,34
86,21.0,21
87,37.0,37
88,11.0,11
89,56.0,56
90,61.0,61
91,26.0,26
92,30.0,30
93,23.0,23
94,53.0,53
95,53.0,53
96,64.0,64
97,34.0,34
98,41.0,41
99,40.0,40
100,21.0,21
101,20.0,20
102,22.0,22
103,28.0,28
104,23.0,23
105,25.0,25
106,44.0,44
107,49.0,49
108,38.0,38
109,28.0,28
110,27.0,27
111,44.0,44
112,27.0,27
113,17.0,17
114,18.0,18
115,56.0,56
116,30.0,30
117,72.0,72
118,20.0,20
119,40.0,40
120,39.0,39
121,52.0,52
122,34.0,34
123,22.0,22
124,71.0,71
125,27.0,27
126,46.0,46
127,75.0,75
128,20.0,20
129,48.0,48
130,20.0,20
131,35.0,35
132,39.0,39
133,42.0,42
134,40.0,40
135,30.0,30
136,34.0,34
137,49.0,49
138,54.0,54
139,17.0,17
140,62.0,62
141,67.0,67
142,45.0,45
143,42.0,42
144,23.0,23
145,63.0,63
146,37.0,37
147,29.0,29
148,38.0,38
149,51.0,51
150,53.0,53
151,23.0,23
152,26.0,26
153,37.0,37
154,28.0,28
155,70.0,70
156,63.0,63
157,51.0,51
158,52.0,52
159,27.0,27
160,86.0,86
161,33.0,33
162,34.0,34
163,56.0,56
164,28.0,28
165,197.0,197
166,38.0,38
167,44.0,44
168,37.0,37
169,40.0,40
170,52.0,52
171,104.0,104
172,94.0,94
173,50.0,50
174,31.0,31
175,113.0,113
176,66.0,66
177,62.0,62
178,55.0,55
179,70.0,70
180,95.0,95
181,119.0,119
182,42.0,42
183,80.0,80
184,23.0,23
185,60.0,60
186,72.0,72
187,41.0,41
188,63.0,63
189,35.0,35
190,103.0,103
191,57.0,57
192,38.0,38
193,30.0,30
194,39.0,39
195,81.0,81
196,79.0,79
197,49.0,49
198,140.0,140
199,71.0,71
200,50.0,50
201,66.0,66
202,221.0,221
203,69.0,69
204,214.0,214
205,135.0,135
206,267.0,267
207,35.0,35
208,127.0,127
209,180.0,180
210,91.0,91
211,67.0,67
212,91.0,91
213,121.0,121
214,238.0,238
215,181.0,181
216,221.0,221
217,72.0,72
218,110.0,110
219,312.0,312
220,68.0,68
221,80.0,80
222,248.0,248
223,72.0,72
224,268.0,268
225,92.0,92
226,71.0,71
227,191.0,191
228,270.0,270
229,274.0,274
230,519.0,519
231,185.0,185
232,81.0,81
233,244.0,244
234,134.0,134
235,228.0,228
236,252.0,252
237,137.0,137
238,168.0,168
239,134.0,134
240,370.0,370
241,207.0,207
242,86.0,86
243,172.0,172
244,262.0,262
245,78.0,78
246,297.0,297
247,127.0,127
248,117.0,117
249,104.0,104
250,109.0,109
251,107.0,107
252,192.0,192
253,396.0,396
254,295.0,295
255,378.0,378
256,242.0,242
257,105.0,105
258,194.0,194
259,118.0,118
260,412.0,412
261,275.0,275
262,347.0,347
263,316.0,316
264,154.0,154
265,246.0,246
266,124.0,124
267,223.0,223
268,235.0,235
269,613.0,613
270,98.0,98
271,145.0,145
272,225.0,225
273,139.0,139
274,239.0,239
275,81.0,81
276,225.0,225
277,159.0,159
278,211.0,211
279,221.0,221
280,88.0,88
281,194.0,194
282,122.0,122
283,139.0,139
284,111.0,111
