,r,l
0,-6.79656324755752,150
1,-23.656227491250338,150
2,-57.028448457693244,150
3,6.63140931686696,150
4,-34.60072324664643,150
5,-47.59937438396132,150
6,-129.16099602642848,150
7,-29.244862643231887,150
8,-24.26684776287113,150
9,-10.030202244677097,150
10,-46.66719384013133,150
11,-2.4385105495917445,150
12,-49.13805136902817,150
13,-26.017550539894195,150
14,-36.80527589112694,150
15,-28.376958174932827,150
16,-56.699988747701305,150
17,-10.281603782650706,150
18,-53.51320072874494,150
19,-17.915196053351902,150
20,-30.699462050102138,150
21,-42.26869914956764,150
22,-31.10658396342749,150
23,-29.308803983282154,150
24,-31.496849802973625,150
25,-22.746959984592316,150
26,-69.30678994536055,150
27,-22.769921212729336,150
28,-24.867304190169772,150
29,-20.69502302224526,150
30,2.2491239161227123,150
31,-15.81749627969837,150
32,-34.56876392267656,150
33,-48.40906058719684,150
34,-13.408693214412322,150
35,12.200274717222122,150
36,-21.47042770618619,150
37,-2.7418251099156725,150
38,-12.760081131065833,150
39,-30.31436674351885,150
40,-31.961923377116218,150
41,-44.46044838470912,150
42,-27.47509103909922,150
43,-21.81408759857592,150
44,-14.080444436098764,150
45,-38.10481870539542,150
46,-48.79628045381365,150
47,2.4672529287201908,150
48,-40.079406298003356,150
49,-18.3417143663996,150
50,-39.061190633268644,150
51,-32.188356229443585,150
52,-55.08817467562981,150
53,2.322837549042098,150
54,-8.72808789946884,150
55,-31.52746760829665,150
56,-46.25627487218523,150
57,-38.329578058645154,150
58,-20.358537340877405,150
59,-26.90315039360331,150
60,-35.02676950369037,150
61,-13.943058876753131,150
62,-16.435612784256495,150
63,-23.69429761856412,150
64,-19.72244113862625,150
65,-30.658136269770072,150
66,-24.276208152279246,150
67,-6.115050668827583,150
68,-49.0537791300974,150
69,-28.700429598091045,150
70,-23.397989215679203,150
71,-29.382671225875914,150
72,-26.202704474463676,150
73,-16.042631582218995,150
74,-8.166938847576548,150
75,-5.767675549585557,150
76,-2.406835707295273,150
77,-33.23407899787155,150
78,-17.960146524005236,150
79,-21.344519675401813,150
80,-16.295055833688988,150
81,-36.302738000893534,150
82,-16.435097846214227,150
83,-23.594229577359574,150
84,-27.899587439244,150
85,-20.9448214833623,150
86,-43.101973297814006,150
87,-3.7172328748718146,150
88,-80.49356485685217,150
89,-36.010168162439506,150
90,-0.8465254628965921,150
91,-0.043997025656781916,150
92,-24.151195587826916,150
93,-11.753548381179122,150
94,-23.95386614015647,150
95,-43.31656915590301,150
96,-11.585241809635168,150
97,-21.236051394379317,150
98,-34.277832088543875,150
99,-26.288274042703712,150
100,-32.10437243810176,150
101,-31.91234764546327,150
102,1.5366078259949372,150
103,-20.03259771046549,150
104,-19.266139173327627,150
105,-35.40116123358028,150
106,-7.716355808205581,150
107,-15.283079822473345,150
108,-29.157533856401752,150
109,-37.769079512075415,150
110,-18.199566585171578,150
111,-16.31225719045596,150
112,-17.982656187578183,150
113,7.323498091718526,150
114,-12.65673045494713,150
115,-42.06704838290775,150
116,-20.87188287582621,150
117,-26.850981085941314,150
118,-34.8103495674919,150
119,-2.459061764269157,150
120,-15.052511013742643,150
121,-27.777126595094003,150
122,-25.680669380693793,150
123,-36.954399007361566,150
124,-6.5592158713132,150
125,-8.377615800355724,150
126,-29.045827599699173,150
127,-8.346160695875072,150
128,-1.168019983106867,150
129,-28.002592260115094,150
130,-35.151501065952445,150
131,-15.925690165998947,150
132,-12.281308978179897,150
133,-30.26186348548312,150
134,-43.7197208576816,150
135,-4.203603119848529,150
136,-7.133565804263018,150
137,-44.340552306020754,150
138,-36.201241096849564,150
139,-19.61664421841194,150
140,-4.773323933217673,150
141,-24.464272973812548,150
142,-8.235310332021076,150
143,-22.760635684255863,150
144,-14.940153670709936,150
145,-12.480736160192526,150
146,-6.379168925552826,150
147,-21.948086755227262,150
148,-12.069418394870317,150
149,-21.795395262145025,150
150,-16.756641099839385,150
151,-14.17883146578893,150
152,-14.571057180849671,150
153,13.331087424354582,150
154,-12.574025686808085,150
155,-9.535252264782885,150
156,-15.411390365867275,150
157,-25.096098234967872,150
158,-6.3412403448868435,150
159,-17.850167451175604,150
160,-21.020897258742842,150
161,-35.00514528629333,150
162,-10.551924903543805,150
163,-0.7572821249745658,150
164,-12.166707764170445,150
165,-7.839573435249443,150
166,-26.903902794890534,150
167,-42.53081458819005,150
168,-13.754991682553339,150
169,-10.38280373601084,150
170,-28.249546252993035,150
171,-15.534602340019205,150
172,-38.729965268398935,150
173,-12.486850977565279,150
174,-4.866498781821966,150
175,-23.309607484775224,150
176,-14.177722951154246,150
177,-17.152969274575053,150
178,-15.767378233937238,150
179,-28.054019044674778,150
180,-39.88026884571812,150
181,-85.5806259147876,150
182,-15.00082357846865,150
183,-37.115677131320325,150
184,-17.011078493814978,150
185,-21.17817101896569,150
186,-50.24337958272317,150
187,-22.69529426053054,150
188,-21.935258801040845,150
189,-34.52980155323827,150
190,-19.09802070783152,150
191,-23.13388285615469,150
192,-17.2861520776814,150
193,-25.561916683099152,150
194,-1.791904549014242,150
195,-44.985151114365266,150
196,-42.07358195871596,150
197,-18.923540559008337,150
198,-29.549282791508467,150
199,1.3424397774298724,150
200,-25.292896190811728,150
201,4.731877085702985,150
202,-16.823413500973896,150
203,-22.821676607937302,150
204,-23.18232888197395,150
205,0.021500922744929873,150
206,-42.705590202421384,150
207,-33.337747663132134,150
208,-25.180508445089725,150
209,-33.548600864851345,150
210,-31.1016385910904,150
211,-27.161554792394597,150
212,-12.075356050863542,150
213,-10.681278880438626,150
214,-40.529917073256044,150
215,-20.447940254056494,150
216,-41.517422669195746,150
217,-28.44698511420448,150
218,-18.042032393672756,150
219,-1.685826297375189,150
220,-46.99731525301948,150
221,-3.631119084527348,150
222,-37.04766350332139,150
223,1.6229606478534913,150
224,-34.69049980291066,150
225,-18.927742119896095,150
226,-30.8644858190721,150
227,-44.23267212004322,150
228,-18.76579024765566,150
229,-44.203127593997756,150
230,-25.35820835216259,150
231,-29.79711125832294,150
232,-18.18691516098291,150
233,-41.72743531313177,150
234,-2.3118471207626525,150
235,-4.908213792014406,150
236,-24.484043514061355,150
237,-8.718608548218086,150
238,-7.509270533035767,150
239,-34.663318286729584,150
240,-2.6350996199583383,150
241,-10.785743837183404,150
242,-39.66550538002672,150
243,-22.830455003687806,150
244,-40.27659142703672,150
245,-16.584355688944303,150
246,-40.310230473036384,150
247,-3.593053546124516,150
248,-0.9519987378424669,150
249,-26.994238670161668,150
250,-4.72157768873046,150
251,-16.50039804137601,150
252,-8.002763558216344,150
253,-21.892429830307382,150
254,-29.23562850891716,150
255,-21.734041358036684,150
256,-1.248471806504086,150
