,r,l
0,505.7720716879445,1000
1,382.2163033442689,1000
2,423.442610715117,1000
3,540.2462255044691,1000
4,414.0747124199721,1000
5,410.5080722540153,1000
6,155.8334250610409,355
7,401.84671969509674,1000
8,195.00575605904473,421
9,138.83566358561637,339
10,258.2928014615853,577
11,349.56228214381747,1000
12,115.52119194089428,242
13,440.2427307181077,1000
14,60.58933865610316,122
15,502.13840892886265,1000
16,465.8581350098798,1000
17,453.11880972079507,1000
18,4.824326622335027,28
19,461.57733424326915,1000
20,452.50174982378957,1000
21,349.60593564352666,1000
22,452.30518694927383,1000
23,480.038690519191,1000
24,199.1744609527468,401
25,476.1907939758027,1000
26,487.89439198698824,1000
27,416.6866089343131,1000
28,578.9933471744779,1000
29,89.5104211014102,182
30,469.78965351842646,1000
31,16.758758419881413,63
32,427.48546596408335,1000
33,411.2089084336768,1000
34,157.60094664694063,297
35,570.5417746926763,1000
36,465.86025556647513,1000
37,473.84319107645035,1000
38,452.03301098389574,1000
39,350.7347364937507,692
40,424.05027777692146,1000
41,111.28899845595325,232
42,428.8058844492469,1000
43,524.317157570789,1000
44,439.3825414101461,1000
45,373.60479016130256,1000
46,442.623613500214,1000
47,480.5078207753699,1000
48,176.09561051083114,374
49,101.72637305332593,245
50,483.336046048812,1000
51,588.4441640575637,1000
52,402.37327623635196,1000
53,125.17004781279788,252
54,257.987470178464,555
55,87.5812769149322,189
56,483.70070356862186,1000
57,293.9689105161911,589
58,448.19836486292525,1000
59,299.24470551940254,586
60,463.1651763865942,1000
61,490.12557579516675,1000
62,91.70605036664703,221
63,440.5788878964097,1000
64,478.0322769910032,1000
65,435.5619977442786,1000
66,559.1576745078314,1000
67,500.0091977432785,1000
68,541.2776884048892,1000
69,433.56416413377406,1000
70,381.69618142782934,1000
71,97.70594729258421,202
72,388.2588765665207,1000
73,198.48806326934337,379
74,358.37155587227005,685
75,548.3271520646241,1000
76,488.93789310699844,1000
77,176.48454635614945,317
78,19.9305613463084,62
79,393.264689632799,1000
80,575.6481954254833,1000
81,557.922010250536,1000
82,494.30836502885245,1000
83,491.974768878178,1000
84,559.6796231780388,1000
85,605.5348329193074,1000
86,584.6855656246239,1000
87,461.2876570917501,1000
88,454.87103450259,1000
89,10.803457857758232,27
90,558.9856518050183,1000
91,641.9733287747497,1000
92,485.3571807093986,1000
93,565.7388414552996,1000
94,613.5318782512174,1000
95,611.7910466587762,1000
96,610.0062145255873,1000
97,333.7896433360096,793
98,586.9579559426046,1000
99,590.8965675268034,1000
100,576.4586607926732,1000
101,588.7046066516691,1000
102,599.0572787511511,1000
103,617.9842471037053,1000
104,628.8884639655096,1000
105,566.2900724090512,1000
106,598.8371193376197,1000
107,494.2110169356392,1000
108,490.4001151093711,1000
109,639.5680068021776,1000
110,650.9045576409779,1000
111,532.9252291761405,1000
112,571.7874972747985,1000
113,554.9003875781439,1000
114,679.9334468676191,1000
115,559.650324920255,1000
116,517.9056385694117,1000
117,551.3923164114055,1000
118,559.7523453090716,1000
119,519.6202323290445,1000
120,624.0475810603463,1000
121,521.3454240170985,1000
122,605.6385010418943,1000
123,540.4133074498116,1000
124,542.5738118007969,1000
125,536.7639820582066,1000
126,540.8633534699284,1000
127,511.20649424281436,1000
128,564.4482609705872,1000
129,553.572924114762,1000
130,157.55669393310728,326
131,564.6105805834083,1000
132,566.7946169179131,1000
133,417.70485997031966,1000
134,489.82485557541287,1000
135,421.22412090794893,1000
136,518.7978600826597,1000
137,538.9748062606172,1000
138,634.325242541237,1000
139,550.3655910878767,1000
140,550.6971552429303,1000
141,527.2309202734983,1000
142,51.84311283066834,132
143,497.93197712347376,1000
144,515.219246040789,1000
145,514.1456809844483,1000
146,513.520701435512,1000
147,505.0730828538451,1000
148,531.7628312009608,1000
149,538.6835587902864,1000
150,507.41311872970283,1000
151,472.2790580947925,1000
152,538.2696565012442,1000
153,586.7756718586664,1000
154,471.61809427834004,1000
155,449.3301314585772,1000
156,534.3617503989391,1000
157,620.8723914714791,1000
158,553.7401004606719,1000
159,521.7606077020174,1000
160,553.5916618769947,1000
161,524.4754848243315,1000
162,512.834240177095,1000
163,434.1544666920215,1000
164,506.4491212294868,1000
165,499.2731156431498,1000
166,502.3431117958919,1000
167,477.66871852466176,1000
168,413.8782046091945,1000
169,499.7402371357573,1000
170,464.9066802963915,1000
171,430.34355327277916,1000
172,530.4280539415336,1000
173,484.894427264427,1000
174,523.2917767303318,1000
175,510.7706951974661,1000
176,442.8143824055061,1000
177,428.1201927409604,1000
178,482.84444342408796,1000
179,443.35531771035323,1000
180,524.3154280917113,1000
181,447.7594763450781,1000
182,416.68177032111277,1000
183,478.63977544231886,1000
184,440.5570388264632,1000
185,393.9895838610098,1000
186,446.48833304945055,1000
187,430.25400841306396,1000
188,440.8079925411277,1000
189,410.38424307292104,1000
190,491.3171538723468,1000
191,399.6210360673808,1000
192,363.3638019818188,1000
193,444.52662500907365,1000
194,405.90569979843326,1000
195,472.1517867385977,1000
196,470.90067877854744,1000
197,429.5126630194017,1000
198,415.99929283911257,1000
199,484.8539178266776,1000
200,548.4887832589603,1000
201,422.3792989270432,1000
202,447.1882508471314,1000
203,461.8392624744586,1000
204,418.27060905526423,1000
205,393.8490088371978,1000
206,446.9101694605402,1000
207,400.3895141977398,1000
208,466.4003955641984,1000
209,382.8673348326652,1000
210,390.21671588110524,1000
211,490.32894585731856,1000
212,431.7676221367214,1000
213,471.39152789637,1000
214,386.57049190803474,1000
215,455.03813357919074,1000
216,363.0696935488045,1000
217,379.9950800610246,1000
218,387.40251489895354,1000
219,479.78191714987656,1000
220,390.9784173954203,1000
221,395.1693661444202,1000
222,393.65821076576225,1000
223,492.53258656133056,1000
224,414.31998243496247,1000
225,406.7784860067212,1000
226,446.90954156400323,1000
227,483.3332574892285,1000
228,453.1204080957281,1000
229,503.6325097323112,1000
230,322.70924931553833,1000
231,369.6684559127214,1000
232,346.21039111973886,1000
233,352.8242844981463,1000
234,423.8909891086295,1000
235,403.33866365382084,1000
236,433.0889531885719,1000
237,397.3144741488853,1000
238,352.7919252588073,1000
239,375.186673761623,1000
240,319.7724730935913,1000
241,420.9311086087239,1000
242,374.0839191322204,1000
