,r,l
0,4.191405250720389,20
1,21.07588127465589,55
2,56.48309148144011,110
3,4.120283420866581,20
4,48.7873700405676,108
5,55.27450224918364,138
6,10.047468464048285,28
7,80.8514008435515,146
8,231.49878739166437,481
9,410.0348951242636,1000
10,5.407088576514171,20
11,168.9423509029336,403
12,168.13268542096432,389
13,7.457587875179131,21
14,5.271460983179082,20
15,71.2277341688655,136
16,271.03583277797344,485
17,431.5852399153494,1000
18,107.3828695165365,198
19,12.898691623782325,31
20,509.9306695580317,1000
21,293.5255853065351,594
22,10.68129355911282,34
23,392.71693200276394,1000
24,326.2216223208861,620
25,99.88022699680305,240
26,70.69562685075162,165
27,28.35441679014513,72
28,47.223798629953976,101
29,16.66517410037614,40
30,6.5281270613728,21
31,14.442633595693398,39
32,27.048888931150117,63
33,112.91746353119613,212
34,18.658738503586573,38
35,364.2594178227194,613
36,219.25229309530786,368
37,23.167956086453678,51
38,55.38966690021704,108
39,56.51433187979569,116
40,197.69981333772256,319
41,539.2763605837549,1000
42,549.1289824804767,980
43,45.58371563089676,85
44,17.96944941648281,38
45,534.8043102204867,1000
46,11.819668449519124,30
47,461.09019739481084,1000
48,54.492701579301674,112
49,6.673284090763968,21
50,470.389186310939,1000
51,45.391644400061914,96
52,555.5801202209967,1000
53,188.81448702218762,312
54,27.372749619860183,50
55,617.1770612467856,1000
56,46.007403146421126,82
57,27.29193106316992,67
58,590.4863368757619,1000
59,537.4841232667493,1000
60,131.4063064959552,208
61,77.54765774123786,137
62,94.30076267920603,181
63,348.48437305633223,531
64,575.1661592582137,1000
65,528.8176502070587,1000
66,412.00999193495215,588
67,8.677096678209077,25
68,573.3227811913619,1000
69,114.25317291778087,234
70,37.04405594732426,65
71,546.5380006057488,1000
72,345.60860496489113,639
73,650.2984108624753,1000
74,297.32810191524754,1000
75,10.227455738750702,26
76,296.57418286573363,592
77,457.53991257708526,1000
78,527.659896718722,1000
79,340.38322667468583,1000
80,239.88183156070318,1000
81,325.51984857072875,1000
82,404.6000986939433,1000
83,361.37832208245163,970
84,573.3977111747739,1000
85,548.372120250453,1000
86,526.6794220717678,1000
87,558.4282342595484,1000
88,249.64873764189446,1000
89,413.47436999199215,1000
90,435.9649451459096,1000
91,556.5012367979414,1000
92,478.18544948588334,1000
93,311.70413055763345,1000
94,440.0092442919472,1000
95,276.9059147827625,1000
96,344.9702246868772,1000
97,482.230732215013,1000
98,321.0491200629647,1000
99,388.825757769316,1000
100,419.43397676605554,1000
101,573.2274723869955,1000
102,518.5266555658773,1000
103,60.38449273409101,137
104,279.5464960698478,1000
105,320.84144105208486,1000
106,509.2745554579055,1000
107,526.7686694778447,1000
108,415.4693782987461,1000
109,295.1949226359727,1000
110,339.861509500758,1000
111,453.43565241576204,1000
112,557.2019841172864,1000
113,350.9577961264917,820
114,475.9650149388698,1000
115,356.7285631681001,1000
116,563.5231964014353,1000
117,294.4811103367162,1000
118,289.9975215172486,1000
119,343.8603391684573,1000
120,502.85485291702156,1000
121,416.3408101929427,1000
122,397.6247921919635,1000
123,276.0975107495575,1000
124,358.182986306102,1000
125,262.2712435276395,1000
126,419.24583494840243,1000
127,411.33052959078327,1000
128,474.6255760820285,1000
129,527.327234346161,1000
130,248.63599325729015,1000
131,225.47451654619286,1000
132,272.87261771188264,938
133,361.68095404955113,894
134,430.1155041652543,1000
135,457.7809529049036,1000
136,249.07115520705773,1000
137,363.7972373337225,1000
138,466.1992913556895,1000
139,441.09544645078694,1000
140,252.64781142787584,1000
141,337.86111917727123,1000
142,315.45104609397674,1000
143,434.9952041434584,1000
144,271.9651701765282,1000
145,188.21371019232342,569
146,433.6983027727606,1000
147,449.6663863688968,1000
148,438.00402659050263,1000
149,262.30537039906187,1000
150,453.81864329410195,1000
151,533.5269568441715,1000
152,492.71516450943096,1000
153,430.31341167713634,1000
154,474.42799719972743,1000
155,565.1572297814913,1000
156,472.8714669201525,1000
157,519.3645823595757,1000
158,536.4012818470445,1000
159,566.5952131481679,1000
160,318.1436841378555,1000
161,377.85204906620584,1000
162,537.8127841090816,1000
163,557.7874838383177,1000
164,580.8361726170632,1000
165,318.7245327889966,693
166,343.7471782287963,847
167,364.6514693475962,1000
168,148.97284952602348,432
169,540.2732023307349,1000
170,268.15503205495196,1000
171,443.5213242189236,1000
172,530.236010421174,1000
173,493.45615078294,1000
174,550.7108991475593,1000
175,398.21761192762534,910
176,544.6723441927687,1000
177,512.3213585223672,1000
178,391.5239460507137,1000
179,492.8006708745706,1000
180,547.074199949496,1000
181,429.8865393012944,1000
182,475.84677033849283,1000
183,378.04115002997764,1000
184,475.98944066526343,1000
185,534.9091893512069,1000
186,488.7914148164151,1000
187,478.3695404203925,1000
188,443.3137363869149,1000
189,453.8837299139154,1000
190,485.40711392657334,1000
191,398.4422860801721,1000
192,389.7128017682992,1000
193,437.99380575072956,1000
194,439.24497220998694,1000
195,409.63168390800803,1000
196,352.5034984386283,1000
197,431.1393677758603,1000
198,458.8028165833394,1000
199,470.5507902237503,1000
200,371.6447969699992,1000
201,468.4863494492222,1000
202,486.8932836464095,1000
203,436.85984678393623,1000
204,458.68025861354715,1000
205,448.1787290709197,1000
206,389.40859113773195,1000
207,396.44304371647996,1000
208,395.526237641255,1000
209,374.41289469411913,1000
210,370.0704775484325,1000
211,375.02971530214546,1000
212,502.7897705937147,1000
213,479.14110371288854,1000
214,438.1465646793942,1000
215,501.95667775735336,1000
216,462.40899488320485,1000
217,508.61416755435096,1000
218,490.21592202157643,1000
219,520.1044186542832,1000
220,481.6408935705777,1000
221,315.9426096551876,1000
222,446.8335238933059,1000
223,463.0692945632175,1000
224,536.2789388002329,1000
225,451.04064289988946,1000
226,494.7610743599995,1000
227,628.572061504962,1000
228,478.0703621024707,1000
229,455.9939553809877,1000
230,564.0113366018732,1000
231,498.972084607896,1000
232,452.10257137209726,1000
233,503.59043424632534,1000
234,419.247658446189,1000
235,490.7321586326381,1000
236,489.6072737289178,1000
237,473.9244952243158,1000
238,533.9788874343429,1000
239,505.46706968040024,1000
240,413.04100569118424,1000
241,509.069025032774,1000
242,523.7459233119494,1000
243,515.5492944852184,1000
244,505.019382038534,1000
245,512.6868873613587,1000
246,535.3799092725463,1000
247,542.6987104169606,1000
248,489.48587096652665,1000
249,513.552701581208,1000
250,559.0579168076599,1000
251,435.8961768394735,1000
252,563.9893370341308,1000
253,470.5609586898525,1000
254,506.11316323147196,1000
255,548.9806737697163,1000
256,559.9420028769775,1000
257,461.72814375902914,1000
258,422.835973659289,1000
259,508.94626659879935,1000
260,528.7175928423592,1000
261,453.9347249367895,1000
262,551.3680699087379,1000
263,502.94678044396625,1000
264,479.07465196756254,1000
265,530.4134681573257,1000
266,518.073129431686,1000
267,391.4748127923682,1000
268,580.2197548643858,1000
269,573.3769316611749,1000
270,379.0493862869313,1000
271,599.9974607990471,1000
272,546.4403435412714,1000
273,316.20688704962475,1000
274,577.92125241764,1000
275,580.9338813696597,1000
276,475.3660271938721,1000
277,543.9206543523254,1000
278,443.7390941644668,1000
279,614.108742471195,1000
280,606.6844573644962,1000
281,468.87479089735257,1000
282,307.5951023298262,1000
283,586.7904799775621,1000
284,619.7538775025788,1000
285,526.0891834662023,1000
286,632.4683985542605,1000
287,453.2287120366666,1000
288,368.4733741199152,1000
289,385.124182416378,1000
290,493.48730665888286,1000
291,608.8769212096398,1000
292,576.173004742381,1000
293,534.5663905054012,1000
294,600.7675233264164,1000
295,431.3823869563818,1000
296,589.3916375885816,1000
297,602.0076813415442,1000
298,642.6338825379555,1000
299,599.6668889964973,1000
300,658.7311118519898,1000
301,412.0864022204179,1000
302,495.0863330531434,1000
303,655.8506822105389,1000
304,608.0102119586031,1000
305,480.0279644363279,1000
306,473.9164597824508,1000
307,608.4340896954888,1000
308,497.02733857609275,1000
309,554.855812598354,1000
310,520.5501943244547,1000
311,500.5482542863983,1000
312,473.0200526175479,839
313,580.0851802332974,1000
314,543.4604784341643,1000
315,503.20372033950923,1000
316,596.0282472841991,1000
317,545.2047457627805,1000
318,605.3560537823367,1000
319,569.9158599552725,1000
320,462.88579897875684,1000
321,475.3812380653199,1000
322,563.658238464064,1000
323,518.0921710543489,1000
324,540.5356242082943,1000
325,440.6999720632997,1000
326,357.0862102836106,1000
327,394.698207984965,1000
328,524.8220905385247,1000
329,428.17252735735303,1000
330,453.93382905023094,1000
331,457.76233230935134,1000
332,538.9435527035974,1000
333,452.12741209756155,1000
334,385.12884125976734,1000
335,406.78810964374486,1000
336,435.08105126795346,1000
337,398.7728851037606,1000
338,424.70941760509635,1000
339,412.3459653586855,1000
340,417.491123288489,1000
341,368.01095812396755,1000
342,425.11778223309864,1000
343,433.4201371816632,1000
344,404.6439294129677,1000
345,443.9580169854116,1000
346,383.44634139148974,1000
347,409.4010152338657,1000
348,429.5548048049948,1000
349,324.06426499164024,1000
350,369.2587324173291,1000
351,368.2444043372089,1000
352,408.62395916452346,1000
353,406.6381318190534,1000
354,489.54751488224554,1000
355,403.05781128003025,1000
356,417.706075781147,1000
357,418.82371898801887,1000
358,432.50371799581796,1000
359,420.29267899330057,1000
360,343.67454719774054,1000
361,398.1859955086636,1000
362,421.11404492362817,1000
363,426.2224554978375,1000
364,447.99991593775366,1000
365,404.11507883021466,1000
366,413.07296686646436,1000
367,307.1886036373723,1000
368,529.7486613445702,1000
369,484.89350688204007,1000
370,517.0281753236133,1000
371,326.52416088728535,1000
372,476.2338851858461,1000
373,505.56579309143484,1000
374,472.18170337257146,1000
375,549.8423369791751,1000
376,485.1368710302211,1000
377,271.231748345044,475
378,424.7183818344926,1000
379,621.8924780079682,1000
380,591.3868818071612,1000
381,498.74991224051337,1000
382,605.751630680543,1000
383,310.39368054564943,520
384,512.4629491432967,1000
385,522.8919203086449,1000
386,442.07503834166465,1000
387,445.566869300089,1000
388,399.8677975149856,1000
389,488.22648995690156,1000
390,381.734114095072,1000
391,596.5510259233387,1000
392,494.2040229069023,1000
393,599.0837909978194,1000
394,422.74452402631397,1000
395,484.8423262238747,1000
396,598.1172869018325,1000
397,603.6658917597293,1000
398,622.0254026185853,1000
399,542.0288944242661,1000
400,477.18893404366764,1000
401,611.3937499626064,1000
402,364.74656157800325,1000
403,350.45817004065395,1000
404,435.3204875064258,1000
405,212.12670845039713,389
406,509.92100873342747,1000
407,9.316422274684257,21
408,403.99769311170945,1000
409,604.1159953330501,1000
410,567.1925819358153,1000
411,441.84255155271757,1000
412,424.1009045832634,1000
413,432.8895022271772,1000
414,446.92168592707094,1000
415,448.3756856832911,1000
416,360.1870566902826,1000
417,394.179200008476,1000
418,381.90862148690945,1000
419,426.84763816290194,1000
420,382.4976550348365,1000
