,r,l
0,25.670302309628525,15
1,20.91378424019501,11
2,24.15831300477881,19
3,17.571533462379982,13
4,15.220809252173822,12
5,20.449284693243538,12
6,19.471268348950776,13
7,18.086902191867196,8
8,20.884558647378544,9
9,13.972016940540595,10
10,19.342934686421604,24
11,18.861586511229536,11
12,18.27852200442946,15
13,16.191499065874368,5
14,18.1682837284484,9
15,18.40086038502897,17
16,14.837286739181375,19
17,15.301473729566187,7
18,20.433776963823462,13
19,25.887488079813462,30
20,20.65125374487537,11
21,18.16751531745349,5
22,16.411567697620214,6
23,20.49713250960493,9
24,21.40614483781743,16
25,17.14053578550276,12
26,16.015240526681865,9
27,29.34972375311953,27
28,21.517168969643645,18
29,23.460660878410994,10
30,27.044002944141475,20
31,19.422120646546066,6
32,18.59944350011361,10
33,19.64794056974604,14
34,16.45929592214205,7
35,20.821213403844276,10
36,17.52766263998906,12
37,21.42574784688486,15
38,19.15841481404485,11
39,18.265632822447536,12
40,18.180860517327513,12
41,22.580276282767844,16
42,19.21479159581328,9
43,17.056253812393436,6
44,21.459291308344913,23
45,17.208776344990113,23
46,21.93991736295991,15
47,17.51263735121936,7
48,18.693090746839324,9
49,19.832006659562165,6
50,16.345629084056643,7
51,18.550054584042357,10
52,24.754290549084523,16
53,20.59237253152438,11
54,19.352787171026776,23
55,18.684474316545238,8
56,16.00667780953791,8
57,15.978340740947806,7
58,16.156382475948558,6
59,21.739368756023993,9
60,19.91057198802594,9
61,22.847028749737156,10
62,19.962143036069605,24
63,30.36394773779794,24
64,18.616936229102507,12
65,18.364911752948228,6
66,19.23735059128732,12
67,21.097612934295324,13
68,25.683116692384655,13
69,22.3874748709197,16
70,21.645794309742616,11
71,18.78882259342506,8
72,12.84851724940193,8
73,17.963469841703667,7
74,19.222498185289975,9
75,20.574166050079928,9
76,21.101903327953398,9
77,15.6921478949319,6
78,21.222921006341092,10
79,16.713369203169233,5
80,21.075586327726935,10
81,18.47474535225076,9
82,20.446119163170028,10
83,21.716571291596157,8
84,18.972951999678877,15
85,19.40448195072328,9
86,16.205873630521165,7
87,18.37391921540553,7
88,17.869276401461065,9
89,18.049922121359643,7
90,21.93050200080536,11
91,15.64001367518043,13
92,18.294693145431086,7
93,16.389738173153265,6
94,17.270230587849092,6
95,19.496760931104834,6
96,19.783139363130868,10
97,22.287680433353735,17
98,18.074329257339347,7
99,21.13391176874916,7
100,18.890725806236237,7
101,17.228877313130614,7
102,22.49727654170451,13
103,17.840680837352085,8
104,18.890174507016244,7
105,18.989504856865643,7
106,24.38281715171418,18
107,14.915764401093162,6
108,20.514892897804003,11
109,19.607674737537977,7
110,17.95434054561138,14
111,18.545672925218433,6
112,19.62993290395036,6
113,21.259700168156154,8
114,21.53099008322878,10
115,17.651987855746178,7
116,15.652820365423375,6
117,19.556402058109654,8
118,17.27222543373105,5
119,18.277064513387856,8
120,19.810133765535817,9
121,15.247968702060216,5
122,17.912654937281182,6
123,18.96901642609889,7
124,21.491395335606903,8
125,21.929226663280435,9
126,17.87490534269887,6
127,16.805867863196607,5
128,19.591077638597874,8
129,23.54914761903726,11
130,20.813641398864213,8
131,18.48069093681835,6
132,23.739459022875618,13
133,19.512732019770368,13
134,16.342056113296742,5
135,18.162800632312713,7
136,16.966220287641367,6
137,18.48766666654949,6
138,19.012776792501477,6
139,18.806249051502004,9
140,20.67887963592274,8
141,18.003033458551542,8
142,21.382190200611944,7
143,19.521299102128527,6
144,17.871117645167878,7
145,17.56355879173486,5
146,17.080799545529445,5
147,19.715833320866142,9
148,22.588001272944272,9
149,17.77872268403848,5
150,19.52947716956408,6
151,22.166733457281218,8
152,21.314927514775462,9
153,20.65381205544937,8
154,18.702752865785722,12
155,20.33059603190442,6
156,18.917259679674537,9
157,21.612151939706383,8
158,22.79158640853826,9
159,18.52300115122884,7
160,14.232938857988222,6
161,20.690124859194455,7
162,19.04039793576231,6
163,17.462276261441325,7
164,19.84938102620942,8
165,18.869056214103388,6
166,24.844612008344715,13
167,19.628413656038518,6
168,15.853529919020987,7
169,22.51751471553973,12
170,20.84800278406135,8
171,21.406299312007885,9
172,19.187530734953626,7
173,18.64354073208207,6
174,16.98008175805296,6
175,17.93285839450791,5
176,18.78067545852299,7
177,15.483203681640777,6
178,20.98621044763011,7
179,19.682310956510666,6
180,17.89722470039544,5
181,16.01891955410771,5
182,18.870778998680862,6
183,17.548168092539722,5
184,19.609746536753644,6
185,18.16518505871564,8
186,18.976567992434088,6
187,18.300353238618985,6
188,16.72790394385996,8
189,19.634893633310767,6
190,22.022725429190647,9
191,17.669114628406426,6
192,19.19574549869266,6
193,20.87916221133747,7
194,17.942555057565606,6
195,17.374904653184096,6
196,21.879302826438256,10
197,18.31225822929168,5
198,16.934932014413494,5
199,16.893665301049055,5
200,18.75571011239664,6
201,18.81830325102372,6
202,19.935720134175092,7
203,16.694011107492766,5
204,16.75990847019335,5
205,18.179930467865198,6
206,19.128325956907133,6
207,19.321697889668535,7
208,21.202263273942954,6
209,21.710809680082086,8
210,16.437706327117596,5
211,19.80753323038693,7
212,20.65796067258696,6
213,18.463838984903816,7
214,16.49961948270705,5
215,15.339919283783349,5
216,19.667233412249576,8
217,21.390360434141396,7
218,16.247365800738937,5
219,18.98900839136765,6
220,17.500623650760545,6
221,21.9442114791377,8
222,16.402658727522006,5
223,17.735882391149318,5
224,18.316350743411565,5
225,20.889054714620336,6
226,16.941204593918734,5
227,18.596846345136882,6
228,16.87778559112376,6
229,21.503727356753988,9
230,16.1234315176078,6
231,22.506452802551323,11
232,18.49586418159299,5
233,20.169320975535783,6
234,17.127570114794874,6
235,17.56404388522607,5
236,19.429767613154006,7
237,19.868150054831,6
238,15.105622234265141,5
239,17.089634021775076,6
240,21.595684954554898,7
241,18.553386798820583,6
242,21.055446809061316,8
243,14.38662973765837,5
244,19.777382243287285,6
245,18.62420188259077,6
246,18.53429551094191,7
247,21.73227221565871,8
248,19.425667184168205,6
249,24.35583350493183,12
250,21.257549097991117,7
251,21.64877637172013,9
252,16.516652013035984,8
253,17.09544715997179,5
254,18.371592432247656,6
255,20.071144795251833,6
256,14.84448749458715,6
257,18.468197396042576,5
258,17.990182019370824,5
259,18.00592737072873,6
260,16.759459967519746,7
261,14.393900906538718,5
262,20.399089445856816,7
263,18.43747784151591,7
264,20.046405480575608,7
265,20.858650808079794,6
266,19.13577617405204,6
267,18.099780773842987,7
268,16.922311430543374,5
269,17.23677879739014,6
270,20.19361478303366,6
271,17.18074789397678,5
272,21.20920393366069,7
273,17.673707561062283,5
274,17.937796584229513,8
275,18.64586109443925,7
276,19.791059772932787,6
277,19.88666207056383,6
278,19.121886934656285,6
279,16.873267109781168,6
280,19.215752604587898,7
281,21.114164758801653,8
282,18.21612131527109,6
283,18.23571968524538,6
284,19.101264315289068,6
285,21.464835515614585,7
286,17.57458235956484,6
287,20.643798655858728,6
288,20.08745058829596,7
289,18.793432832817707,6
290,17.2668560327661,8
291,16.870398861595213,5
292,19.303930595828753,6
293,20.14104345335858,10
294,19.861022943147038,6
295,17.917426448001983,5
296,17.650739899918555,7
297,16.417229840362502,5
298,22.024869940765317,9
299,17.69994186557473,6
300,20.343083160290774,7
301,18.912831824730624,7
302,15.558767366986888,5
303,18.31253784785463,6
304,18.489128915710086,7
305,20.617002522168335,8
306,18.66748467219469,6
307,18.55332115880836,7
308,19.55791158250984,7
309,19.16994520353574,6
310,19.725949181489387,6
311,20.88332740899726,8
312,19.607355105664865,7
313,18.316548381908053,6
314,19.422637122360612,6
315,18.468719141073933,7
316,19.419072168167638,6
317,18.92022046688576,9
318,18.360521709057267,6
319,18.541592670347136,9
320,20.991839848984565,7
321,19.82120046541847,6
322,18.82587446020983,7
