,r,l
0,18.824017318267998,8
1,30.578809354034394,21
2,19.791925370848425,9
3,16.85266978896717,12
4,21.350989115618887,12
5,22.540143306454347,13
6,21.46069300776838,14
7,20.28133920917872,20
8,18.164770674780343,16
9,16.35318740943778,11
10,14.78466278218238,11
11,24.734138777464995,17
12,18.024003201172548,12
13,27.77470242901922,21
14,16.635383628878298,9
15,29.07482485553649,25
16,23.997746668082947,15
17,15.694830872793801,11
18,36.030080309161235,27
19,36.05875693262287,28
20,24.110486738736018,14
21,32.11281491443602,21
22,34.566581269072366,35
23,29.285576212420988,35
24,37.3421507528886,32
25,23.15196095000617,22
26,19.239718545391256,11
27,49.25180788734112,43
28,44.799894926401585,58
29,35.65802506661216,28
30,49.403167179752295,62
31,24.232234808904572,62
32,30.893726266260064,63
33,30.58552235360799,19
34,30.03339690301586,45
35,15.907265956056044,65
36,29.33831205243988,38
37,35.66616303157739,54
38,36.41277082987915,65
39,29.619505445269894,49
40,22.459534653698793,84
41,30.623132804958853,43
42,2.206155221928429,75
43,33.946080501908106,80
44,40.4205158219827,44
45,41.1210677672188,71
46,40.8670422370329,70
47,20.48690088194764,15
48,14.077279963923225,43
49,35.74656165361785,61
50,22.180618375456078,62
51,22.630886732070987,37
52,49.61532767050442,82
53,5.803205933960972,69
54,22.95279952012146,33
55,24.310465044294247,49
56,-5.811577716746546,82
57,20.959355347596127,40
58,37.45724668656001,74
59,25.977149524985762,43
60,28.762301361838205,64
61,39.1126427160308,72
62,6.136084169475616,43
63,24.399685406226517,40
64,49.84972551679328,69
65,29.947116247996544,48
66,27.59218528488766,53
67,24.77719980396852,81
68,28.495545453065454,44
69,30.735731555710707,52
70,46.613348641912694,56
71,54.53570092347996,66
72,59.322861769252945,69
73,43.23760498153305,65
74,95.8185221723769,133
75,82.03401691863834,106
76,118.69086509908713,158
77,103.27827821069793,141
78,79.81768792679499,95
79,24.690857263307155,61
80,61.55793104688751,75
81,71.79472835984272,87
82,33.1923977081848,101
83,102.80300133936457,131
84,104.05593291631571,195
85,159.478834756064,311
86,82.74220441982588,102
87,16.119530694780995,60
88,58.769718866804276,75
89,93.39600504591259,123
90,66.80869761078385,71
91,66.22742337555069,72
92,88.69499358676418,115
93,88.85032763680128,102
94,133.33529313464925,156
95,120.80533306785597,218
96,152.46600827471838,190
97,80.93286479116247,91
98,65.92425842231673,156
99,73.48816282047484,91
100,191.28853848105652,255
101,221.38356254312936,275
102,367.92314162237705,499
103,100.9735953217652,202
104,87.55642658407672,113
105,127.18974473577826,246
106,191.33816883530514,246
107,80.7941812643727,99
108,161.96696590037484,173
109,142.49324945365132,161
110,178.44707928669573,222
111,121.56628702822448,124
112,303.6381484877574,380
113,127.41081831980166,270
114,407.4507684184459,708
115,89.50972262360007,197
116,708.0951041165881,1000
117,576.5611125956417,776
118,133.72989108356714,167
119,362.1251106960298,468
120,209.9961252859439,246
121,720.5524956228279,1000
122,305.69711198056393,399
123,715.1939962769071,1000
124,382.7309591187076,499
125,82.69887447304086,184
126,406.2839677144476,539
127,115.43595554299448,267
128,511.4393846772277,701
129,720.4942493952205,963
130,462.4691402547379,590
131,730.613169678956,1000
132,731.7076036881069,1000
133,731.0359714736608,1000
134,736.6298931763204,1000
135,626.2765062363969,837
136,734.2959338451326,1000
137,681.6631616320705,884
138,726.0097394788528,1000
139,727.4083053285539,1000
140,729.2652932086526,1000
141,148.45700648449267,313
142,440.6142078793686,559
143,146.51709034148146,157
144,338.57708768938414,417
145,281.5146928551177,350
146,729.9058344258124,1000
147,664.0778384561617,871
148,227.88161453654962,277
149,557.9053627584993,733
150,146.30745886471698,286
151,729.4715585891141,1000
152,161.5303764599793,292
153,729.6366939764836,1000
154,111.36349713756387,112
155,727.7587236346158,1000
156,730.0241665190058,1000
157,476.5262996209405,625
158,134.99351913764474,276
159,729.0518142491842,1000
160,702.5039759552739,940
161,735.6560746728065,1000
162,244.6675162247466,426
163,733.5871483711347,1000
164,725.3632056914789,1000
165,731.7636231954395,1000
166,736.7810182063259,1000
167,733.6944879284963,1000
168,241.56629556914606,412
169,150.32360484787748,290
170,214.34316680371924,381
171,735.719848973911,1000
172,188.60167538648477,308
173,733.2112033485448,1000
174,727.2804731833571,1000
175,683.1652545558144,923
176,730.698172285179,1000
177,261.69263924662516,435
178,736.4713717059099,1000
179,200.60368643756385,394
180,192.18595236821886,308
181,146.43187483121542,291
182,184.65845457298647,336
183,690.230837609544,936
184,738.0165896645199,1000
185,274.0212523143729,420
186,737.3592817946062,1000
187,740.7513077816159,1000
188,217.27927353498774,388
189,739.9239313967865,1000
190,741.629201815491,1000
191,151.7496648883881,285
192,164.13868180399712,261
193,735.618682733172,1000
194,738.349801676329,1000
195,738.6310811127073,1000
196,259.336014907055,435
197,743.9063838370455,1000
198,742.9826049362192,1000
199,741.4706612488691,1000
200,692.3985662507546,923
201,744.3302021049809,1000
202,745.2786757841794,1000
203,740.1388963740693,1000
204,34.065412672374805,61
205,734.0092677898247,1000
206,730.81741816858,1000
