,r,l
0,241.30582269146063,26
1,241.52146143344862,26
2,185.36762111819993,20
3,250.36477088980936,27
4,222.5354394666416,24
5,194.62453644941905,21
6,297.4615065021858,32
7,250.83610138269202,27
8,259.4993304283053,28
9,231.88404950557293,25
10,419.28009535470125,45
11,278.53030642379747,30
12,315.5597757467352,34
13,241.18926993890014,26
14,418.82965146155027,45
15,203.89039284879124,22
16,297.5074375069774,32
17,305.8786912792361,33
18,325.01500566558684,35
19,185.36687518537644,20
20,222.76154086719364,24
21,241.53770328986903,26
22,250.94458967617462,27
23,185.5431539162326,20
24,185.46522651473475,20
25,223.03439941041066,24
26,204.05807864320917,22
27,194.83981521215534,21
28,324.4840048179358,35
29,204.47139759159373,22
30,176.084106308292,19
31,157.5784145010772,17
32,241.59506472299103,26
33,213.62844482220763,23
34,176.2335650199879,19
35,241.36124895861727,26
36,269.889480290731,29
37,222.86206805690318,24
38,194.75165783345122,21
39,213.50771883541876,23
40,278.28440402151887,30
41,213.43380314083103,23
42,213.65113022391876,23
43,176.1156515803752,19
44,213.54341041103405,23
45,213.37742692850708,23
46,204.25997432242255,22
47,204.219503368773,22
48,166.95904179155778,18
49,176.185114444163,19
50,157.5261080084269,17
51,157.34186394230252,17
52,222.69883630478836,24
53,195.02729969569168,21
54,241.84969773506432,26
55,204.33140107988066,22
56,204.4478272260837,22
57,194.68843158129573,21
58,148.31425649073572,16
59,185.3729325751828,20
60,157.55471432957526,17
61,157.73723495368094,17
62,166.91328892704928,18
63,166.80771943865378,18
64,157.4906070760498,17
65,176.17376143665976,19
66,148.40452690598076,16
67,157.8130523562212,17
68,167.21627456820133,18
69,185.44545916578093,20
70,157.6028704387741,17
71,157.62549211566227,17
72,167.0202131035789,18
73,167.0268563402971,18
74,157.6896520285123,17
75,148.19559924614475,16
76,148.27592531104244,16
77,148.42882237149752,16
78,148.40055019989714,16
79,157.5225093235621,17
80,166.8922851498045,18
81,138.99882569480468,15
82,167.08774620211625,18
83,148.3345565192816,16
84,166.70609211301567,18
85,138.94283646420485,15
86,138.99769073641957,15
87,148.1913131853889,16
88,138.94555312984835,15
89,148.38053504878096,16
90,148.41055412171568,16
91,167.0061488127127,18
92,166.79135033854214,18
93,157.62529930987665,17
94,148.05248238176839,16
95,167.0434962037974,18
96,157.5289896623538,17
97,148.29475134872982,16
98,148.07850756202112,16
99,148.3070904392556,16
100,166.99285471734788,18
101,167.2219013245918,18
102,148.33131573778746,16
103,138.83637273701612,15
104,157.76068032746005,17
105,138.70782360310298,15
106,157.48007739520153,17
107,139.04089206233752,15
108,157.57639183990975,17
109,167.00140417478138,18
110,148.11504155155274,16
111,167.13864843781653,18
112,138.8890950555901,15
113,157.55332742144464,17
114,157.6359600467191,17
115,148.45971579890653,16
116,157.77668866151646,17
117,138.82045720910048,15
118,138.97023139686888,15
119,148.26533010785644,16
120,157.6001763709994,17
121,148.21343864721965,16
122,157.82282083175008,17
123,157.45013514245707,17
124,138.92711524879977,15
125,167.1240657063361,18
126,148.43861527565392,16
127,148.07519444554762,16
128,157.75597144054112,17
129,148.30626235159392,16
130,176.29040793161607,19
131,148.2751874151535,16
132,138.91847548292444,15
133,138.88414212519328,15
134,157.38229729656638,17
135,148.33671856807402,16
136,157.67354239744537,17
137,157.81247168258318,17
138,166.79372557049396,18
139,166.80152738347726,18
140,138.96210391381356,15
141,148.36254565710283,16
142,166.97416459592415,18
143,167.09672180432176,18
144,157.64623518283173,17
145,157.83251005364687,17
146,148.161581418474,16
147,148.22596386466958,16
148,167.0546415282472,18
149,148.2442724514612,16
150,148.2542138788825,16
151,148.0369933040732,16
152,176.44129123686912,19
153,157.45106537482667,17
154,148.2894830015394,16
155,148.0730940500163,16
156,166.70447676424078,18
157,166.9486241690678,18
158,148.3444939821098,16
159,176.47221973879564,19
160,175.98180267017543,19
161,176.24069277966856,19
162,185.56477457884287,20
163,185.5935694944885,20
164,167.02344712371698,18
165,176.22727992934364,19
166,185.76902061356085,20
167,166.69337947463833,18
168,176.31958363402646,19
