,r,l
0,30.0,30
1,14.0,14
2,17.0,17
3,29.0,29
4,16.0,16
5,32.0,32
6,20.0,20
7,27.0,27
8,32.0,32
9,19.0,19
10,16.0,16
11,34.0,34
12,72.0,72
13,29.0,29
14,19.0,19
15,56.0,56
16,15.0,15
17,19.0,19
18,24.0,24
19,19.0,19
20,27.0,27
21,29.0,29
22,30.0,30
23,39.0,39
24,24.0,24
25,25.0,25
26,17.0,17
27,58.0,58
28,19.0,19
29,39.0,39
30,18.0,18
31,40.0,40
32,18.0,18
33,32.0,32
34,19.0,19
35,29.0,29
36,17.0,17
37,23.0,23
38,47.0,47
39,28.0,28
40,13.0,13
41,41.0,41
42,30.0,30
43,25.0,25
44,27.0,27
45,65.0,65
46,48.0,48
47,31.0,31
48,27.0,27
49,46.0,46
50,79.0,79
51,41.0,41
52,30.0,30
53,20.0,20
54,33.0,33
55,20.0,20
56,13.0,13
57,20.0,20
58,15.0,15
59,30.0,30
60,19.0,19
61,12.0,12
62,19.0,19
63,11.0,11
64,14.0,14
65,18.0,18
66,10.0,10
67,13.0,13
68,12.0,12
69,16.0,16
70,12.0,12
71,10.0,10
72,12.0,12
73,19.0,19
74,13.0,13
75,8.0,8
76,19.0,19
77,10.0,10
78,8.0,8
79,17.0,17
80,15.0,15
81,24.0,24
82,13.0,13
83,15.0,15
84,16.0,16
85,24.0,24
86,12.0,12
87,12.0,12
88,15.0,15
89,20.0,20
90,31.0,31
91,21.0,21
92,23.0,23
93,12.0,12
94,15.0,15
95,14.0,14
96,13.0,13
97,16.0,16
98,27.0,27
99,17.0,17
100,18.0,18
101,29.0,29
102,34.0,34
103,17.0,17
104,31.0,31
105,26.0,26
106,41.0,41
107,21.0,21
108,21.0,21
109,28.0,28
110,14.0,14
111,12.0,12
112,24.0,24
113,27.0,27
114,23.0,23
115,28.0,28
116,20.0,20
117,18.0,18
118,16.0,16
119,18.0,18
120,16.0,16
121,27.0,27
122,14.0,14
123,21.0,21
124,23.0,23
125,19.0,19
126,15.0,15
127,9.0,9
128,13.0,13
129,16.0,16
130,20.0,20
131,15.0,15
132,13.0,13
133,14.0,14
134,17.0,17
135,17.0,17
136,24.0,24
137,12.0,12
138,28.0,28
139,20.0,20
140,20.0,20
141,13.0,13
142,22.0,22
143,26.0,26
144,16.0,16
145,15.0,15
146,19.0,19
147,18.0,18
148,15.0,15
149,12.0,12
150,15.0,15
151,10.0,10
152,15.0,15
153,14.0,14
154,18.0,18
155,16.0,16
156,21.0,21
157,18.0,18
158,28.0,28
159,27.0,27
160,30.0,30
161,46.0,46
162,10.0,10
163,15.0,15
164,37.0,37
165,23.0,23
166,15.0,15
167,42.0,42
168,37.0,37
169,46.0,46
170,20.0,20
171,120.0,120
172,25.0,25
173,58.0,58
174,30.0,30
175,155.0,155
176,39.0,39
177,78.0,78
178,42.0,42
179,28.0,28
180,92.0,92
181,25.0,25
182,12.0,12
183,51.0,51
184,41.0,41
185,56.0,56
186,31.0,31
187,26.0,26
188,38.0,38
189,16.0,16
190,20.0,20
191,64.0,64
192,23.0,23
193,26.0,26
194,39.0,39
195,212.0,212
196,43.0,43
197,116.0,116
198,41.0,41
199,43.0,43
200,57.0,57
201,53.0,53
202,66.0,66
203,39.0,39
204,30.0,30
205,39.0,39
206,21.0,21
207,57.0,57
208,47.0,47
209,25.0,25
210,25.0,25
211,55.0,55
212,38.0,38
213,56.0,56
214,25.0,25
215,50.0,50
216,59.0,59
217,70.0,70
218,68.0,68
219,59.0,59
220,44.0,44
221,32.0,32
222,96.0,96
223,44.0,44
224,31.0,31
225,128.0,128
226,104.0,104
227,107.0,107
228,75.0,75
229,27.0,27
230,71.0,71
231,64.0,64
232,144.0,144
233,81.0,81
234,38.0,38
235,58.0,58
236,27.0,27
237,72.0,72
238,46.0,46
239,29.0,29
240,54.0,54
241,29.0,29
242,30.0,30
243,51.0,51
244,44.0,44
245,20.0,20
246,41.0,41
247,21.0,21
248,18.0,18
249,14.0,14
250,31.0,31
251,19.0,19
252,24.0,24
253,30.0,30
254,20.0,20
255,40.0,40
256,32.0,32
257,26.0,26
258,25.0,25
259,18.0,18
260,40.0,40
261,20.0,20
262,19.0,19
263,15.0,15
264,23.0,23
265,56.0,56
266,20.0,20
267,41.0,41
268,50.0,50
269,65.0,65
270,39.0,39
271,70.0,70
272,59.0,59
273,29.0,29
274,126.0,126
275,49.0,49
276,113.0,113
277,51.0,51
278,132.0,132
279,101.0,101
280,50.0,50
281,69.0,69
282,79.0,79
283,42.0,42
284,42.0,42
285,69.0,69
286,58.0,58
287,68.0,68
288,117.0,117
289,226.0,226
290,88.0,88
291,91.0,91
292,56.0,56
293,104.0,104
294,43.0,43
295,38.0,38
296,78.0,78
297,50.0,50
298,44.0,44
299,38.0,38
300,34.0,34
301,58.0,58
302,21.0,21
303,34.0,34
304,71.0,71
305,22.0,22
306,36.0,36
307,67.0,67
308,40.0,40
309,58.0,58
310,23.0,23
311,33.0,33
312,38.0,38
313,32.0,32
314,42.0,42
315,57.0,57
316,31.0,31
317,64.0,64
318,54.0,54
319,34.0,34
320,99.0,99
321,98.0,98
322,61.0,61
323,49.0,49
324,75.0,75
325,81.0,81
326,107.0,107
327,77.0,77
328,64.0,64
329,121.0,121
330,68.0,68
331,78.0,78
332,249.0,249
333,98.0,98
334,64.0,64
335,58.0,58
336,116.0,116
337,126.0,126
338,48.0,48
339,54.0,54
340,69.0,69
341,61.0,61
342,41.0,41
343,33.0,33
344,58.0,58
345,85.0,85
346,43.0,43
347,74.0,74
348,109.0,109
349,34.0,34
350,46.0,46
351,30.0,30
352,48.0,48
353,60.0,60
354,48.0,48
355,64.0,64
356,77.0,77
357,75.0,75
358,23.0,23
359,64.0,64
360,28.0,28
361,58.0,58
362,59.0,59
363,53.0,53
364,34.0,34
365,55.0,55
366,60.0,60
367,45.0,45
368,51.0,51
369,50.0,50
370,53.0,53
371,45.0,45
372,33.0,33
373,46.0,46
374,30.0,30
375,23.0,23
376,61.0,61
377,77.0,77
378,57.0,57
379,27.0,27
380,43.0,43
381,50.0,50
382,41.0,41
383,25.0,25
384,43.0,43
385,78.0,78
386,56.0,56
387,56.0,56
388,30.0,30
389,76.0,76
390,31.0,31
391,50.0,50
392,35.0,35
393,54.0,54
394,58.0,58
395,39.0,39
396,66.0,66
397,47.0,47
398,57.0,57
399,89.0,89
400,75.0,75
401,54.0,54
402,81.0,81
403,60.0,60
404,58.0,58
405,125.0,125
406,94.0,94
407,73.0,73
408,73.0,73
409,55.0,55
410,60.0,60
411,125.0,125
412,65.0,65
413,56.0,56
414,75.0,75
415,80.0,80
416,34.0,34
417,54.0,54
418,34.0,34
419,95.0,95
420,48.0,48
421,28.0,28
422,53.0,53
423,42.0,42
424,51.0,51
425,41.0,41
426,30.0,30
427,33.0,33
428,30.0,30
429,58.0,58
430,31.0,31
431,37.0,37
432,42.0,42
433,55.0,55
434,29.0,29
435,33.0,33
436,52.0,52
437,19.0,19
438,37.0,37
439,44.0,44
440,44.0,44
441,41.0,41
442,31.0,31
443,60.0,60
444,34.0,34
445,39.0,39
446,29.0,29
447,41.0,41
448,71.0,71
449,27.0,27
450,70.0,70
451,30.0,30
452,29.0,29
453,33.0,33
454,51.0,51
455,70.0,70
456,51.0,51
457,79.0,79
458,87.0,87
459,40.0,40
460,139.0,139
461,32.0,32
462,67.0,67
463,116.0,116
464,39.0,39
465,45.0,45
466,43.0,43
467,59.0,59
468,125.0,125
469,72.0,72
470,105.0,105
471,43.0,43
472,102.0,102
473,96.0,96
474,73.0,73
475,32.0,32
476,113.0,113
477,186.0,186
478,42.0,42
479,33.0,33
480,43.0,43
481,32.0,32
482,51.0,51
483,37.0,37
484,108.0,108
485,106.0,106
486,29.0,29
487,49.0,49
488,88.0,88
489,26.0,26
490,62.0,62
491,69.0,69
492,49.0,49
493,66.0,66
494,48.0,48
495,26.0,26
496,81.0,81
497,87.0,87
498,40.0,40
499,42.0,42
500,68.0,68
501,60.0,60
502,70.0,70
503,56.0,56
504,31.0,31
505,58.0,58
506,24.0,24
507,36.0,36
508,59.0,59
509,23.0,23
510,43.0,43
511,72.0,72
512,78.0,78
513,37.0,37
514,62.0,62
515,64.0,64
516,50.0,50
517,44.0,44
518,46.0,46
519,35.0,35
520,60.0,60
521,27.0,27
522,72.0,72
523,84.0,84
524,53.0,53
525,38.0,38
526,58.0,58
527,113.0,113
528,35.0,35
529,54.0,54
530,102.0,102
531,57.0,57
532,124.0,124
533,67.0,67
534,94.0,94
535,54.0,54
536,67.0,67
537,120.0,120
538,56.0,56
539,45.0,45
540,39.0,39
541,82.0,82
542,80.0,80
543,87.0,87
544,54.0,54
545,45.0,45
546,66.0,66
547,90.0,90
548,111.0,111
549,47.0,47
550,96.0,96
551,132.0,132
552,126.0,126
553,65.0,65
554,40.0,40
555,114.0,114
556,100.0,100
557,30.0,30
