,r,l
0,50.0,50
1,19.0,19
2,46.0,46
3,12.0,12
4,20.0,20
5,32.0,32
6,21.0,21
7,26.0,26
8,21.0,21
9,30.0,30
10,37.0,37
11,30.0,30
12,16.0,16
13,24.0,24
14,19.0,19
15,29.0,29
16,13.0,13
17,13.0,13
18,39.0,39
19,36.0,36
20,24.0,24
21,18.0,18
22,38.0,38
23,20.0,20
24,25.0,25
25,19.0,19
26,11.0,11
27,12.0,12
28,28.0,28
29,20.0,20
30,13.0,13
31,34.0,34
32,19.0,19
33,14.0,14
34,70.0,70
35,12.0,12
36,34.0,34
37,17.0,17
38,23.0,23
39,34.0,34
40,33.0,33
41,27.0,27
42,29.0,29
43,18.0,18
44,24.0,24
45,17.0,17
46,16.0,16
47,20.0,20
48,32.0,32
49,21.0,21
50,17.0,17
51,19.0,19
52,31.0,31
53,79.0,79
54,19.0,19
55,82.0,82
56,17.0,17
57,16.0,16
58,22.0,22
59,28.0,28
60,18.0,18
61,18.0,18
62,34.0,34
63,87.0,87
64,32.0,32
65,32.0,32
66,38.0,38
67,27.0,27
68,129.0,129
69,17.0,17
70,41.0,41
71,32.0,32
72,41.0,41
73,28.0,28
74,35.0,35
75,15.0,15
76,77.0,77
77,43.0,43
78,26.0,26
79,55.0,55
80,50.0,50
81,67.0,67
82,16.0,16
83,46.0,46
84,24.0,24
85,74.0,74
86,17.0,17
87,73.0,73
88,21.0,21
89,70.0,70
90,50.0,50
91,60.0,60
92,36.0,36
93,19.0,19
94,48.0,48
95,56.0,56
96,46.0,46
97,15.0,15
98,73.0,73
99,91.0,91
100,16.0,16
101,95.0,95
102,56.0,56
103,53.0,53
104,46.0,46
105,28.0,28
106,69.0,69
107,79.0,79
108,74.0,74
109,122.0,122
110,198.0,198
111,29.0,29
112,113.0,113
113,45.0,45
114,64.0,64
115,66.0,66
116,119.0,119
117,195.0,195
118,80.0,80
119,42.0,42
120,104.0,104
121,66.0,66
122,162.0,162
123,34.0,34
124,74.0,74
125,109.0,109
126,101.0,101
127,79.0,79
128,44.0,44
129,163.0,163
130,59.0,59
131,106.0,106
132,146.0,146
133,100.0,100
134,99.0,99
135,195.0,195
136,283.0,283
137,92.0,92
138,131.0,131
139,162.0,162
140,46.0,46
141,46.0,46
142,90.0,90
143,101.0,101
144,258.0,258
145,152.0,152
146,231.0,231
147,98.0,98
148,188.0,188
149,152.0,152
150,75.0,75
151,78.0,78
152,89.0,89
153,167.0,167
154,88.0,88
155,83.0,83
156,119.0,119
157,133.0,133
158,161.0,161
159,97.0,97
160,115.0,115
161,60.0,60
162,89.0,89
163,37.0,37
164,106.0,106
165,58.0,58
166,110.0,110
167,115.0,115
168,71.0,71
169,121.0,121
170,120.0,120
171,81.0,81
172,108.0,108
173,146.0,146
174,107.0,107
175,102.0,102
176,106.0,106
177,237.0,237
178,309.0,309
179,95.0,95
180,99.0,99
181,516.0,516
182,168.0,168
183,201.0,201
184,194.0,194
185,157.0,157
186,177.0,177
187,127.0,127
188,359.0,359
189,140.0,140
190,100.0,100
191,210.0,210
192,124.0,124
193,174.0,174
194,218.0,218
195,146.0,146
196,255.0,255
197,124.0,124
198,154.0,154
199,144.0,144
200,202.0,202
201,175.0,175
202,97.0,97
203,110.0,110
204,213.0,213
205,155.0,155
206,298.0,298
207,549.0,549
208,210.0,210
209,121.0,121
210,182.0,182
211,338.0,338
212,103.0,103
213,667.0,667
214,190.0,190
215,649.0,649
216,464.0,464
217,534.0,534
218,141.0,141
219,229.0,229
220,104.0,104
221,168.0,168
222,495.0,495
223,199.0,199
224,418.0,418
225,918.0,918
