,r,l
0,-72.3235176076399,150
1,-106.89677952514532,150
2,-38.322211214318,150
3,-58.79379250542263,150
4,-107.17759492177262,150
5,-108.38820150920628,150
6,-38.32963098356626,150
7,-70.37634123713381,150
8,-87.37687117164167,150
9,-110.3996217301948,150
10,-56.513464019038686,150
11,-56.91588209253791,150
12,-98.5779541264198,150
13,-45.23383606201226,150
14,-31.401326957791614,150
15,-31.21907405905705,150
16,-54.939732488445884,150
17,-50.5231689497917,150
18,-38.66897989347501,150
19,-32.20724021230053,150
20,-35.611217272668476,150
21,-80.78357681092008,150
22,-14.563143781289462,150
23,-55.63665355979795,150
24,-49.22089777188004,150
25,-23.085218965348744,150
26,-15.149284071847951,150
27,-77.16845646404309,150
28,-34.80585892953033,150
29,-45.614185287587965,150
30,-15.815676349009227,150
31,-51.55849996799071,150
32,-77.20833683340247,150
33,-38.09407294709079,150
34,-49.812701790372394,150
35,-26.137575864387486,150
36,-113.75496398276417,150
37,-34.011348841413216,150
38,-114.038806297888,150
39,-70.65293633942856,150
40,-54.131166774991044,150
41,-50.891842019441924,150
42,-43.04412579142007,150
43,-31.41952886030753,150
44,-80.51380905941957,150
45,-46.50541807690958,150
46,-37.75130616574501,150
47,-30.47583991553157,150
48,-53.979468505902545,150
49,-8.267969003127133,150
50,-85.59890892577172,150
51,-23.76215412138906,150
52,-66.4540379666434,150
53,-56.89335138664645,150
54,-24.593293410213175,150
55,-41.430189049137304,150
56,-33.37331979552525,150
57,-45.98770153435889,150
58,-19.419425354059992,150
59,-49.93732371191158,150
60,-30.008505813892512,150
61,-37.99116375764634,150
62,-64.18124625652344,150
63,-49.3980817750183,150
64,-108.87454302866972,150
65,-32.98573993353528,150
66,-33.87663148921404,150
67,-82.65439310019937,150
68,-56.29659948376474,150
69,-23.840137562739038,150
70,-10.504983207030206,150
71,-13.232477459908097,150
72,-58.35056860345961,150
73,-105.12760985314637,150
74,-34.736841494199915,150
75,-18.68962443953095,150
76,-78.53582645010151,150
77,-138.20483685795398,150
78,-12.170534885403029,150
79,-58.49047454232927,150
80,-36.848875157456725,150
81,-44.762603273640345,150
82,-47.052074009833056,150
83,-46.86427267760478,150
84,-66.18711719976405,150
85,-39.254837672775984,150
86,-50.171263325914985,150
87,-38.8090986744469,150
88,-57.09246506759673,150
89,2.9742274083218234,150
90,-52.46837317415955,150
91,-48.131438377709514,150
92,-39.152052066522124,150
93,-21.994825422000208,150
94,-30.27573956278793,150
95,-73.94931697847632,150
96,-76.54191276698265,150
97,-31.61276049295756,150
98,-27.340828788797598,150
99,-20.561796170850517,150
100,-37.57188244358557,150
101,-129.88010841188012,150
102,-42.642836758754484,150
103,-20.256169888196442,150
104,-29.66234585211697,150
105,-41.14694832721597,150
106,-21.90808137566292,150
107,-13.532174144426882,150
108,-28.57616968851219,150
109,-41.41753093376906,150
110,-50.41772577343053,150
111,-52.03876689779318,150
112,-48.16634500176282,150
113,-22.27569423546543,150
114,-20.954135223414088,150
115,-124.70383101254069,150
116,-59.57220495130731,150
117,-62.8024257236307,150
118,-50.56338840594961,150
119,-43.94428450189007,150
120,-22.189118210363684,150
121,-24.34097220492092,150
122,-37.83105520156143,150
123,-19.173869738833613,150
124,-67.78864450246502,150
125,-72.33658064224092,150
126,-113.08445996003502,150
127,-12.990766084231172,150
128,-47.44931836731202,150
129,-25.466822681005144,150
130,8.524715255834773,150
131,-29.34220938655921,150
